ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,CAND_IND9,CAND_IND10,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,TOLUCA,127,379,29135,39275,8590,4343,5155,3972,4516,8947,4062,6402,800,0,0,209,115197,5714,121120,233846,0.5179
15,MEXICO,2,TOLUCA,176,552,42467,61737,10385,6165,6943,6759,8364,12409,5271,9512,1129,0,0,271,171141,8286,179698,354932,0.5063
15,MEXICO,3,TEMOAYA,94,321,12719,37320,3458,14849,9043,13398,2800,7758,1860,2100,604,0,0,44,105909,5157,111110,196212,0.5663
15,MEXICO,4,LERMA,91,308,25447,40976,7791,2963,5169,6783,3854,8056,0,5222,1693,0,0,144,107954,3956,112054,193383,0.5794
15,MEXICO,5,TENANGO DEL VALLE,58,192,8272,27009,8442,1307,11917,1570,2398,3334,3548,2372,1400,0,0,49,71569,2627,74245,120493,0.6162
15,MEXICO,6,TIANGUISTENCO,46,155,11860,17894,6056,958,2115,890,1700,4320,0,2194,769,0,0,44,48756,2122,50922,95027,0.5359
15,MEXICO,7,TENANCINGO,81,215,16771,25953,11352,1622,3823,2599,3375,7121,1994,1300,283,0,0,25,76193,3192,79410,122556,0.6479
15,MEXICO,8,SULTEPEC,85,165,17359,26462,7690,528,735,2199,836,1678,439,166,96,0,0,4,58188,1737,59929,79426,0.7545
15,MEXICO,9,TEJUPILCO,130,247,9477,33035,33611,764,573,277,966,1568,302,375,68,0,0,52,81016,3340,84408,120405,0.701
15,MEXICO,10,VALLE DE BRAVO,81,216,18590,43010,2791,1486,6026,3003,1875,3029,1367,826,178,0,0,42,82181,2393,84616,121962,0.6938
15,MEXICO,11,SANTO TOMÁS,59,137,5440,19861,22961,536,1340,200,1432,521,0,206,72,0,0,14,52569,1757,54340,70901,0.7664
15,MEXICO,12,EL ORO,103,289,28589,44872,3347,1443,1630,1338,4878,2588,993,1267,766,0,0,263,91711,4747,96721,165838,0.5832
15,MEXICO,13,ATLACOMULCO,139,366,20980,55979,14402,3014,6604,1999,4197,4301,1292,2244,297,0,0,79,115309,4962,120350,200930,0.599
15,MEXICO,14,JILOTEPEC,75,181,21177,24758,2371,1028,610,358,14130,1381,490,779,328,0,0,21,67410,2342,69773,99273,0.7028
15,MEXICO,15,IXTLAHUACA,95,280,12909,41993,2794,2215,2297,13985,4103,3597,1750,4176,430,0,0,69,90249,3659,93977,165075,0.5693
15,MEXICO,16,ATIZAPÁN DE ZARAGOZA,167,594,53220,40906,6808,5896,2239,4719,5598,16945,4222,9686,954,0,0,327,151193,8582,160102,378410,0.4231
15,MEXICO,17,HUIXQUILUCAN,98,307,35870,35253,6551,2495,934,1421,2412,5994,1824,3437,487,0,0,180,96678,4508,101366,191156,0.5303
15,MEXICO,18,TLALNEPANTLA,192,429,36726,28166,7337,4346,1659,3659,3698,13456,4102,7939,901,0,0,321,111989,7794,120104,250931,0.4786
15,MEXICO,19,CUAUTITLÁN,98,424,26604,39175,29184,3311,3670,6604,3857,12618,3747,5625,834,0,0,233,135229,4892,140354,277508,0.5058
15,MEXICO,20,ZUMPANGO,114,381,32297,42496,13437,2591,5147,9400,6557,8414,2320,7561,729,0,0,94,130949,4292,135335,240004,0.5639
15,MEXICO,21,ECATEPEC,227,656,12122,54429,27603,7568,4780,4741,6465,21250,4586,7942,599,6310,0,347,158395,8413,167155,404906,0.4128
15,MEXICO,22,ECATEPEC,194,475,10757,39054,15235,5908,3032,3338,4718,19412,3901,7330,605,0,0,221,113290,6444,119955,281823,0.4256
15,MEXICO,23,TEXCOCO,135,475,8437,53223,17076,3773,9162,6704,3630,59662,5818,5961,855,0,0,124,174301,5648,180073,299991,0.6003
