num_mun,municipality
1,ABASOLO
2,ACAMBARO
3,ALLENDE
4,APASEO EL ALTO
5,APASEO EL GRANDE
6,ATARJEA
7,CELAYA
8,MANUEL DOBLADO
9,COMONFORT
10,CORONEO
11,CORTAZAR
12,CUERAMARO
13,DOCTOR MORA
14,DOLORES HIDALGO
15,GUANAJUATO
16,HUANIMARO
17,IRAPUATO
18,JARAL DEL PROGRESO
19,JERECUARO
20,LEON
21,MOROLEON
22,OCAMPO
23,PENJAMO
24,PUEBLO NUEVO
25,PURISIMA DEL RINCON
26,ROMITA
27,SALAMANCA
28,SALVATIERRA
29,SAN DIEGO DE LA UNION
30,SAN FELIPE
31,SAN FRANCISCO DEL RINCON
32,SAN JOSE ITURBIDE
33,SAN LUIS DE LA PAZ
34,SANTA CATARINA
35,SANTA CRUZ DE JUVENTINO ROSAS
36,SANTIAGO MARAVATIO
37,SILAO
38,TARANDACUAO
39,TARIMORO
40,TIERRA BLANCA
41,URIANGATO
42,VALLE DE SANTIAGO
43,VICTORIA
44,VILLAGRAN
45,XICHU
46,YURIRIA
