ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRD,PT,MC,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,1,PICH,5,12,,470,154,,801,58,32,1763,1526,,,,,4804,0,534,5338,6852,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_PICH.PDF
4,CAMPECHE,1,CAMPECHE,2,TIXMUCUY,6,7,151,29,0,0,879,0,0,,1195,,,,,2254,0,71,2325,2748,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_TIXM.PDF
4,CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,5,7,,58,15,,420,10,63,414,826,,,,,1806,0,46,1852,2440,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_ALFR.PDF
4,CAMPECHE,1,CAMPECHE,4,HAMPOLOL,4,7,,53,0,,901,0,55,454,885,,,,,2348,2,68,2418,3023,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_HAMP.PDF
4,CAMPECHE,2,CALKINI,5,BECAL,7,13,,190,300,,1249,12,58,854,1558,,,,180,4401,63,136,4600,5752,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_BECA.PDF
4,CAMPECHE,2,CALKINI,6,DZITBALCHE,6,17,,447,727,,1940,0,432,1245,3716,,,,,8507,30,295,8832,10914,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_DZIT.PDF
4,CAMPECHE,2,CALKINI,7,NUNKINI,8,14,863,207,115,47,1631,0,35,,3292,,,,,6190,1,193,6384,7433,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_NUNK.PDF
4,CAMPECHE,3,CARMEN,8,ATASTA,7,20,,92,69,,1612,32,57,501,1900,,47,510,,4820,38,288,5146,11712,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_ATAS.PDF
4,CAMPECHE,3,CARMEN,9,MAMANTEL,8,12,,4,12,,1599,6,3,605,1372,,,,,3601,1,214,3816,5951,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_MAMA.PDF
4,CAMPECHE,3,CARMEN,10,SABANCUY,11,21,1144,102,567,150,2544,37,51,,3685,104,,,,8384,0,526,8910,12991,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_SABA.PDF
4,CAMPECHE,4,CHAMPOTON,11,HOOL,3,7,917,144,2,0,17,0,24,,1000,,,,,2104,0,370,2474,3814,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_HOOL.PDF
4,CAMPECHE,4,CHAMPOTON,12,SEYBAPLAYA,11,23,321,1543,17,4,3541,6,134,,3411,,,,,8977,12,585,9574,12797,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_SEYB.PDF
4,CAMPECHE,4,CHAMPOTON,13,SIHOCHAC,3,6,319,56,0,0,827,0,0,,1042,,,,,2244,0,109,2353,3010,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_SIHO.PDF
4,CAMPECHE,4,CHAMPOTON,14,CARRILLO PUERTO,7,9,483,79,71,15,1246,100,14,,1447,,,,,3455,0,209,3664,5043,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_CARR.PDF
4,CAMPECHE,5,HECELCHAKAN,15,POMUCH,6,12,,124,17,,1205,1099,159,1826,1211,,,,,5641,3,222,5866,7005,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_POMU.PDF
