MUNICIPIO,DISTRITO,SECCION,TIPO,LISTANOMINAL,PAN,PRI-PANAL,PRD,PT,PVEM,PC,PSD,VALIDOS,NULOS,TOTAL
CAMPECHE,II,1,B,559,200,202,14,2,4,2,2,426,3,429
CAMPECHE,III,2,B,680,260,146,9,1,4,2,2,424,3,427
CAMPECHE,II,3,B,676,221,215,9,6,15,8,0,474,20,494
CAMPECHE,III,4,B,735,257,144,13,0,6,1,1,422,9,431
CAMPECHE,III,4,C1,736,220,163,13,4,9,6,0,415,17,432
CAMPECHE,III,4,C2,736,205,162,14,0,7,4,0,392,16,408
CAMPECHE,III,4,C3,736,252,137,12,3,4,5,0,413,7,420
CAMPECHE,III,4,C4,736,200,153,9,3,6,6,0,377,14,391
CAMPECHE,III,4,C5,736,234,153,2,2,4,5,3,403,0,403
CAMPECHE,III,4,C6,736,228,159,10,2,6,5,1,411,9,420
CAMPECHE,III,4,C7,736,215,153,15,5,8,5,1,402,6,408
CAMPECHE,III,4,C8,736,228,147,9,3,5,4,1,397,7,404
CAMPECHE,III,4,C9,736,209,131,14,0,7,1,1,363,17,380
CAMPECHE,III,5,B,522,205,132,9,3,6,2,1,358,17,375
CAMPECHE,III,5,C1,522,189,159,11,3,12,4,0,378,9,387
CAMPECHE,III,6,B,437,154,118,10,3,3,5,3,296,0,296
CAMPECHE,III,6,C1,438,164,109,9,1,13,3,0,299,3,302
CAMPECHE,II,7,B,464,163,138,8,2,4,8,2,325,5,330
CAMPECHE,II,7,C1,464,175,140,4,1,4,10,2,336,7,343
CAMPECHE,III,8,B,708,278,184,11,2,9,1,5,490,7,497
CAMPECHE,III,9,B,668,270,160,11,3,6,3,1,454,5,459
CAMPECHE,III,9,C1,668,252,157,19,2,8,5,1,444,2,446
CAMPECHE,III,9,C2,668,230,164,19,1,7,3,1,425,3,428
CAMPECHE,III,9,C3,669,225,154,10,0,12,8,3,412,5,417
CAMPECHE,III,9,C4,669,249,151,16,4,6,3,0,429,4,433
CAMPECHE,III,10,B,497,196,104,5,4,6,4,1,320,11,331
CAMPECHE,III,10,C1,498,168,115,8,1,5,0,0,297,13,310
,,,,,,,,,,,,,,
CAMPECHE,II,11,B,442,174,120,5,1,2,9,0,311,20,331
CAMPECHE,II,11,C1,442,136,135,3,2,7,19,2,304,11,315
CAMPECHE,II,12,B,515,182,140,9,1,1,21,0,354,16,370
CAMPECHE,II,12,C1,515,188,158,13,3,6,9,0,377,20,397
CAMPECHE,II,12,C2,515,184,156,11,1,8,7,1,368,18,386
CAMPECHE,III,13,B,598,238,152,5,1,5,8,0,409,14,423
CAMPECHE,III,13,C1,599,221,172,8,1,4,4,0,410,13,423
CAMPECHE,III,14,B,517,144,147,6,5,3,1,1,307,14,321
CAMPECHE,III,14,C1,518,150,127,6,0,4,2,2,291,15,306
CAMPECHE,III,15,B,526,186,128,2,1,7,2,1,327,12,339
CAMPECHE,III,15,C1,526,190,112,6,4,10,1,1,324,10,334
CAMPECHE,III,16,B,473,176,114,4,1,5,1,1,302,4,306
CAMPECHE,III,16,C1,474,177,115,9,2,4,4,0,311,4,315
CAMPECHE,III,17,B,586,218,124,9,1,8,4,1,365,6,371
CAMPECHE,III,17,C1,586,196,118,10,3,2,8,1,338,12,350
CAMPECHE,III,17,C2,587,173,133,11,2,9,2,0,330,15,345
CAMPECHE,III,17,C3,587,187,125,8,1,3,3,0,327,9,336
CAMPECHE,III,18,B,633,222,189,19,0,2,3,2,437,5,442
CAMPECHE,III,19,B,448,159,106,5,0,7,4,2,283,7,290
CAMPECHE,III,19,C1,448,175,84,7,3,3,1,0,273,6,279
CAMPECHE,III,20,B,498,163,139,3,2,8,0,0,315,0,315
CAMPECHE,III,20,C1,498,151,130,4,5,6,4,0,300,12,312
CAMPECHE,III,21,B,626,220,160,7,6,6,3,1,403,11,414
CAMPECHE,III,21,C1,626,192,168,12,3,8,4,0,387,0,387
CAMPECHE,III,22,B,469,127,132,11,4,4,4,1,283,6,289
CAMPECHE,III,22,C1,470,152,133,10,2,5,6,3,311,6,317
CAMPECHE,III,23,B,401,134,106,10,1,3,3,1,258,7,265
,,,,,,,,,,,,,,
CAMPECHE,III,23,C1,401,132,129,6,0,2,4,0,273,13,286
CAMPECHE,II,24,B,570,189,154,6,1,9,10,2,371,11,382
CAMPECHE,II,24,C1,570,185,166,12,3,10,6,4,386,14,400
CAMPECHE,II,25,B,650,207,223,5,2,4,10,1,452,18,470
CAMPECHE,II,26,B,595,211,170,15,1,8,4,1,410,10,420
CAMPECHE,II,26,C1,596,214,182,14,3,12,13,0,438,11,449
CAMPECHE,I,27,B,625,218,184,6,2,11,4,0,425,8,433
CAMPECHE,I,27,C1,625,192,206,7,4,6,1,1,417,9,426
CAMPECHE,I,28,B,688,162,231,7,3,13,9,1,426,12,438
CAMPECHE,I,29,B,474,148,167,6,1,7,8,1,338,9,347
CAMPECHE,I,29,C1,475,137,161,7,1,3,7,1,317,7,324
CAMPECHE,I,30,B,406,134,152,3,1,9,5,0,304,10,314
CAMPECHE,I,30,C1,407,132,147,5,0,6,9,0,299,8,307
CAMPECHE,II,31,B,397,123,114,8,4,6,7,2,264,5,269
CAMPECHE,II,31,C1,398,124,133,9,0,12,6,1,285,2,287
