CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,1,B,1,0,B,,144,91,6,37,17,,9,17,3,130,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,457,0,11,468,730,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,1,C,1,0,C01,,151,109,11,43,40,,20,21,0,120,,,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,518,0,4,522,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,B,1,0,B,,174,98,9,45,28,,20,30,0,102,,,,,,,,,,,,,3,3,0,0,,,,,,,,,,,,,512,0,12,524,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,C,1,0,C01,,142,88,5,28,28,,25,37,0,125,,,,,,,,,,,,,2,3,0,0,,,,,,,,,,,,,483,0,12,495,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,C,2,0,C02,,108,94,3,51,38,,19,41,0,127,,,,,,,,,,,,,0,5,0,0,,,,,,,,,,,,,486,0,8,494,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,3,B,1,0,B,,16,81,1,22,3,,11,4,0,31,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,170,0,8,178,294,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,4,B,1,0,B,,13,163,3,9,2,,3,2,0,36,,,,,,,,,,,,,1,3,0,2,,,,,,,,,,,,,237,0,23,260,366,ACTA CASILLA,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,5,B,1,0,B,,6,90,1,22,1,,2,4,0,26,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,152,0,7,159,218,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,6,B,1,0,B,,38,64,0,19,30,,14,16,0,150,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,334,0,14,348,518,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,6,E,1,0,E01,,64,142,3,17,22,,7,9,0,88,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,353,0,17,370,575,ACTA LEVANTADA EN CONSEJO,,,
