ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,SAN LUIS RÍO COLORADO,79,184,9047,4643,800,2050,1757,1055,3793,15657,1145,607,40554,53,1349,41956,101463,
26,Sonora,2,PUERTO PEÑASCO,30,147,9663,4117,803,1906,1475,1142,3533,12962,828,1034,37463,58,1433,38954,94602,
26,Sonora,3,CABORCA,67,165,6458,12029,1025,1293,1564,3847,949,18674,793,582,47214,33,2259,49506,92005,
26,Sonora,4,NOGALES,77,180,9980,10217,1060,993,1568,4746,980,17751,788,586,48669,16,1621,50306,108586,
26,Sonora,5,NOGALES,71,179,10375,9233,1132,853,1265,4336,656,15032,450,564,43896,39,1535,45470,106168,
26,Sonora,6,HERMOSILLO,65,166,7591,14982,637,1333,1458,3569,1156,18982,855,1138,51701,59,1621,53381,100321,
26,Sonora,7,AGUA PRIETA,59,177,13614,13192,1252,1153,2522,2200,1253,13950,681,1118,50935,11,1847,52793,105423,
26,Sonora,8,HERMOSILLO,75,163,5864,7255,570,916,1252,3493,730,18455,660,615,39810,80,1234,41124,97314,
26,Sonora,9,HERMOSILLO,93,193,8739,13715,551,1500,1149,4095,1543,17128,697,1149,50266,24,1682,51972,111515,
26,Sonora,10,HERMOSILLO,40,150,7436,12667,610,1426,1469,3579,1193,19432,804,1233,49849,34,1740,51623,99598,
26,Sonora,11,HERMOSILLO,77,167,4363,12091,484,1222,1490,2365,1083,17144,686,736,41664,61,1341,43066,94849,
26,Sonora,12,HERMOSILLO,65,165,7624,11466,562,1160,1515,3556,1096,18037,721,1277,47014,35,1385,48434,96441,
26,Sonora,13,GUAYMAS,76,175,6705,1372,1237,5386,3388,1844,4316,19733,818,1348,46147,44,1300,47491,96727,
26,Sonora,14,EMPALME,65,153,3124,755,2706,3778,2031,2218,3022,17682,700,1303,37319,11,1323,38653,88292,
26,Sonora,15,CD. OBREGÓN,77,192,1921,11525,581,1317,1490,3412,1327,24661,787,863,47884,41,1556,49481,107171,
26,Sonora,16,CD. OBREGÓN,82,184,3621,9438,587,1354,1611,5990,850,19960,650,413,44474,91,1725,46290,105320,
26,Sonora,17,CD. OBREGÓN,60,176,2488,8926,622,948,1481,3985,997,27191,716,581,47935,39,1463,49437,107956,
26,Sonora,18,SANTA ANA,142,233,17927,8968,2295,5979,2842,2757,14948,15397,610,1912,73635,25,3485,77145,114519,
26,Sonora,19,NAVOJOA,55,153,4810,14346,696,1083,1364,876,1011,22856,564,526,48132,19,1313,49464,93366,
26,Sonora,20,ETCHOJOA,73,160,5129,14182,1834,825,1729,983,1132,22023,695,290,48822,14,1804,50640,87674,
26,Sonora,21,HUATABAMPO,85,174,9188,4866,4159,3238,4447,4816,8096,10974,3759,626,54169,6,3179,57354,92378,
