CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,PD,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,10,DURANGO,1,DURANGO,5,DURANGO,108,S,1,0,SRP01,50,54,8,13,38,12,4,7,107,9,302,0,27,329,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,138,S,1,0,SRP01,99,47,1,11,47,25,3,1,114,9,357,0,19,376,750,GRUPO DE RECUENTO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,173,S,1,0,SRP01,76,67,6,12,59,19,2,10,97,5,353,0,16,369,748,ACTA CASILLA,,,
,10,DURANGO,2,DURANGO,5,DURANGO,181,S,1,0,SRP01,78,51,9,15,28,26,1,15,87,8,318,0,17,335,750,GRUPO DE RECUENTO,,,
,10,DURANGO,4,DURANGO,5,DURANGO,346,S,1,0,SRP01,94,112,6,18,74,18,1,19,108,12,462,0,0,462,750,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,171,S,1,0,SRP01,78,40,3,9,29,11,0,7,65,4,246,0,21,267,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,203,S,1,0,SRP01,42,34,2,12,20,13,0,7,62,6,198,0,12,210,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,233,S,1,0,SRP01,92,67,5,9,62,12,2,3,109,11,372,0,40,412,750,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,286,S,1,0,SRP01,80,61,3,21,38,12,3,7,107,10,342,0,22,364,744,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,S,1,0,SRP01,53,27,3,4,31,11,4,13,111,5,262,0,19,281,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,S,1,0,SRP01,66,26,5,13,12,7,0,4,51,1,185,0,15,200,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,7,SANTIAGO PAPASQUIARO,33,SANTIAGO PAPASQUIARO,1201,S,1,0,SRP01,70,34,5,6,23,15,4,11,98,8,274,0,14,288,750,GRUPO DE RECUENTO,,,
,10,DURANGO,8,EL ORO,9,GUANACEVI,638,S,1,0,SRP01,56,62,2,6,23,10,2,3,41,3,208,0,20,228,750,ACTA CASILLA,,,
,10,DURANGO,8,EL ORO,19,EL ORO,916,S,1,0,SRP01,45,23,2,1,16,5,1,3,75,2,173,0,15,188,750,ACTA CASILLA,,,
,10,DURANGO,9,MAPIMI,13,MAPIMI,788,S,1,0,SRP01,25,23,4,3,22,14,5,3,66,4,169,0,7,176,750,ACTA CASILLA,,,
,10,DURANGO,10,GOMEZ PALACIO,7,GOMEZ PALACIO,446,S,1,0,SRP01,73,44,3,13,24,5,8,6,137,6,319,0,0,319,750,GRUPO DE RECUENTO,,,
,10,DURANGO,11,GOMEZ PALACIO,7,GOMEZ PALACIO,521,S,1,0,SRP01,55,45,1,6,14,18,3,7,85,9,243,1,6,250,750,GRUPO DE RECUENTO,,,
,10,DURANGO,12,GOMEZ PALACIO,7,GOMEZ PALACIO,541,S,1,0,SRP01,27,27,1,6,7,12,1,6,80,1,168,0,17,185,750,GRUPO DE RECUENTO,,,
,10,DURANGO,13,LERDO,12,LERDO,722,S,1,0,SRP01,42,29,7,4,1,5,0,3,59,6,156,0,12,168,750,GRUPO DE RECUENTO,,,
,10,DURANGO,14,CUENCAME,4,CUENCAME,69,S,1,0,SRP01,42,31,12,9,13,8,1,15,75,34,240,0,18,258,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,14,CUENCAME,8,GUADALUPE VICTORIA,616,S,1,0,SRP01,65,41,9,54,37,14,2,4,182,32,440,2,23,465,750,ACTA LEVANTADA EN CONSEJO,,,
