ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,140,276,19749,14304,9612,2962,2789,6523,3215,19412,1764,80330,39,4681,85050,153199,http://iem.org.mx/actas_dtto/D5_LA PIEDAD.pdf
16,MICHOACAN,2,PURUÁNDIRO,165,304,5068,20612,26516,5885,6538,1671,1950,18072,709,87021,80,6034,93135,163269,http://iem.org.mx/actas_dtto/D5_PURUÁNDIRO.pdf
16,MICHOACAN,3,MARAVATÍO,98,235,4778,15105,11566,3181,8912,3369,3899,19647,2228,72685,39,6493,79217,132725,http://iem.org.mx/actas_dtto/D5_MARAVATÍO.pdf
16,MICHOACAN,4,JIQUILPAN,140,269,18613,20003,9106,2154,3555,4326,2231,21014,647,81649,119,4454,86222,142210,http://iem.org.mx/actas_dtto/D5_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,96,209,4345,14560,12920,2893,4428,1247,941,20746,2848,64928,46,5336,70310,112458,http://iem.org.mx/actas_dtto/D5_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,96,250,11757,10416,2735,8158,8720,5500,892,20490,1345,70013,88,3838,73939,144445,http://iem.org.mx/actas_dtto/D5_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,124,267,11352,13408,5638,3719,16204,5013,2012,19765,1696,78807,54,5460,84321,156173,http://iem.org.mx/actas_dtto/D5_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,113,265,8026,14867,10434,11522,12207,4012,5140,12740,4470,83418,43,5951,89412,149301,http://iem.org.mx/actas_dtto/D5_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,138,292,22638,14516,9273,2294,6567,3128,1473,19939,858,80686,47,4507,85240,152089,http://iem.org.mx/actas_dtto/D5_LOS REYES.pdf
16,MICHOACAN,10,MORELIA NOROESTE,49,216,5841,10197,3477,2792,5034,2291,1032,21175,5828,57667,79,5004,62750,138636,http://iem.org.mx/actas_dtto/D5_MORELIA NOROESTE.pdf
16,MICHOACAN,11,MORELIA NORESTE,95,250,13799,10605,3352,2933,13145,1712,1317,21428,3808,72099,118,5255,77472,151879,http://iem.org.mx/actas_dtto/D5_MORELIA NORESTE.pdf
16,MICHOACAN,12,HIDALGO,126,266,11925,16900,14536,8444,4684,2188,2004,17224,1890,79795,78,6457,86330,148130,http://iem.org.mx/actas_dtto/D5_HIDALGO.pdf
16,MICHOACAN,13,ZITÁCUARO,99,233,7086,10460,18896,8267,5104,1957,1705,22450,2668,78593,69,6755,85417,137228,http://iem.org.mx/actas_dtto/D5_ZITÁCUARO.pdf
16,MICHOACAN,14,URUAPAN NORTE,88,214,10013,5869,15750,3039,2604,1607,1036,20547,1665,62130,112,4247,66489,123275,http://iem.org.mx/actas_dtto/D5_URUAPAN NORTE.pdf
16,MICHOACAN,15,PÁTZCUARO,96,239,5181,18203,16362,5028,6363,2708,1733,19512,3784,78874,53,6697,85624,142562,http://iem.org.mx/actas_dtto/D5_PÁTZCUARO.pdf
16,MICHOACAN,16,MORELIA SUROESTE,80,252,9454,12780,5015,3264,6239,2678,1809,27170,3830,72239,158,6167,78564,153040,http://iem.org.mx/actas_dtto/D5_MORELIA SUROESTE.pdf
16,MICHOACAN,17,MORELIA SURESTE,127,281,21326,11495,5192,3083,6334,2636,1580,27850,4208,83704,211,6548,90463,157951,http://iem.org.mx/actas_dtto/D5_MORELIA SURESTE.pdf
16,MICHOACAN,18,HUETAMO,178,272,3341,14907,33598,3769,6780,2075,1164,17900,1320,84854,18,5619,90491,135535,http://iem.org.mx/actas_dtto/D5_HUETAMO.pdf
16,MICHOACAN,19,TACÁMBARO,140,269,15054,15615,17137,3418,8976,1669,3828,16102,795,82594,133,6365,89092,144674,http://iem.org.mx/actas_dtto/D5_TACÁMBARO.pdf
16,MICHOACAN,20,URUAPAN SUR,54,188,8725,4757,15173,4039,2518,1151,778,20293,1405,58839,79,3506,62424,116571,http://iem.org.mx/actas_dtto/D5_URUAPAN SUR.pdf
16,MICHOACAN,21,COALCOMÁN,114,230,7425,14579,13971,2903,7626,1337,2925,20121,,70887,21,4887,75795,127273,http://iem.org.mx/actas_dtto/D5_COALCOMÁN.pdf
16,MICHOACAN,22,MÚGICA,124,249,2012,24043,14570,3618,2978,1938,2027,26279,,77465,22,4527,82014,130137,http://iem.org.mx/actas_dtto/D5_MÚGICA.pdf
16,MICHOACAN,23,APATZINGÁN,105,226,5377,16334,8847,3688,4232,1310,1308,21008,769,62873,35,3686,66594,124701,http://iem.org.mx/actas_dtto/D5_APATZINGÁN.pdf
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,225,2707,9717,10481,7797,1892,795,667,36134,1694,71884,100,3516,75500,135477,http://iem.org.mx/actas_dtto/D5_LÁZARO CÁRDENAS.pdf
