ID_ENTIDAD,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE,-,SIGLAS_PARTICIPANTE,NOMBRE_PARTICIPANTE
22,'001,PRD,ALEJANDRA GARCIA SANTIAGO,-,,PAN,PARTIDO ACCION NACIONAL
22,'001,MC,OSCAR PEREZ MARTINEZ,-,,PRI,PARTIDO REVOLUCIONARIO INSTITUCIONAL
22,'001,PQS,HERMINIA FLORES BERMUDEZ,-,,PRD,PARTIDO DE LA REVOLUCION DEMOCRATICA
22,'001,C1,MA. DE LA LUZ GARCIA SANTIAGO,-,,MC,MOVIMIENTO CIUDADANO
22,'001,C6,RENE MEJIA MONTOYA,-,,PVEM,PARTIDO VERDE ECOLOGISTA DE MEXICO
22,'002,PRI,FERNANDO SANCHEZ GIL,-,,MORENA,MORENA
22,'002,PVEM,EDGAR HUERTA BOTELLO,-,,PT,PARTIDO DEL TRABAJO
22,'002,MORENA,OFELIA DEL CASTILLO GUILLEN,-,,PQS,PARTIDO QUERETARO SEGURO
22,'002,PT,CIPRIANO SUAREZ OLVERA,-,,LDBG,LEONARDO DIEZ DE BONILLA GONZALEZ
22,'002,C7,ARCELIA MENDEZ VAZQUEZ,-,,SMG,SERGIO MARTINEZ GOMEZ
22,'003,PRD,GABRIELA ALEGRIA RAMIREZ,-,,EMC,EFRAIN MUÑOZ COSME
22,'003,MC,GUADALUPE PATRICIA LEDESMA ROMERO,-,,RHR,RUBEN HERNANDEZ ROBLES
22,'003,PVEM,LAURA ALEXA HERNANDEZ BALBOA,-,,JBLL,J. BELEM LEDESMA LEDESMA
22,'003,MORENA,ASTRID ALEJANDRA ORTEGA VAZQUEZ,-,,MRGH,MARIA DEL ROSARIO GARCIA HUERTA
22,'003,PT,MARISSA VAZQUEZ MORAN,-,,ATV,ANDRES TREJO VALENCIA
22,'003,PQS,JOSE MANUEL RUIZ MAQUEDA,-,,SSP,SAUL SANCHEZ PEREZ
22,'003,C6,MIGUEL MARTINEZ PENALOZA,-,,C1,PVEM-MORENA-PT
22,'004,MC,GASPAR RAMON TRUEBA MONCADA,-,,C2,PVEM-MORENA
22,'004,PVEM,SOCRATES ALEJANDRO VALDEZ ROSALES,-,,C3,PVEM-PT
22,'004,MORENA,NANCY URIBE CARBAJAL,-,,C4,MORENA-PT
22,'004,PT,MARIA HERNANDEZ URIBE,-,,C5,PAN-PRI-PRD
22,'004,PQS,JOSE HUGO CABRERA RUIZ,-,,C6,PAN-PRI
22,'004,LDBG,LEONARDO DIEZ DE BONILLA GONZALEZ,-,,C7,PAN-PRD
22,'004,SMG,SERGIO MARTINEZ GOMEZ,-,,C8,PRI-PRD
22,'004,C5,MANUEL MONTES HERNANDEZ,-,,,
22,'005,PAN,JOSUE DAVID GUERRERO TRAPALA,-,,,
22,'005,PRI,ELIZABETH ANA YELY OLVERA AGUILAR,-,,,
22,'005,PRD,MARIA LIZBETH OLVERA DE JESUS,-,,,
22,'005,MC,NORA HILDA AMAYA LLACA,-,,,
22,'005,PVEM,LAURA ALEJANDRA ARROYO NAVARRETE,-,,,
22,'005,PQS,MARIA GABRIELA MORENO MAYORGA,-,,,
22,'005,C4,MIREYA MARITZA FERNANDEZ ACEVEDO,-,,,
22,'006,PRD,ANTONIO MERCED VELAZQUEZ MONTES,-,,,
22,'006,MC,MARIANA MICHELLE CARBAJAL ALVAREZ,-,,,
22,'006,PVEM,MARIA DE GUADALUPE RESENDIZ RODRIGUEZ,-,,,
22,'006,PQS,MARIA LAURA RAMIREZ VALENCIA,-,,,
22,'006,C4,IVAN RESENDIZ RAMIREZ,-,,,
22,'006,C6,MAGDA GUADALUPE PEREZ MONTES,-,,,
22,'007,MC,CAROLINA FLORES CRUZ,-,,,
22,'007,PVEM,JUAN GUZMAN CABRERA,-,,,
22,'007,MORENA,JENNIFER ALEJANDRA PEREZ ROMERO,-,,,
22,'007,PT,JOSE BENJAMIN MARTINEZ CABRERA,-,,,
22,'007,PQS,EDDER IVAN JIMENEZ CARBAJAL,-,,,
22,'007,C5,JAIRO IVAN MORALES MARTINEZ,-,,,
22,'008,MORENA,LUIS FORTANEL LEON,-,,,
22,'008,PT,JEANNETE ALI GALLEGOS GALVAN,-,,,
22,'008,EMC,EFRAIN MUNOZ COSME,-,,,
22,'008,RHR,RUBEN HERNANDEZ ROBLES,-,,,
22,'008,C5,LIZ SELENE SALAZAR PEREZ,-,,,
22,'009,PRI,YUNUEN ARACELI BENITEZ MALDONADO,-,,,
22,'009,MC,LIZETH DIAZ GARCIA,-,,,
22,'009,C1,DIANA LAURA OLVERA RUBIO,-,,,
22,'009,C7,SONIA PONCE CAMACHO,-,,,
22,'010,PAN,RODRIGO MONSALVO CASTELAN,-,,,
22,'010,PRI,MARIA GUADALUPE CARDENAS MOLINA,-,,,
22,'010,PRD,JOSE GUADALUPE SANCHEZ CAMACHO,-,,,
22,'010,MC,DALIA ITZEL ROMERO GONZALEZ,-,,,
22,'010,PVEM,MARIA DEL PILAR SARTI AVELAR,-,,,
22,'010,MORENA,JORGE ARTURO LOMELI NORIEGA,-,,,
22,'010,PT,MARIA DE LA LUZ PEREZ NARANJO,-,,,
22,'010,PQS,ALEJANDRA DEL SOCORRO BARRERA RAIGOZA,-,,,
22,'011,PAN,MERCEDES PONCE TOVAR,-,,,
22,'011,MC,MIGUEL ANGEL RUIZ BARRON,-,,,
22,'011,PVEM,MARIA ROMERO BOTELLO,-,,,
22,'011,MORENA,JUAN ALBERTO NAVA CRUZ,-,,,
22,'011,PT,PERLA ALCANTARA SANCHEZ,-,,,
22,'011,PQS,RENE ARCILA SIXTOS,-,,,
22,'011,C8,NATALIA PALOMA SILVA OLVERA,-,,,
22,'012,MC,LUIS ADHALID FIGUEROA MUNGUIA,-,,,
22,'012,PVEM,LIBIA AGUILAR CERVANTEZ,-,,,
22,'012,MORENA,AGNOLI GARCIA ROSALES,-,,,
22,'012,PT,MAURICIO IBARRA GARCIA,-,,,
22,'012,PQS,LETICIA ALVARADO GUDINO,-,,,
22,'012,C5,ANA KAREN JIMENEZ GUILLEN,-,,,
22,'013,PRD,ISIDRO GARAY PACHECO,-,,,
22,'013,MC,MA. CONCEPCION OLMOS PICHARDO,-,,,
22,'013,PVEM,ANA LAURA CRUZ GONZALEZ,-,,,
22,'013,C4,REYNA QUINTANA GARCIA,-,,,
22,'013,C6,MARIA GUADALUPE RAMIREZ PLAZA,-,,,
22,'014,MC,PAULINA AGUADO ROMERO,-,,,
22,'014,PQS,PALOMA ARCE ISLAS,-,,,
22,'014,C1,JOSE MARIA TAPIA FRANCO,-,,,
22,'014,C5,FELIPE FERNANDO MACIAS OLVERA,-,,,
22,'015,PAN,MARIA BEATRIZ GONZALEZ SALDIVAR,-,,,
22,'015,PVEM,CARLOS MANUEL LEDESMA ROBLES,-,,,
22,'015,MORENA,LEIDY ELIZABETH GONZALEZ REYES,-,,,
22,'015,PT,NANCY GUERRERO ARTEAGA,-,,,
22,'015,JBLL,J. BELEM LEDESMA LEDESMA,-,,,
22,'015,C8,MIGUEL MARTINEZ SOLANO,-,,,
22,'016,PAN,ROBERTO CARLOS CABRERA VALENCIA,-,,,
22,'016,PRI,VANIA CAMACHO GALVAN,-,,,
22,'016,PRD,MIRIAM DE JESUS GOMEZ ANAYA,-,,,
22,'016,MC,VICTOR MANUEL ROCHA BASURTO,-,,,
22,'016,PQS,ANTONIO JUAN CAMACHO RAMIREZ,-,,,
22,'016,C1,JUAN ALVARADO NAVARRETE,-,,,
22,'017,MC,JOSE GAYTAN ALCARAZ,-,,,
22,'017,PVEM,ADOLFO ESTRELLA DIAZ,-,,,
22,'017,PQS,ANA ROSA CRUZ PEREZ,-,,,
22,'017,ATV,ANDRES TREJO VALENCIA,-,,,
22,'017,MRGH,MARIA DEL ROSARIO GARCIA HUERTA,-,,,
22,'017,C4,HECTOR IVAN MAGANA RENTERIA,-,,,
22,'017,C5,NORMA MEJIA LIRA,-,,,
22,'018,PAN,CESAREO ALCANTARA DE SANTIAGO,-,,,
22,'018,PRI,DANIEL DE SANTIAGO LUNA,-,,,
22,'018,PRD,CARIDAD PENA PEREZ,-,,,
22,'018,MC,VICTOR RESENDIZ VELAZQUEZ,-,,,
22,'018,PVEM,ALEJO SANCHEZ DE SANTIAGO,-,,,
22,'018,PQS,SAUL FEREGRINO FERNANDEZ DE JAUREGUI,-,,,
22,'018,SSP,SAUL SANCHEZ PEREZ,-,,,
22,'018,C4,LORELEY ITZEL GODINEZ PAZ,-,,,
