ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN ,PRI,PRD,PT,PVEM ,MC,NA,MORENA ,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS 1,82,389,11590,28899,8927,3855,4183,8393,4244,76633,5182,3420,588,107,110,188,2580,440,165,605,,160109,175,5280,165564,260453,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D01.pdf
15,MEXICO,2,TOLUCA DE LERDO,106,374,33171,36572,5737,4475,4772,2999,3219,62313,3610,4515,734,251,99,45,1638,369,82,514,,165115,620,5284,171019,241049,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D02.pdf
15,MEXICO,3,CHIMALHUACAN,91,382,6594,57371,7182,2940,2301,1551,2226,60470,2308,1699,352,134,45,46,2280,471,64,407,,148441,61,4351,152853,251806,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D03.pdf
15,MEXICO,4,LERMA DE VILLADA,118,421,24744,50441,5477,3644,15354,3194,3645,66399,2757,4496,505,324,53,17,1364,321,44,345,,183124,75,5527,188726,262595,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D04.pdf
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,405,7990,47545,9161,3070,4497,2061,2829,66249,3032,2744,420,124,52,57,2374,414,62,487,,153168,98,5310,158576,263181,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D05.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,106,349,13549,23884,7124,3214,5102,2258,2632,68066,3188,3089,525,206,70,59,2096,440,87,405,,135994,81,4000,140075,222082,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D06.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,137,429,22673,40908,11479,9401,9246,2517,5375,65443,2603,6585,511,333,67,86,1185,611,81,279,,179383,137,6723,186243,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D07.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,150,389,17572,28352,7536,3238,5459,2492,4290,75460,3555,2790,472,174,88,31,1902,457,45,420,,154333,90,4850,159273,232046,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D08.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,529,17453,57494,30226,6814,4715,2019,5826,50158,1752,3404,578,494,73,115,689,495,50,286,,182641,90,8533,191264,272227,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D09.pdf
15,MEXICO,10,VALLE DE BRAVO,176,456,17552,59765,22685,5144,9866,1790,4358,47386,1708,9323,,,,,910,279,62,254,,181082,74,8123,189279,252414,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D10.pdf
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,125,399,17310,23749,10607,3390,4981,5101,6845,74297,3608,5101,708,186,74,83,1989,346,78,411,,158864,123,4918,163905,247313,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D11.pdf
15,MEXICO,12,TEOLOYUCAN,103,398,23561,30879,3931,3066,8854,10178,5002,75387,4341,4043,667,223,149,45,1644,320,37,369,,172696,75,5195,177966,260134,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D12.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA,162,465,26053,46591,3442,4941,11832,2528,10206,58402,3052,3634,510,202,86,50,1177,352,67,297,,173422,56,7697,181175,260074,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D13.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,178,465,29441,50459,4242,3240,15436,6304,15827,48981,2446,2042,681,255,185,47,910,215,51,368,,181130,47,7260,188437,252956,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D14.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON,121,411,17495,46403,3299,11480,7116,5846,4450,57553,3073,3398,914,148,185,92,1833,727,100,398,,164510,94,7625,172229,248081,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D15.pdf
