ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,1,PICH,5,12,1722,1253,470,32,154,30,48,801,58,32,11,168,10,15,0,,,,,4804,0,534,5338,6852,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_PICH.PDF
4,CAMPECHE,1,CAMPECHE,2,TIXMUCUY,6,7,151,1103,29,7,0,0,59,879,0,0,,19,4,3,0,,,,,2254,0,71,2325,2748,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_TIXM.PDF
4,CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,5,7,403,787,58,3,15,6,14,420,10,63,5,13,7,2,0,,,,,1806,0,46,1852,2440,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_ALFR.PDF
4,CAMPECHE,1,CAMPECHE,4,HAMPOLOL,4,7,299,823,53,7,0,129,33,901,0,55,26,14,7,1,0,,,,,2348,2,68,2418,3023,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_HAMP.PDF
4,CAMPECHE,2,CALKINI,5,BECAL,7,13,729,1290,190,18,300,117,154,1249,12,58,8,74,7,11,4,,,,180,4401,63,136,4600,5752,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_BECA.PDF
4,CAMPECHE,2,CALKINI,6,DZITBALCHE,6,17,132,3150,447,54,727,1043,159,1940,0,432,70,293,35,23,2,,,,,8507,30,295,8832,10914,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_DZIT.PDF
4,CAMPECHE,2,CALKINI,7,NUNKINI,8,14,863,2606,207,230,115,47,375,1631,0,35,,44,14,19,4,,,,,6190,1,193,6384,7433,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_NUNK.PDF
4,CAMPECHE,3,CARMEN,8,ATASTA,7,20,451,1526,92,104,69,45,94,1612,32,57,5,119,38,15,4,,47,510,,4820,38,288,5146,11712,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_ATAS.PDF
4,CAMPECHE,3,CARMEN,9,MAMANTEL,8,12,535,1150,4,58,12,42,93,1599,6,3,28,49,19,2,1,,,,,3601,1,214,3816,5951,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_MAMA.PDF
4,CAMPECHE,3,CARMEN,10,SABANCUY,11,21,1144,3322,102,73,567,150,108,2544,37,51,,124,44,11,3,104,,,,8384,0,526,8910,12991,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_SABA.PDF
4,CAMPECHE,4,CHAMPOTON,11,HOOL,3,7,917,872,144,33,2,0,24,17,0,24,,46,20,4,1,,,,,2104,0,370,2474,3814,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_HOOL.PDF
4,CAMPECHE,4,CHAMPOTON,12,SEYBAPLAYA,11,23,321,2835,1543,96,17,4,320,3541,6,134,,107,28,21,4,,,,,8977,12,585,9574,12797,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_SEYB.PDF
4,CAMPECHE,4,CHAMPOTON,13,SIHOCHAC,3,6,319,904,56,28,0,0,49,827,0,0,,49,9,3,0,,,,,2244,0,109,2353,3010,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_SIHO.PDF
4,CAMPECHE,4,CHAMPOTON,14,CARRILLO PUERTO,7,9,483,1310,79,19,71,15,58,1246,100,14,,38,17,2,3,,,,,3455,0,209,3664,5043,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_CARR.PDF
4,CAMPECHE,5,HECELCHAKAN,15,POMUCH,6,12,1783,1074,124,30,17,30,69,1205,1099,159,13,29,3,6,0,,,,,5641,3,222,5866,7005,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_POMU.PDF
4,CAMPECHE,6,HOPELCHEN,16,BOLONCHEN DE REJON,5,9,860,1393,20,76,45,0,39,700,0,0,,28,10,1,2,,,,,3174,0,98,3272,4340,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_BOLO.PDF
4,CAMPECHE,6,HOPELCHEN,17,DZIBALCHEN,7,11,1547,1988,22,51,129,0,52,117,0,48,,61,23,4,1,,,,,4043,0,189,4232,6325,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_DZIB.PDF
4,CAMPECHE,6,HOPELCHEN,18,UKUM,7,11,1028,1506,26,18,124,0,26,1082,0,9,,22,8,2,0,,,,,3851,0,124,3975,4678,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_UKUM.PDF
4,CAMPECHE,8,TENABO,19,TINUN,3,4,275,515,13,50,0,4,22,354,0,0,1,20,7,1,0,,,,,1262,3,32,1297,1459,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_TINU.PDF
4,CAMPECHE,9,ESCARCEGA,20,CENTENARIO,4,7,193,650,781,21,0,26,19,798,0,89,3,35,16,7,0,,,,,2638,25,294,2957,4247,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_CENT.PDF
4,CAMPECHE,9,ESCARCEGA,21,DIVISION DEL NORTE,9,14,567,1026,185,89,102,38,52,1571,11,17,1,54,21,0,1,,,,,3735,127,386,4248,6325,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_DIVI.PDF
4,CAMPECHE,10,CANDELARIA,22,MIGUEL HIDALGO Y COSTILLA,17,24,1637,2358,102,42,68,25,77,747,20,4,,55,35,20,3,,,,,5193,0,364,5557,7414,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_MIGU.PDF
4,CAMPECHE,10,CANDELARIA,23,MONCLOVA,12,25,1103,1197,52,20,39,27,74,1778,6,3,,39,13,15,0,,,,,4366,0,341,4707,8238,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_MONC.PDF
4,CAMPECHE,11,CALAKMUL,24,CONSTITUCION,4,7,567,776,46,16,29,7,26,557,7,309,,32,16,3,3,,,,,2394,7,208,2609,3621,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/COMP_CONS.PDF
