id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PRS,PC,PRD-PRS,Nulos,Total
12,6/10/2005,12,Ayuntamientos,12,0,1,E,Extraordinaria,0,55,QUECHULTENANGO,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1974,0,50,0,0,13,0,1,123,9,196
12,6/10/2005,12,Ayuntamientos,12,0,1,B,Basica,0,55,QUECHULTENANGO,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1980,10,94,0,0,72,0,2,110,8,296
12,6/10/2005,12,Ayuntamientos,12,0,1,B,Basica,0,55,QUECHULTENANGO,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1985,1,39,0,0,79,0,3,95,17,234
12,6/10/2005,12,Ayuntamientos,12,0,2,C,Contigua,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1590,11,115,166,0,3,3,3,0,4,305
12,6/10/2005,12,Ayuntamientos,12,0,4,C,Contigua,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1590,5,94,187,0,5,4,2,0,2,299
12,6/10/2005,12,Ayuntamientos,12,0,1,B,Basica,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1592,9,59,125,0,0,5,0,0,10,208
12,6/10/2005,12,Ayuntamientos,12,0,2,C,Contigua,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1595,3,90,156,0,2,0,0,0,5,256
12,6/10/2005,12,Ayuntamientos,12,0,1,C,Contigua,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1597,1,61,80,0,0,2,3,0,3,150
12,6/10/2005,12,Ayuntamientos,12,0,1,B,Basica,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1600,5,48,139,0,1,3,2,0,1,199
12,6/10/2005,12,Ayuntamientos,12,0,1,B,Basica,0,40,JOSE AZUETA,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1604,7,75,147,0,1,16,3,0,4,253
