CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,1,B,1,0,B,26,129,2,3,113,0,0,44,2,0,0,,0,0,0,0,0,0,0,0,,,,,,,319,1,5,325,482,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0001BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,2,B,1,0,B,28,95,1,2,80,4,2,65,1,0,1,,2,3,0,0,1,0,0,0,,,,,,,285,0,8,293,479,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0002BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,3,B,1,0,B,20,100,2,3,97,2,5,52,0,0,2,,1,0,0,0,1,0,0,0,,,,,,,285,0,8,293,456,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0003BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,3,C,1,0,C01,15,93,1,3,87,2,1,53,0,0,2,,1,0,1,0,0,0,0,0,,,,,,,259,1,14,274,455,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0003CON01.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,4,B,1,0,B,11,137,1,0,98,4,3,40,0,0,6,,0,0,0,0,0,0,0,0,,,,,,,300,0,8,308,438,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0004BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,5,B,1,0,B,20,65,3,1,65,4,4,24,0,0,0,,2,0,0,0,0,0,0,0,,,,,,,188,0,5,193,319,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0005BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,6,B,1,0,B,56,121,16,3,105,10,5,57,0,3,0,,2,1,0,0,3,1,0,0,,,,,,,383,0,2,385,663,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0006BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,7,B,1,0,B,6,128,1,0,13,0,1,15,1,0,1,,0,0,0,1,0,0,0,0,,,,,,,167,0,5,172,313,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0007BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,8,B,1,0,B,15,174,2,4,108,1,2,58,3,0,0,,0,0,0,0,2,0,0,1,,,,,,,370,0,8,378,587,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0008BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,9,B,1,0,B,27,74,0,2,32,0,2,9,1,0,0,,1,0,0,0,0,0,0,0,,,,,,,148,0,2,150,247,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0009BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,10,B,1,0,B,14,101,2,1,62,0,1,45,0,1,1,,0,0,0,0,0,0,0,0,,,,,,,228,0,15,243,324,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0010BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,13,B,1,0,B,24,84,5,3,143,2,0,61,0,0,0,,0,0,1,0,0,0,0,1,,,,,,,324,0,8,332,583,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0013BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,14,B,1,0,B,16,200,6,,7,10,113,,,,109,,2,0,0,0,,,,,,,,,,,463,0,26,489,709,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0014BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,15,B,1,0,B,17,161,2,,2,9,158,,,,116,,1,0,2,0,,,,,,,,,,,468,0,15,483,745,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0015BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,16,B,1,0,B,6,22,2,,5,5,36,,,,25,,0,0,0,0,,,,,,,,,,,101,0,10,111,204,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0016BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,17,B,1,0,B,0,106,7,,4,3,65,,,,182,,0,0,0,0,,,,,,,,,,,367,0,15,382,566,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0017BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,17,C,1,0,C01,2,123,9,,4,7,53,,,,170,,0,0,0,1,,,,,,,,,,,369,0,14,383,566,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0017CON01.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,18,B,1,0,B,3,130,8,,4,7,52,,,,202,,0,0,0,0,,,,,,,,,,,406,0,10,416,630,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0018BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,19,B,1,0,B,2,97,3,,4,2,14,,,,66,,0,0,0,0,,,,,,,,,,,188,0,5,193,314,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0019BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,20,B,1,0,B,13,126,1,,5,8,46,,,,75,,0,2,0,0,,,,,,,,,,,276,1,18,295,442,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0020BAS00.jpg
1,32,ZACATECAS,13,JALPA,2,APULCO,21,B,1,0,B,2,57,5,,2,1,11,,,,20,,1,0,0,0,,,,,,,,,,,99,0,6,105,167,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0021BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,22,B,1,0,B,129,131,2,,190,1,,,,0,,,3,0,0,0,,,,,,,,,,,456,1,45,502,792,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0022BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,23,B,1,0,B,49,41,3,,103,0,,,,0,,,0,0,0,0,,,,,,,,,,,196,0,30,226,349,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0023BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,24,B,1,0,B,80,42,0,,126,1,,,,2,,,2,1,0,0,,,,,,,,,,,254,1,34,289,438,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0024BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,26,B,1,0,B,52,44,0,,75,0,,,,0,,,1,1,0,0,,,,,,,,,,,173,0,30,203,309,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0026BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,27,B,1,0,B,54,18,6,,45,0,,4,1,0,,,0,0,0,0,,,,,,,,,,,123,1,7,131,177,Acta casilla,,Se convierten en votos nulos los de Morena y Encuentro Social al no registrar candidato,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0027BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,28,B,1,0,B,29,29,2,,32,3,,,,0,,,0,1,0,0,,,,,,,,,,,96,0,2,98,131,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0028BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,29,B,1,0,B,17,11,0,,46,2,,1,,0,,,0,1,0,0,,,,,,,,,,,77,0,6,83,110,Acta casilla,,Se convierten en votos nulos los de Morena al no registrar candidato,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0029BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,30,B,1,0,B,15,12,4,,39,0,,2,,0,,,0,0,0,0,,,,,,,,,,,70,0,6,76,107,Acta casilla,,Se convierten en votos nulos los de Morena al no registrar candidato,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0030BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,31,B,1,0,B,115,55,2,9,,1,9,85,4,1,,,0,2,1,0,2,0,0,0,,,,,,,286,0,13,299,395,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0031BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,32,B,1,0,B,169,74,6,11,,4,14,61,5,1,,,0,2,1,0,1,0,0,1,,,,,,,350,0,10,360,500,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0032BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,33,B,1,0,B,125,67,0,6,,0,10,48,7,0,,,0,0,0,0,0,1,0,0,,,,,,,264,0,1,265,387,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0033BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,34,B,1,0,B,164,56,3,7,,1,16,57,10,0,,,2,0,0,0,0,1,0,2,,,,,,,319,0,2,321,450,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0034BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,35,B,1,0,B,160,99,10,6,,1,25,68,3,1,,,1,3,0,0,3,0,0,0,,,,,,,380,0,5,385,585,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0035BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,36,B,1,0,B,143,53,3,5,,1,8,37,4,0,,,0,1,0,0,0,1,0,0,,,,,,,256,0,3,259,374,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0036BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,37,B,1,0,B,98,27,0,2,,0,6,25,1,1,,,1,0,1,0,1,0,0,0,,,,,,,163,0,5,168,246,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0037BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,38,B,1,0,B,83,109,1,4,,0,2,28,12,0,,,0,1,0,0,1,1,1,2,,,,,,,245,0,3,248,350,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0038BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,39,B,1,0,B,93,40,1,2,,1,4,17,2,0,,,0,2,0,0,1,1,0,0,,,,,,,164,0,0,164,191,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0039BAS00.jpg
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,B,1,0,B,170,41,8,7,37,4,1,72,3,18,0,7,7,2,0,0,1,1,1,0,,,,,,,380,0,10,390,664,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0040BAS00.jpg
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,C,1,0,C01,203,54,11,6,39,0,4,53,1,16,1,13,7,2,0,0,0,1,0,1,,,,,,,412,0,15,427,664,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0040CON01.jpg
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,C,2,0,C02,198,29,10,10,26,4,3,59,0,11,0,5,3,2,2,0,0,0,0,1,,,,,,,363,0,10,373,664,Acta levantada en consejo,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A0040CON02.jpg
