ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,146,368,69784,31958,3162,1249,3446,2453,1878,20008,969,1163,1317,1257,495,142,27,,,139308,61,4821,144190,205172,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CAMPECHE.PDF
4,CAMPECHE,2,CALKINI,36,76,1116,11451,4270,575,1361,2545,1004,7965,168,233,87,498,75,102,13,,358,31821,3,966,32790,40662,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CALKINI.PDF
4,CAMPECHE,3,CARMEN,135,301,29608,27862,1186,699,4657,948,797,29544,817,1300,264,1104,403,177,18,2138,,101522,27,4400,105949,178048,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CARMEN.PDF
4,CAMPECHE,4,CHAMPOTON,56,117,6599,13899,2058,480,1453,550,1086,13930,737,256,69,514,200,68,7,,,41906,18,2474,44398,64270,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CHAMPOTON.PDF
4,CAMPECHE,5,HECELCHAKAN,18,37,5496,2988,248,92,72,98,409,1756,6183,50,47,117,10,38,6,,,17610,1,580,18191,22098,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_HECELCHAKAN.PDF
4,CAMPECHE,6,HOPELCHEN,32,54,5189,9308,166,327,1139,127,286,1943,148,43,386,263,101,32,1,,,19459,0,623,20082,26997,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_HOPELCHEN.PDF
4,CAMPECHE,7,PALIZADA,10,13,125,1882,1264,14,27,321,23,1666,15,2,109,419,13,4,0,,,5884,0,133,6017,6978,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_PALIZADA.PDF
4,CAMPECHE,8,TENABO,8,17,1013,2259,29,83,46,41,158,2857,12,9,13,88,31,22,2,,,6663,0,137,6800,8006,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_TENABO.PDF
4,CAMPECHE,9,ESCARCEGA,36,72,3283,6704,835,302,2316,292,239,9537,380,154,51,333,116,30,8,,,24580,27,1459,26066,39866,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_ESCARCEGA.PDF
4,CAMPECHE,10,CANDELARIA,30,61,8021,6511,287,76,308,175,231,3098,72,21,95,221,118,33,2,,,19269,21,1009,20299,30987,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CANDELARIA.PDF
4,CAMPECHE,11,CALAKMUL,18,39,1766,5108,302,75,645,130,130,1217,66,3104,69,259,102,23,45,,,13041,15,911,13967,18972,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CALAKMUL.PDF
