ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PRD,PT,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,146,368,3162,3446,20008,969,1163,73554,37006,,,139308,61,4821,144190,205172,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CAMPECHE.PDF
4,CAMPECHE,2,CALKINI,36,76,4270,1361,7965,168,233,3748,13718,,358,31821,3,966,32790,40662,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CALKINI.PDF
4,CAMPECHE,3,CARMEN,135,301,1186,4657,29544,817,1300,30820,31060,2138,,101522,27,4400,105949,178048,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CARMEN.PDF
4,CAMPECHE,4,CHAMPOTON,56,117,2058,1453,13930,737,256,7218,16254,,,41906,18,2474,44398,64270,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CHAMPOTON.PDF
4,CAMPECHE,5,HECELCHAKAN,18,37,248,72,1756,6183,50,5641,3660,,,17610,1,580,18191,22098,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_HECELCHAKAN.PDF
4,CAMPECHE,6,HOPELCHEN,32,54,166,1139,1943,148,43,5702,10318,,,19459,0,623,20082,26997,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_HOPELCHEN.PDF
4,CAMPECHE,7,PALIZADA,10,13,1264,27,1666,15,2,555,2355,,,5884,0,133,6017,6978,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_PALIZADA.PDF
4,CAMPECHE,8,TENABO,8,17,29,46,2857,12,9,1067,2643,,,6663,0,137,6800,8006,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_TENABO.PDF
4,CAMPECHE,9,ESCARCEGA,36,72,835,2316,9537,380,154,3626,7732,,,24580,27,1459,26066,39866,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_ESCARCEGA.PDF
4,CAMPECHE,10,CANDELARIA,30,61,287,308,3098,72,21,8291,7192,,,19269,21,1009,20299,30987,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CANDELARIA.PDF
4,CAMPECHE,11,CALAKMUL,18,39,302,645,1217,66,3104,1965,5742,,,13041,15,911,13967,18972,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_CALAKMUL.PDF
