ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,10,17,144,346,391,1588,156,18,789,207,112,,,,,6,17,2,0,34,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5077,2,402,5481,8549,http://iem.org.mx/actas_mpio/A4_ACUITZIO.pdf
16,MICHOACAN,2,AGUILILLA,13,22,137,1668,1267,105,,64,,1145,,,,,,27,25,5,15,42,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4846,0,620,5466,12272,http://iem.org.mx/actas_mpio/A4_AGUILILLA.pdf
16,MICHOACAN,3,ÁLVARO OBREGÓN,12,30,0,3607,0,163,1958,0,,228,3548,,,,,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9516,5,897,10418,16440,http://iem.org.mx/actas_mpio/A4_ÁLVARO OBREGÓN.pdf
16,MICHOACAN,4,ANGAMACUTIRO,13,23,166,1935,3841,181,34,85,,1397,,,,,,43,31,4,14,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7776,4,224,8004,12431,http://iem.org.mx/actas_mpio/A4_ANGAMACUTIRO.pdf
16,MICHOACAN,5,ANGANGUEO,6,12,79,716,984,1570,1187,16,320,183,,,,,,20,15,1,11,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5227,0,296,5523,7764,http://iem.org.mx/actas_mpio/A4_ANGANGUEO.pdf
16,MICHOACAN,6,APATZINGÁN,79,165,1859,8938,5795,2616,3652,804,4297,14915,385,,,,,113,63,8,27,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43930,159,2202,46291,90067,http://iem.org.mx/actas_mpio/A4_APATZINGÁN.pdf
16,MICHOACAN,7,ÁPORO,4,6,297,241,172,289,417,11,,621,,,,,,9,25,2,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129,0,67,2196,2698,http://iem.org.mx/actas_mpio/A4_ÁPORO.pdf
16,MICHOACAN,8,AQUILA,13,31,616,2378,2641,522,5118,170,,2325,,,,,,48,185,7,26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14084,0,469,14553,18813,http://iem.org.mx/actas_mpio/A4_AQUILA.pdf
16,MICHOACAN,9,ARIO,21,47,6685,1056,488,257,5028,149,,1006,,,,,,214,179,35,7,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15162,21,752,15935,26009,http://iem.org.mx/actas_mpio/A4_ARIO.pdf
16,MICHOACAN,10,ARTEAGA,14,36,642,1445,3425,49,326,45,2810,928,,,4,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9701,2,885,10588,16210,http://iem.org.mx/actas_mpio/A4_ARTEAGA.pdf
