CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,PRD_PT,MC,PSD,MORENA,ES,PH,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,1,B,3,65,69,31,5,2,3,5,11,44,,6,134,2,81,31,,,,0,492,17,509,714,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,1,C01,4,73,66,45,0,0,1,9,9,45,,7,129,2,71,16,,,,0,477,7,484,713,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,2,B,4,60,22,11,2,3,1,0,17,38,,10,70,0,25,25,,,,0,288,9,297,505,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,2,C01,8,50,19,12,0,2,3,3,15,36,,9,111,0,36,24,,,,0,328,6,334,505,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,3,B,2,94,39,17,1,1,0,5,9,70,,11,67,2,51,41,,,,1,410,12,423,589,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,3,C01,9,108,34,17,1,2,2,3,18,59,,9,66,2,44,53,,,,1,427,12,440,589,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,4,B,0,83,36,20,3,1,0,0,10,62,,2,86,0,33,62,,,,0,398,6,404,563,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,4,C01,1,75,50,15,5,1,0,2,6,60,,19,66,1,26,50,,,,0,377,20,397,563,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,4,E01,3,61,31,8,2,3,0,0,11,22,,3,69,0,31,9,,,,0,253,8,261,399,ACTA CASILLA,,,
,17,MORELOS,9,PUENTE DE IXTLA,1,AMACUZAC,5,B,2,80,17,3,0,1,0,2,16,46,,20,140,0,48,23,,,,0,398,8,406,577,ACTA CASILLA,,,
