ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,146,368,70443,32696,3162,1928,3446,3111,2382,20008,969,1163,,,139308,61,4821,144190,205172,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_CAMPECHE.PDF
4,CAMPECHE,2,CALKINI,36,76,1159,11706,4270,784,1361,2589,1228,7965,168,233,,358,31821,3,966,32790,40662,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_CALKINI.PDF
4,CAMPECHE,3,CARMEN,135,301,29740,28520,1186,1277,4657,1080,1263,29544,817,1300,2138,,101522,27,4400,105949,178048,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_CARMEN.PDF
4,CAMPECHE,4,CHAMPOTON,56,117,6634,14205,2058,754,1453,584,1295,13930,737,256,,,41906,18,2474,44398,64270,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_CHAMPOTON.PDF
4,CAMPECHE,5,HECELCHAKAN,18,37,5520,3051,248,139,72,121,470,1756,6183,50,,,17610,1,580,18191,22098,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_HECELCHAKAN.PDF
4,CAMPECHE,6,HOPELCHEN,32,54,5382,9463,166,466,1139,320,389,1943,148,43,,,19459,0,623,20082,26997,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_HOPELCHEN.PDF
4,CAMPECHE,7,PALIZADA,10,13,179,2031,1264,159,27,376,165,1666,15,2,,,5884,0,133,6017,6978,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_PALIZADA.PDF
4,CAMPECHE,8,TENABO,8,17,1020,2316,29,128,46,47,199,2857,12,9,,,6663,0,137,6800,8006,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_TENABO.PDF
4,CAMPECHE,9,ESCARCEGA,36,72,3309,6888,835,475,2316,317,369,9537,380,154,,,24580,27,1459,26066,39866,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_ESCARCEGA.PDF
4,CAMPECHE,10,CANDELARIA,30,61,8069,6661,287,209,308,222,322,3098,72,21,,,19269,21,1009,20299,30987,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_CANDELARIA.PDF
4,CAMPECHE,11,CALAKMUL,18,39,1801,5258,302,234,645,164,250,1217,66,3104,,,13041,15,911,13967,18972,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/CIRC_CALAKMUL.PDF
