ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI_PVEM_NVA_ALIANZA,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,1,ACONCHI,2,5,802,889,0,0,0,0,0,0,108,0,0,0,0,0,0,0,1799,29,1828,2271,0.8049
26,SONORA,2,AGUA PRIETA,30,97,16858,10508,0,392,0,325,297,0,494,0,0,0,0,0,0,0,28874,647,29521,60676,0.4865
26,SONORA,62,ALAMOS,29,41,4962,6494,0,0,0,57,616,0,91,0,0,0,0,0,0,0,12220,244,12464,18909,0.6592
26,SONORA,3,ALTAR,7,12,1057,1718,0,1376,0,212,0,0,5,0,0,0,0,0,0,0,4368,63,4431,6217,0.7127
26,SONORA,4,ARIVECHI,3,4,464,557,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1037,9,1046,1278,0.8185
26,SONORA,5,ARIZPE,5,7,785,1101,0,472,0,0,0,0,1,0,0,0,0,0,0,0,2359,29,2388,2846,0.8391
26,SONORA,6,ATIL,1,1,202,0,205,0,0,0,209,0,0,0,0,0,0,0,0,0,616,10,626,740,0.8459
26,SONORA,7,BACADEHUACHI,1,2,267,313,0,0,0,0,318,0,0,0,0,0,0,0,0,0,898,14,912,1033,0.8829
26,SONORA,8,BACANORA,4,4,425,0,30,0,436,0,159,0,0,0,0,0,0,0,0,0,1050,35,1085,1605,0.676
26,SONORA,9,BACERAC,2,2,387,304,0,280,0,0,0,0,0,0,0,0,0,0,0,0,971,8,979,1130,0.8664
26,SONORA,10,BACOACHI,2,3,254,589,0,204,0,0,0,0,0,0,0,0,0,0,0,0,1047,21,1068,1416,0.7542
26,SONORA,58,BACUM,13,30,2548,0,3073,3354,211,37,216,0,192,0,131,0,0,0,0,0,9762,275,10037,17328,0.5792
26,SONORA,11,BANAMICHI,2,3,586,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,9,1236,1459,0.8472
26,SONORA,12,BAVIACORA,6,9,1777,906,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2687,35,2723,3247,0.8386
26,SONORA,13,BAVISPE,2,3,481,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,7,1082,1339,0.8081
26,SONORA,71,BENITO JUAREZ,12,25,3165,0,3880,932,57,0,1129,0,109,0,91,0,0,0,0,1,9363,216,9580,15196,0.6304
26,SONORA,14,BENJAMIN HILL,4,8,693,820,0,0,0,75,634,0,47,0,204,0,0,0,0,0,2473,36,2509,3815,0.6577
26,SONORA,46,CABORCA,36,99,8404,0,12027,274,268,569,281,0,4778,0,531,0,0,0,0,0,27132,677,27809,57916,0.4802
