CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,1,B,1,0,B,,,68,14,,,,17,52,5,131,,,,138,,,4,2,1,1,433,0,36,469,730,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,1,C,1,0,C01,,,79,16,,,,32,71,5,140,,,,142,,,1,1,0,0,487,0,34,521,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,B,1,0,B,,,61,19,,,,28,87,7,111,,,,160,,,4,0,0,2,479,1,44,524,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,C,1,0,C01,,,62,19,,,,26,69,7,144,,,,126,,,1,1,0,1,456,2,38,496,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,C,2,0,C02,,,54,18,,,,134,92,6,134,,,,117,,,4,1,0,0,560,0,33,593,729,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,3,B,1,0,B,,,58,5,,,,8,7,0,30,,,,42,,,0,0,0,0,150,0,28,178,294,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,4,B,1,0,B,,,58,5,,,,8,7,0,30,,,,42,,,0,0,0,0,150,0,28,178,366,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,5,B,1,0,B,,,74,3,,,,4,8,1,26,,,,19,,,0,0,0,0,135,0,24,159,218,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,6,B,1,0,B,,,31,9,,,,34,35,3,147,,,,41,,,0,0,0,1,301,0,49,350,518,ACTA LEVANTADA EN CONSEJO,,,
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,6,E,1,0,E01,,,90,13,,,,11,18,3,84,,,,101,,,0,0,0,0,320,0,49,369,575,ACTA LEVANTADA EN CONSEJO,,,
