ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO CIN,153,332,29017,20858,3086,13846,1812,5359,5673,9405,1443,90499,137,5303,95939,184197,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,370,41854,18551,4518,8500,2616,7126,5058,23669,1881,113773,56,6686,120515,209948,
11,GUANAJUATO,3,LEON,88,298,65199,9747,1072,9200,1793,2389,2284,13916,1771,107371,100,3778,111249,186470,
11,GUANAJUATO,4,LEON,115,298,44764,11180,1357,7988,1928,2022,2168,14401,1533,87341,134,4889,87475,185354,
11,GUANAJUATO,5,LEON,99,293,48711,10009,1151,8011,1910,2301,2059,13620,1545,89317,102,3609,93028,183623,
11,GUANAJUATO,6,LEON,126,303,46929,12271,1211,8440,1931,1951,1893,12569,1471,88666,66,4196,92931,182252,
11,GUANAJUATO,7,LEON,206,364,62982,12873,1238,10616,2145,2543,2609,16849,1817,113672,101,4679,118452,198253,
11,GUANAJUATO,8,GUANAJUATO,128,330,29067,19054,2900,10530,2704,3024,4657,18061,2142,92139,87,5304,97530,191337,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,336,33286,12271,1824,11930,2174,2249,4010,20760,2848,91352,100,5166,91466,192643,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,341,50021,25722,1147,10161,1181,2316,1848,8833,633,101862,50,4029,101862,198991,
11,GUANAJUATO,11,IRAPUATO,109,340,46349,18415,1779,5272,2792,1993,2623,21429,2370,103022,102,4421,103124,211800,
11,GUANAJUATO,12,IRAPUATO,140,340,36683,15558,1538,5263,2897,2134,2771,25571,2560,94975,4176,113,97708,203287,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,307,27150,18285,1661,8659,2207,1742,3941,19969,1304,84918,141,3228,88287,179803,
11,GUANAJUATO,14,SALAMANCA,154,361,38139,11954,2618,8299,3998,3076,3052,38215,2739,112090,119,4514,116723,212516,
11,GUANAJUATO,15,CELAYA,171,369,42513,12923,1663,8965,3031,3918,3523,25635,3664,105835,303,4991,106138,205305,
11,GUANAJUATO,16,CELAYA,110,320,32172,11045,1485,6208,2571,2729,2770,23020,2078,84078,198,3857,96246,199049,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,277,26706,6568,8155,8327,1245,2358,8875,17645,1109,80988,580,4249,85817,165941,
11,GUANAJUATO,18,PENJAMO,185,395,35910,22817,2666,9551,2749,2791,3545,23205,1413,104647,62,4969,109678,219081,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,388,35827,14931,17675,8569,2678,3827,6727,18385,1696,110315,97,5239,115651,217572,
11,GUANAJUATO,20,YURIRIA,212,437,41811,25217,6259,16430,2934,3840,2544,23242,1564,123841,64,6036,129941,247283,
11,GUANAJUATO,21,LEON,89,280,49683,9348,1128,9641,1940,2371,3030,16713,1993,95847,108,3587,99542,178486,
11,GUANAJUATO,22,ACAMBARO,212,384,25810,16755,7400,8522,2561,7991,2980,24421,1749,98189,410,6509,105108,206340,
