PAN_MC,,PRI_PANAL,,PVEM_PANAL
CANSAHCAB,,ACANCEH,,CALOTMUL
CANTAMAYEC,,BOKOBÁ,,ESPITA
CHACSINKÍN,,CALOTMUL,,PETO
CHAPAB,,CANTAMAYEC,,VALLADOLID
CHIKINDZONOT,,CELESTÚN,,
CONKAL,,CENOTILLO,,no Morena_PT_PES
CUNCUNUL,,CHACSINKÍN,,TEKAL DE VENEGAS
DZEMUL,,IXIL,,TEPAKÁN
DZILAM GONZÁLEZ,,KANTUNIL,,YAXKUKUL
DZONCAUICH,,MANÍ,,
HOMUN ,,OPICHEN,,
HUHÍ,,SACALUM,,
HUNUCMÁ,,SINANCHE,,
IXIL,,SOTUTA,,
IZAMAL ,,SUCILÁ,,
KINCHIL,,TEABO,,
KOPOMÁ,,TEKAL DE VENEGAS,,
MAXCANÚ,,TEKAX ,,
MOCOCHA,,TELCHAC PUEBLO,,
MOTUL ,,TEPAKÁN,,
MUNA,,TICUL,,
MUXUPIP,,TIXMÉHUAC,,
OPICHEN,,TIXPEHUAL,,
PANABÁ,,TUNKAS,,
PETO,,,,
PROGRESO,,,,
QUINTANA ROO,,,,
RÍO LAGARTOS,,,,
SAMAHIL,,,,
SANAHCAT,,,,
SEYE ,,,,
SUCILÁ,,,,
SUMA DE HIDALGO,,,,
TEABO,,,,
TECOH,,,,
TEKAL DE VENEGAS,,,,
TEKANTÓ,,,,
TELCHAC PUEBLO,,,,
TETIZ,,,,
TICUL,,,,
TIXCACALCUPUL,,,,
TIXKOKOB,,,,
TIXPEHUAL,,,,
TZUCACAB,,,,
UAYMA,,,,
VALLADOLID,,,,
YAXCABÁ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,listanom,dif prep,,
Baja California Sur,No,Si,,
Campeche   ,Si,Si,,
Chiapas    ,Si,No,,
Colima     ,Si,Si,,
Estado de Mexico,Si,Si,,
Guanajuato ,Si,Si,,
Guerrero   ,Si,Si,,
Jalisco    ,No,Si,,
Michoacan  ,No,Si,,
Morelos    ,Si,Si,,
Nuevo Leon ,Si,Si,,
Puebla ,No,Si,,
Queretaro  ,Si,Si,,
San Luis Potosi,No,Si,,
Sonora     ,Si,Si,,
Tabasco    ,Si,Si,,
Yucatan  ,Si,Si,,
