"ENTIDAD","DISTRITO","MUNICIPIO","SECCION","PADRON_HOMBRES","PADRON_MUJERES","PADRON","LISTA_HOMBRES","LISTA_MUJERES","LISTA"
1,0,0,0,2464,1750,4214,641,460,1101
1,1,2,338,873,886,1759,852,871,1723
1,1,2,339,812,850,1662,798,836,1634
1,1,2,340,842,837,1679,807,811,1618
1,1,2,341,958,987,1945,918,949,1867
1,1,2,342,749,767,1516,741,759,1500
1,1,2,343,1434,1514,2948,1419,1497,2916
1,1,2,344,1221,1247,2468,1208,1236,2444
1,1,2,345,1054,1111,2165,1046,1098,2144
1,1,2,346,893,906,1799,881,899,1780
1,1,2,347,1251,1263,2514,1212,1210,2422
1,1,2,348,781,845,1626,773,836,1609
1,1,2,349,1179,1207,2386,1167,1196,2363
1,1,2,350,1234,1230,2464,1218,1216,2434
1,1,2,351,697,695,1392,686,680,1366
1,1,2,352,1125,1180,2305,1116,1170,2286
1,1,2,353,731,742,1473,726,741,1467
1,1,2,354,738,669,1407,730,663,1393
1,1,3,355,725,732,1457,712,726,1438
1,1,3,356,1283,1321,2604,1262,1309,2571
1,1,3,357,754,874,1628,746,869,1615
1,1,3,358,1626,1771,3397,1608,1767,3375
1,1,3,359,527,551,1078,518,548,1066
1,1,3,360,377,412,789,375,409,784
1,1,3,361,908,942,1850,894,934,1828
1,1,3,362,1100,1110,2210,1090,1100,2190
1,1,3,363,925,985,1910,913,976,1889
1,1,3,364,338,298,636,335,295,630
1,1,3,365,183,178,361,180,173,353
1,1,3,366,355,327,682,352,327,679
1,1,3,367,835,902,1737,828,895,1723
1,1,3,368,43,37,80,43,37,80
1,1,3,369,234,201,435,231,200,431
1,1,3,370,656,693,1349,647,686,1333
1,1,3,371,524,533,1057,514,531,1045
1,1,3,372,538,544,1082,528,537,1065
1,1,3,373,639,605,1244,629,601,1230
1,1,3,374,553,536,1089,547,528,1075
1,1,3,375,915,952,1867,910,947,1857
1,1,3,376,1016,1049,2065,1010,1040,2050
1,1,3,377,745,769,1514,736,763,1499
1,1,3,378,190,182,372,190,181,371
1,1,3,379,722,771,1493,719,767,1486
1,1,3,380,952,966,1918,944,959,1903
1,1,3,381,516,535,1051,513,530,1043
1,1,3,382,887,886,1773,874,878,1752
1,1,3,383,1237,1230,2467,1226,1220,2446
1,1,3,384,631,628,1259,628,626,1254
1,1,3,385,750,785,1535,741,776,1517
1,1,3,386,747,735,1482,737,729,1466
1,1,4,387,1427,1587,3014,1401,1569,2970
1,1,4,388,994,1032,2026,979,1029,2008
1,1,4,389,837,888,1725,825,879,1704
1,1,4,390,1076,1170,2246,1054,1148,2202
1,1,4,391,1186,1202,2388,1164,1178,2342
1,1,5,392,2916,2957,5873,2888,2939,5827
1,1,5,393,1443,1496,2939,1427,1482,2909
1,1,5,394,2367,2492,4859,2335,2475,4810
1,1,5,395,773,787,1560,768,781,1549
1,1,5,396,2299,2375,4674,2273,2352,4625
1,1,5,397,4559,4694,9253,4520,4648,9168
1,1,5,398,599,641,1240,594,635,1229
1,1,5,399,729,763,1492,722,757,1479
1,1,5,400,718,765,1483,711,759,1470
1,1,5,401,1577,1648,3225,1553,1625,3178
1,1,5,402,530,552,1082,520,546,1066
1,1,5,403,2021,2218,4239,1995,2193,4188
1,1,5,405,3871,4087,7958,3841,4051,7892
1,1,5,406,1597,1584,3181,1584,1566,3150
1,1,5,407,508,507,1015,500,499,999
1,1,5,408,195,177,372,194,176,370
1,1,5,409,467,498,965,461,491,952
1,1,5,410,1192,1300,2492,1179,1282,2461
1,1,5,411,3101,3185,6286,3061,3150,6211
1,1,5,412,1672,1766,3438,1658,1750,3408
1,1,5,413,3540,3866,7406,3482,3809,7291
1,1,5,414,1221,1345,2566,1211,1331,2542
1,1,6,415,2441,2605,5046,2427,2591,5018
1,1,6,416,595,639,1234,593,637,1230
1,1,6,417,635,735,1370,631,729,1360
1,1,6,418,548,558,1106,542,556,1098
1,1,6,419,728,811,1539,723,800,1523
1,1,6,420,489,545,1034,488,545,1033
1,1,6,421,2451,2546,4997,2428,2530,4958
1,1,6,422,449,497,946,446,495,941
