ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TABASCO,1,BALANCAN,44,78,5749,5085,10997,837,123,3697,235,375,48,39,,,,,,,0,27185,638,27823,39125,0.7111
27,TABASCO,2,CARDENAS,122,290,2428,26892,27234,3844,14852,1866,716,5646,500,694,4151,,,,,,440,88823,2239,91502,168338,0.5436
27,TABASCO,3,CENTLA,64,130,2262,13007,10584,11160,898,741,310,3432,120,225,,338,,,,,13,43077,1701,44791,68974,0.6494
27,TABASCO,4,CENTRO,277,792,,39113,75611,4362,3746,,3301,47021,790,,,,,,,2829,581,176773,5219,182573,483868,0.3773
27,TABASCO,5,COMALCALCO,97,249,604,24447,27756,1379,425,449,853,32150,267,243,,,952,,,,14,89525,1952,91491,140999,0.6489
27,TABASCO,6,CUNDUACAN,59,149,295,8972,14600,3073,1022,683,12846,7084,338,195,,,,,,,7,49108,1618,50733,87834,0.5776
27,TABASCO,7,EMILIANO ZAPATA,16,41,378,3045,1088,5942,1615,235,84,2305,25,9,,,,,,,0,14726,270,14996,22743,0.6594
27,TABASCO,8,HUIMANGUILLO,97,223,317,29182,38040,8406,417,255,1042,1040,206,328,,,,,,,27,79233,2269,81529,123697,0.6591
27,TABASCO,9,JALAPA,27,52,115,6120,7802,2005,120,72,262,223,35,227,,,,,,,1,16981,596,17578,26810,0.6557
27,TABASCO,10,JALPA DE MENDEZ,37,95,771,10535,11034,11045,2299,1042,295,1269,162,169,,,,,,,1,38621,989,39611,58867,0.6729
27,TABASCO,11,JONUTA,26,42,23,4493,5524,4186,20,73,139,2332,34,26,,,,,,,0,16850,291,17141,21769,0.7874
27,TABASCO,12,MACUSPANA,82,193,633,13612,10765,8707,484,2591,3424,8641,532,597,,,,4692,,,28,54678,1850,56556,111695,0.5063
27,TABASCO,13,NACAJUCA,37,132,16320,10254,5339,4745,3222,619,243,5136,169,331,,,,,,,14,46378,1626,48018,83595,0.5744
27,TABASCO,14,PARAISO,45,110,10741,10375,11722,1814,171,1957,190,1243,653,704,,,,,741,,24,40311,787,41122,64696,0.6356
27,TABASCO,15,TACOTALPA,27,61,71,7400,6209,6952,85,74,115,307,28,39,,,,,,,6,21280,673,21959,31686,0.6930
27,TABASCO,16,TEAPA,26,66,268,6263,3616,6970,449,210,180,309,86,160,,,,,,,5,18511,523,19039,38260,0.4976
27,TABASCO,17,TENOSIQUE,45,79,182,11762,9667,1192,133,1542,190,237,38,18,,,,,,,3,24961,613,25577,40593,0.6301
