ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,23,493,1110,123,1340,3516,114,41,890,159,41,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7895,2,428,8325,13369,
17,MORELOS,2,ATLATLAHUCAN,12,28,1055,307,383,288,1516,1196,236,1085,194,88,2489,254,1644,913,,,,,,,,,,,,,,,,,,,,,,,,,,,11648,5,330,11983,16998,
17,MORELOS,3,AXOCHIAPAN,20,45,2367,2326,1887,156,1075,2249,893,1251,373,574,2312,,,,2063,,,,,,,,,,,,,,,,,,,,,,,,,,17526,1,479,18006,25912,
17,MORELOS,4,AYALA,42,104,1645,6761,2677,354,1581,1352,9090,6401,975,826,458,,,,,5727,,,,,,,,,,,,,,,,,,,,,,,,,37847,8,1529,39384,61774,
17,MORELOS,5,COATLAN DEL RIO,11,18,43,667,29,1728,16,10,5,56,4,1217,10,,,,,,2322,,,,,,,,,,,,,,,,,,,,,,,,6107,1,286,6394,8246,
17,MORELOS,6,CUAUTLA,91,236,10510,6026,8589,3370,3306,12272,1735,22434,2787,2620,1684,,,,,,,11599,,,,,,,,,,,,,,,,,,,,,,,86932,45,3178,90155,142231,
17,MORELOS,7,CUERNAVACA,205,527,45129,8856,10678,7307,6415,4655,4914,48030,7765,7766,2138,,,,,,,,27431,4439,10484,,,,,,,,,,,,,,,,,,,,196007,157,7167,203331,312635,
17,MORELOS,8,EMILIANO ZAPATA,21,97,1162,973,4077,18933,784,479,240,3442,1405,588,292,,,,,,,,,,,7387,,,,,,,,,,,,,,,,,,,39762,31,1286,41079,62469,
17,MORELOS,9,HUITZILAC,11,27,279,2564,192,1393,463,242,703,2431,405,55,1707,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,10940,2,304,11246,14751,
17,MORELOS,10,JANTETELCO,8,20,17,2138,131,95,33,13,1002,121,12,28,2405,,,,,,,,,,,,,2255,1293,,,,,,,,,,,,,,,,9543,0,230,9773,12685,
17,MORELOS,11,JIUTEPEC,70,260,7215,6384,25427,5086,7013,2117,2104,36456,6486,4189,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103855,102,2972,106929,164437,
17,MORELOS,12,JOJUTLA,36,79,1147,3509,1867,241,3002,915,206,11644,3448,479,386,,,,,,,,,,,,,,,2392,480,,,,,,,,,,,,,,29716,13,643,30372,46785,
17,MORELOS,13,JONACATEPEC,11,22,151,127,1698,169,877,1190,672,754,248,487,1411,,,,,,,,,,,,,,,,,935,,,,,,,,,,,,,8719,0,227,8946,11879,
17,MORELOS,14,MAZATEPEC,7,15,13,2969,77,5,125,11,121,1938,226,15,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5905,0,128,6033,8015,
17,MORELOS,15,MIACATLAN,14,35,43,2232,5870,37,733,92,69,3090,660,247,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13180,4,471,13655,20101,
17,MORELOS,16,OCUITUCO,10,22,388,20,1625,3443,45,667,1132,200,130,198,2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10408,0,224,10632,13010,
17,MORELOS,17,PUENTE DE IXTLA,32,80,221,3953,6720,150,1900,86,554,11150,1936,1204,276,,,,,,,,,,,,,,,,,,1654,1297,377,,,,,,,,,,31478,4,886,32368,48691,
17,MORELOS,18,TEMIXCO,42,139,3308,6686,8409,3499,2943,1699,708,15901,2212,1457,1112,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,49737,30,1923,51690,86373,
17,MORELOS,19,TEPALCINGO,16,36,367,1324,1579,5217,149,619,561,683,101,360,2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13604,7,426,14037,20210,
17,MORELOS,20,TEPOZTLAN,19,52,915,1102,3754,381,1529,2642,1066,5871,1293,452,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19048,12,520,19580,29119,
17,MORELOS,21,TETECALA,6,13,171,2287,15,2,52,2155,6,244,37,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4977,9,144,5130,6324,
17,MORELOS,22,TETELA DEL VOLCAN,8,22,34,232,2622,43,2151,32,2521,2188,946,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10801,2,282,11085,14454,
17,MORELOS,23,TLALNEPANTLA,4,9,19,41,187,24,41,7,1815,348,51,27,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755,0,171,3926,5027,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,67,829,4721,5189,368,492,2637,96,3375,642,1274,4258,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,24072,4,751,24827,37694,
17,MORELOS,25,TLAQUILTENANGO,26,53,257,2496,1079,1838,1470,1009,2896,2469,568,433,1065,,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,15895,0,435,16330,24975,
17,MORELOS,26,TLAYACAPAN,9,23,44,33,3805,89,413,15,2496,3182,268,7,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10405,3,274,10682,14099,
17,MORELOS,27,TOTOLAPAN,7,16,145,405,484,735,78,14,2170,383,61,33,538,,,,,,,,,,,,,,,,,,,,,,,,962,,,,,,6008,0,156,6164,8003,
17,MORELOS,28,XOCHITEPEC,23,78,981,12004,1078,2195,838,253,2367,6990,1114,336,397,,,,,,,,,,,,,,,,,,,,,,,,,689,1113,,,,30355,48,930,31333,49145,
17,MORELOS,29,YAUTEPEC,51,134,5929,6545,18337,894,1387,1008,389,7799,1094,3307,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47045,13,1803,48861,77060,
17,MORELOS,30,YECAPIXTLA,19,58,11295,272,4707,741,705,1264,95,2022,274,1884,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23341,7,738,24086,35463,
17,MORELOS,31,ZACATEPEC,26,53,1468,1563,908,590,563,578,5592,3861,721,1563,345,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,862,,19781,2,479,20262,29253,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,134,125,13,321,11,2380,31,81,29,1,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,5919,1,139,6059,7182,
17,MORELOS,33,TEMOAC,6,17,516,2089,37,2381,167,73,2094,700,106,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8189,2,316,8507,10996,
