ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA,
25,SINALOA,1,AHOME,453,669,28876,38734,2591,2382,6275,2970,2973,8554,88750,2788,2549,254,239,61,113,24,130,96,89,24,18,66,873,619,178,51,1425,553,65,417,,,,,192737,137,6029,198903,321131,,
25,SINALOA,2,ANGOSTURA,103,112,3171,6486,1424,374,275,1244,351,4531,5818,296,149,183,56,49,23,21,48,25,56,13,34,44,87,101,37,6,102,31,6,34,,,,,25075,3,1000,26078,35903,,
25,SINALOA,3,BADIRAGUATO,60,67,1335,6612,2116,336,211,238,204,1269,744,57,57,61,25,28,6,3,60,10,24,7,22,10,0,0,0,0,13,5,3,6,98,121,19,0,13700,7,663,14370,22814,,
25,SINALOA,7,CHOIX,67,74,2666,3763,166,198,207,150,1190,317,6396,103,59,12,16,6,5,1,20,5,14,0,2,4,86,52,33,13,82,34,6,35,,,,,15641,4,583,16228,23300,,
25,SINALOA,4,CONCORDIA,43,49,2667,4636,178,138,173,191,233,1349,2740,74,97,25,10,9,11,0,7,12,39,2,5,5,54,66,16,5,45,13,0,21,,,,,12821,7,546,13374,20583,,
25,SINALOA,5,COSALA,32,37,609,3411,61,70,52,237,107,2206,294,17,67,20,7,11,23,6,2,18,109,3,9,30,,,,,1,0,1,2,,,,,7373,89,2077,9539,12149,,
25,SINALOA,6,CULIACAN,1001,1436,31708,81662,4808,7349,12649,6735,7348,26736,171886,5319,9013,403,376,149,114,33,170,101,174,36,66,137,1452,1250,251,86,4276,1562,242,1187,,,,,377278,378,12039,389695,681372,,
25,SINALOA,10,EL FUERTE,169,183,5463,13738,691,478,779,1233,807,3613,16062,599,308,35,44,31,22,6,29,31,74,6,13,32,198,207,46,8,352,123,17,164,,,,,45209,10,1771,46990,71928,,
25,SINALOA,8,ELOTA,59,75,1938,7498,544,176,372,478,354,3472,4643,206,156,48,23,10,17,4,24,13,73,6,11,25,,,,,88,30,8,33,,,,,20250,0,837,21087,29975,,
25,SINALOA,9,ESCUINAPA,63,86,2301,7130,744,528,182,423,1251,590,9734,203,116,12,13,1,2,0,15,3,2,2,1,2,,,,,,,,,,,,,23255,3,842,24100,40712,,
25,SINALOA,11,GUASAVE,437,501,6729,37382,2009,1662,6705,1669,2508,6078,55145,2170,1129,43,80,23,14,2,51,28,41,25,14,48,806,649,192,48,1454,699,106,514,62,72,7,4,128168,58,4044,132270,208773,,
25,SINALOA,12,MAZATLAN,492,719,26691,43981,2196,4208,5542,3744,2831,8349,84003,1797,3169,260,266,72,100,41,139,209,158,27,15,59,841,1084,119,54,1823,815,78,470,,,,,193141,437,6701,200279,350510,,
25,SINALOA,13,MOCORITO,112,116,1675,7537,870,353,374,352,343,4992,4700,201,225,199,48,96,72,69,53,24,127,23,87,72,,,,,177,118,21,111,275,245,143,8,23590,10,1019,24619,35352,,
25,SINALOA,18,NAVOLATO,172,225,4931,14302,1183,1068,3506,1044,720,4404,24710,883,1381,76,102,32,39,11,123,24,63,24,12,32,220,253,36,17,885,399,48,234,58,87,9,3,60919,42,1908,62869,103304,,
25,SINALOA,14,ROSARIO,84,96,8063,5255,2126,194,171,235,440,716,3386,265,233,41,57,29,2,3,156,23,54,10,7,11,,,,,,,,,,,,,21477,13,1247,22737,37933,,
25,SINALOA,15,SALVADOR ALVARADO,144,165,7887,7744,2632,500,656,1292,625,3864,9812,1031,288,138,69,56,23,27,110,35,61,13,15,24,163,180,28,13,202,85,18,127,,,,,37718,7,1240,38965,60843,,
25,SINALOA,16,SAN IGNACIO,37,44,467,2044,79,2399,137,159,312,1040,1384,73,52,15,9,9,7,2,9,4,13,1,1,22,,,,,16,13,1,17,,,,,8285,34,914,9233,15867,,
25,SINALOA,17,SINALOA,176,187,2139,13984,1305,373,2198,977,749,1797,10948,449,227,13,26,6,4,4,28,21,17,17,10,36,,,,,213,180,32,67,114,152,55,21,36162,13,1720,37895,62809,,
