ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,ABALA,6,11,1901,1817,9,21,21,24,9,523,13,8,2,2,1,0,2,8,6,0,,4367,0,52,4419,4892,
31,YUCATAN,2,ACANCEH,7,18,1675,3113,656,1787,99,179,85,1599,93,21,0,0,12,0,34,6,0,5,,9364,6,464,9834,11578,
31,YUCATAN,3,AKIL,5,13,1618,2051,529,47,1248,64,6,458,13,9,6,9,3,2,10,10,3,3,,6089,0,145,6234,7792,
31,YUCATAN,4,BACA,5,8,504,1618,334,36,23,640,90,433,12,19,0,0,15,0,5,0,0,2,,3731,0,126,3857,4519,
31,YUCATAN,5,BOKOBA,2,4,702,976,4,9,4,5,3,65,0,2,0,1,0,0,0,1,0,0,,1772,0,15,1787,1956,
31,YUCATAN,6,BUCTZOTZ,6,12,2033,2508,9,14,21,22,34,890,5,8,0,15,0,0,5,2,1,3,,5570,0,98,5668,6752,
31,YUCATAN,7,CACALCHEN,4,9,767,2323,37,42,21,37,11,1372,9,6,0,11,0,0,3,4,0,2,,4645,0,102,4747,5478,
31,YUCATAN,8,CALOTMUL,4,6,970,1656,10,7,5,18,5,306,7,3,0,6,1,0,0,0,0,1,,2995,0,48,3043,3352,
31,YUCATAN,9,CANSAHCAB,6,9,1018,888,408,142,21,17,176,400,12,3,0,3,0,0,2,1,0,1,,3092,0,106,3198,3664,
31,YUCATAN,10,CANTAMAYEC,3,4,678,501,4,350,8,5,1,76,2,0,0,0,0,0,0,0,0,0,,1625,0,22,1647,1785,
31,YUCATAN,11,CELESTUN,4,9,457,1434,396,665,78,451,27,857,33,11,3,6,3,2,7,2,1,1,,4434,2,248,4684,5500,
31,YUCATAN,12,CENOTILLO,5,7,801,1241,4,12,8,236,7,192,4,9,0,6,0,0,0,1,0,2,,2523,0,24,2547,3078,
31,YUCATAN,13,CONKAL,6,15,2535,2727,34,57,30,51,44,854,42,21,0,0,7,0,16,5,1,5,,6429,5,192,6626,8331,
31,YUCATAN,14,CUNCUNUL,2,3,293,673,4,10,4,6,1,274,0,0,0,0,1,0,0,1,0,1,,1268,0,8,1276,1360,
31,YUCATAN,15,CUZAMA,3,6,315,1304,288,19,11,862,166,300,7,0,0,0,2,0,1,0,0,1,,3276,0,85,3361,3794,
31,YUCATAN,16,CHACSINKIN,1,3,453,756,7,696,11,5,2,88,1,2,0,0,0,0,0,0,0,0,,2021,0,7,2028,2126,
31,YUCATAN,17,CHANKOM,4,8,88,2149,7,2,9,967,0,162,4,0,0,0,1,0,0,0,0,0,,3389,0,18,3407,3602,
31,YUCATAN,18,CHAPAB,3,6,994,682,77,7,11,18,406,346,3,0,0,0,1,0,0,0,0,0,,2545,0,69,2614,2928,
31,YUCATAN,19,CHEMAX,13,37,9299,6886,102,120,45,97,28,2227,41,0,6,11,4,1,8,1,0,3,,18879,0,234,19113,22062,
31,YUCATAN,20,CHICXULUB PUEBLO,2,5,935,1471,19,18,12,17,6,352,9,4,0,0,1,0,2,0,0,0,,2846,0,54,2900,3356,
31,YUCATAN,21,CHICHIMILA,6,12,1728,2802,17,11,195,20,6,554,10,0,0,5,0,0,3,1,0,0,,5352,5,81,5438,5959,
31,YUCATAN,22,CHIKINDZONOT,3,5,316,1778,4,13,1,19,6,447,4,0,1,1,0,0,5,2,0,2,,2599,0,25,2624,2952,
31,YUCATAN,23,CHOCHOLA,3,6,313,1172,21,18,23,627,23,815,18,8,4,2,1,0,10,3,0,4,,3062,1,83,3146,3570,
31,YUCATAN,24,CHUMAYEL,2,4,1148,880,43,9,6,10,3,145,2,0,0,0,0,0,0,0,0,0,,2246,0,9,2255,2593,
31,YUCATAN,25,DZAN,2,6,1279,1067,248,5,17,340,6,517,6,0,0,0,1,0,1,0,0,0,,3487,0,67,3554,3973,
31,YUCATAN,26,DZEMUL,3,6,841,1129,19,418,12,14,15,277,5,1,0,0,0,0,4,1,0,0,,2736,0,99,2835,3092,
31,YUCATAN,27,DZIDZANTUN,5,12,1780,2044,40,250,34,34,42,1044,19,2,0,12,0,0,1,1,0,1,,5304,0,140,5444,6459,
31,YUCATAN,28,DZILAM DE BRAVO,2,4,650,843,14,10,22,9,5,353,1,0,0,4,0,0,7,4,0,1,,1923,0,78,2001,2213,
31,YUCATAN,29,DZILAM GONZALEZ,5,10,1592,1998,21,29,20,24,33,360,7,25,0,17,0,0,25,2,0,1,,4154,0,171,4325,4842,
31,YUCATAN,30,DZITAS,4,5,616,1081,10,5,9,44,14,178,631,0,0,0,1,0,0,0,4,2,,2595,0,124,2719,2967,
31,YUCATAN,31,DZONCAUICH,3,5,1177,1275,4,9,4,4,4,103,5,2,0,5,0,0,0,0,0,2,,2594,0,15,2609,2846,
31,YUCATAN,32,ESPITA,8,17,2242,4123,34,773,39,47,48,1013,20,7,4,24,2,5,4,5,0,6,,8396,1,160,8557,10520,
31,YUCATAN,33,HALACHO,10,26,2017,4322,176,69,83,70,3307,2543,36,0,0,0,16,0,15,7,0,1,,12662,1,317,12980,14705,
31,YUCATAN,34,HOCABA,5,9,740,978,308,60,13,31,166,1054,474,0,0,0,0,0,3,2,0,2,,3831,1,96,3928,4666,
31,YUCATAN,35,HOCTUN,5,9,1944,1753,13,20,10,10,24,283,5,4,1,3,0,0,4,1,0,0,,4075,0,68,4143,4738,
31,YUCATAN,36,HOMUN,6,11,1679,1676,137,166,17,34,51,261,13,0,0,0,0,0,1,0,0,2,,4037,0,132,4169,5930,
31,YUCATAN,37,HUHI,4,8,1325,1302,26,12,10,17,358,323,4,0,0,0,3,0,1,0,0,1,,3382,0,74,3456,3973,
31,YUCATAN,38,HUNUCMA,15,41,6546,4969,146,1492,130,170,150,2941,274,48,18,43,7,10,17,7,0,22,,16990,1,578,17569,23400,
31,YUCATAN,39,IXIL,2,5,1098,1136,11,34,9,19,9,201,9,7,0,0,2,0,5,0,0,0,,2540,0,62,2602,2994,
31,YUCATAN,40,IZAMAL,15,35,4416,8493,73,100,99,167,73,2014,47,21,0,62,0,0,41,9,1,18,,15634,2,593,16229,19663,
31,YUCATAN,41,KANASIN,20,98,9791,11229,1070,1639,657,1621,1521,10437,515,95,0,0,36,0,296,70,18,85,,39080,10,1630,40720,66320,
31,YUCATAN,42,KANTUNIL,3,6,1081,1461,79,206,15,26,8,325,11,0,0,0,3,0,6,2,0,0,,3223,0,108,3331,3958,
31,YUCATAN,43,KAUA,1,3,316,929,8,3,4,4,1,761,0,0,0,0,0,0,2,0,0,0,,2028,1,31,2060,2196,
31,YUCATAN,44,KINCHIL,4,9,2274,1288,45,271,21,30,34,373,17,11,2,10,0,1,4,4,0,0,,4385,1,102,4488,5021,
31,YUCATAN,45,KOPOMA,2,4,152,783,223,20,53,5,23,325,16,2,4,2,1,1,5,3,0,0,,1618,0,51,1669,1995,
31,YUCATAN,46,MAMA,2,4,836,1017,30,10,14,21,4,297,2,0,0,0,2,0,2,0,0,0,,2235,0,69,2304,2506,
31,YUCATAN,47,MANI,3,8,286,1443,1556,17,31,28,3,360,7,0,0,0,1,0,4,0,0,1,,3737,0,91,3828,4220,
31,YUCATAN,48,MAXCANU,12,29,1732,5036,59,1268,126,110,1756,2822,60,0,0,0,10,0,20,9,0,4,,13012,1,406,13419,16477,
