Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2
2,30,SAN NICOLAS TOLENTINO ,1148,B01,663,317,10,4,2,30,17,1,30,14,4,0,429,16,445,54,11,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1149,B01,215,65,15,1,6,9,1,0,12,14,1,0,124,3,127,38,8,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1150,B01,218,15,21,2,1,21,22,0,26,16,1,0,125,6,131,58,4,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1151,B01,330,49,4,17,5,19,34,1,62,14,7,0,212,9,221,37,30,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1152,B01,371,61,17,3,1,31,31,0,54,21,2,0,221,6,227,69,6,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1153,B01,630,52,14,2,5,31,237,0,60,14,0,0,415,15,430,59,7,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1154,B01,111,25,2,3,2,2,22,1,8,8,0,0,73,1,74,12,6,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1155,B01,398,35,17,24,3,40,35,1,53,32,2,0,242,12,254,89,30,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1156,B01,316,16,18,2,1,28,91,1,20,13,2,0,192,9,201,59,6,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1157,B01,93,14,5,20,2,2,4,2,7,0,3,0,59,2,61,7,27,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1158,B01,351,76,24,15,6,34,17,2,10,31,13,0,228,11,239,89,36,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1159,B01,698,67,30,93,6,25,36,14,73,36,64,0,444,23,467,91,177,PRI_PVEM,PRD_PT_PMC
2,30,SAN NICOLAS TOLENTINO ,1159,C01,697,54,33,64,9,26,23,16,91,44,73,0,433,18,451,103,162,PRI_PVEM,PRD_PT_PMC
