Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PCP_PMC,CC_1,CC_2
11,5,CARDENAS ,78,B01,381,55,122,20,8,2,2,8,29,10,0,256,9,265,92,34,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,78,C01,381,46,130,16,14,4,2,13,15,11,0,251,8,259,74,33,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,79,B01,582,78,145,28,13,20,5,10,36,11,0,346,14,360,124,64,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,79,C01,582,81,138,27,16,17,7,11,44,9,0,350,18,368,136,60,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,79,C02,581,93,171,28,13,13,10,15,44,11,0,398,12,410,152,62,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,80,B01,584,93,194,12,15,7,6,30,32,6,0,395,2,397,155,31,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,80,C01,583,84,182,16,9,9,5,15,28,12,0,360,4,364,127,42,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,81,B01,378,48,138,15,5,1,2,12,10,6,0,237,4,241,70,24,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,81,C01,378,49,123,25,2,9,1,17,15,4,0,245,4,249,81,39,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,82,B01,478,69,163,12,22,4,5,19,20,13,0,327,9,336,108,34,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,83,B01,680,165,215,9,16,20,4,17,26,4,0,476,3,479,208,37,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,84,B01,497,101,145,15,13,8,1,3,26,7,0,319,12,331,130,31,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,84,C01,497,75,166,23,28,5,0,8,29,4,0,338,8,346,112,32,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,85,B01,633,100,212,26,14,5,10,10,29,13,0,419,17,436,139,54,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,85,C01,633,106,218,27,9,10,2,13,25,9,0,419,8,427,144,48,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,86,B01,683,136,192,19,19,15,3,32,42,6,0,464,12,476,210,43,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,87,B01,513,77,174,10,13,10,9,23,26,7,0,349,7,356,126,36,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,88,B01,635,100,146,28,19,9,5,8,34,2,0,351,13,364,142,44,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,89,B01,538,86,177,14,15,3,2,22,17,10,0,346,14,360,125,29,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,90,B01,489,79,163,11,16,7,4,7,23,7,0,317,7,324,109,29,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,90,C01,488,74,168,19,17,4,3,13,21,1,0,320,7,327,108,27,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,91,B01,390,41,101,21,12,21,3,5,22,11,0,237,13,250,68,56,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,92,B01,277,44,67,5,9,8,4,6,19,1,0,163,3,166,69,18,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,93,B01,721,116,172,20,7,10,3,5,58,12,0,403,22,425,179,45,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,94,B01,280,59,49,12,2,6,1,4,25,5,0,163,10,173,88,24,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,95,B01,494,71,108,4,6,2,1,9,40,2,0,243,15,258,120,9,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,96,B01,353,100,90,6,12,1,3,9,24,7,0,252,9,261,133,17,PAN_PNA,PRD_PCP_PMC
11,5,CARDENAS ,97,B01,236,52,57,4,5,2,2,3,19,2,0,146,5,151,74,10,PAN_PNA,PRD_PCP_PMC
