Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA
11,2,ALAQUINES ,15,B01,312,52,69,79,0,200,7,207
11,2,ALAQUINES ,16,B01,316,47,102,78,0,227,8,235
11,2,ALAQUINES ,17,B01,245,23,95,43,0,161,6,167
11,2,ALAQUINES ,18,B01,139,34,54,18,0,106,2,108
11,2,ALAQUINES ,19,B01,308,52,97,72,0,221,3,224
11,2,ALAQUINES ,20,B01,195,33,49,32,0,114,3,117
11,2,ALAQUINES ,21,B01,183,54,40,18,0,112,3,115
11,2,ALAQUINES ,22,B01,197,65,24,26,0,115,2,117
11,2,ALAQUINES ,23,B01,628,207,139,131,0,477,14,491
11,2,ALAQUINES ,24,B01,150,19,60,28,0,107,3,110
11,2,ALAQUINES ,25,B01,99,27,39,3,0,69,3,72
11,2,ALAQUINES ,26,B01,421,134,122,32,0,288,3,291
11,2,ALAQUINES ,26,C01,420,133,116,26,0,275,7,282
11,2,ALAQUINES ,27,B01,175,41,66,19,0,126,1,127
11,2,ALAQUINES ,28,B01,642,230,187,65,0,482,9,491
11,2,ALAQUINES ,29,B01,142,25,67,5,0,97,5,102
11,2,ALAQUINES ,30,B01,455,77,197,39,0,313,11,324
11,2,ALAQUINES ,31,B01,347,126,58,43,0,227,9,236
11,2,ALAQUINES ,32,B01,340,77,105,45,0,227,1,228
11,2,ALAQUINES ,33,B01,266,27,73,82,1,183,13,196
