Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PMC,CC_1,CC_2,CC_3
2,4,ARMADILLO DE LOS INFANTE ,60,B01,316,32,51,4,122,1,10,0,4,4,16,0,0,244,8,252,40,68,4,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,61,B01,96,10,25,1,26,3,0,2,0,0,2,0,0,69,2,71,10,30,3,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,62,B01,82,23,19,0,10,1,0,0,0,1,8,0,0,62,4,66,24,28,0,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,63,B01,89,3,17,0,16,3,0,0,0,1,26,0,0,66,8,74,4,46,0,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,64,B01,511,8,177,1,129,8,1,0,1,3,89,0,0,417,9,426,12,274,1,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,65,B01,281,53,77,4,24,8,3,1,2,10,46,1,0,229,8,237,65,131,6,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,66,B01,104,15,28,2,24,0,0,1,0,1,11,0,0,82,4,86,16,39,3,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,67,B01,54,2,22,1,8,0,2,0,0,0,5,0,0,40,2,42,2,27,1,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,68,B01,578,113,18,28,203,1,6,3,14,17,3,12,0,418,35,453,144,22,43,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,69,B01,198,26,12,1,100,1,2,0,1,0,3,0,0,146,7,153,27,16,1,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,70,B01,440,32,134,3,68,2,4,0,1,7,84,1,0,336,11,347,40,220,4,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,71,B01,182,2,31,0,53,1,4,0,0,1,17,0,0,109,7,116,3,49,0,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,72,B01,120,10,27,0,22,3,21,0,0,2,4,0,0,89,4,93,12,34,0,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,73,B01,95,12,5,3,43,0,3,0,2,0,0,1,0,69,3,72,14,5,4,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,75,B01,73,6,10,2,26,2,10,0,0,0,2,0,0,58,2,60,6,14,2,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,76,B01,85,10,14,1,15,1,6,0,0,0,2,0,0,49,2,51,10,17,1,PAN_PNA,PRI_PVEM,PRD_PMC
2,4,ARMADILLO DE LOS INFANTE ,77,B01,290,17,79,6,5,3,32,1,1,0,15,1,0,160,14,174,18,97,8,PAN_PNA,PRI_PVEM,PRD_PMC
