Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA
3,43,TIERRA NUEVA ,1507,B01,505,70,123,6,137,0,336,9,345
3,43,TIERRA NUEVA ,1508,B01,620,72,124,15,177,0,388,23,411
3,43,TIERRA NUEVA ,1508,C01,619,95,111,12,176,0,394,18,412
3,43,TIERRA NUEVA ,1509,B01,556,63,145,8,145,0,361,11,372
3,43,TIERRA NUEVA ,1509,C01,555,68,145,6,140,0,359,14,373
3,43,TIERRA NUEVA ,1510,B01,627,49,150,20,162,0,381,21,402
3,43,TIERRA NUEVA ,1511,B01,643,82,123,14,161,0,380,21,401
3,43,TIERRA NUEVA ,1511,C01,643,68,132,9,200,0,409,13,422
3,43,TIERRA NUEVA ,1512,B01,416,59,90,1,129,0,279,5,284
3,43,TIERRA NUEVA ,1512,C01,416,64,79,2,129,0,274,9,283
3,43,TIERRA NUEVA ,1513,B01,377,43,66,11,177,0,297,13,310
3,43,TIERRA NUEVA ,1514,B01,290,104,74,0,17,0,195,5,200
3,43,TIERRA NUEVA ,1515,B01,200,51,67,4,22,1,145,7,152
3,43,TIERRA NUEVA ,1516,B01,215,84,23,1,32,0,140,1,141
3,43,TIERRA NUEVA ,1517,B01,112,10,67,1,11,0,89,4,93
3,43,TIERRA NUEVA ,1518,B01,55,4,14,1,24,1,44,0,44
