Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PT,PMC,PNA,CC_PAN_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,CC_1
1,15,CHARCAS ,384,B01,711,116,135,59,69,7,49,0,435,6,441,172,PAN_PNA
1,15,CHARCAS ,385,B01,467,58,128,21,45,14,32,0,298,10,308,104,PAN_PNA
1,15,CHARCAS ,386,B01,443,67,154,14,42,12,14,0,303,3,306,93,PAN_PNA
1,15,CHARCAS ,386,C01,443,47,145,24,57,7,22,0,302,3,305,76,PAN_PNA
1,15,CHARCAS ,387,B01,594,57,217,25,50,10,21,0,380,12,392,88,PAN_PNA
1,15,CHARCAS ,387,C01,594,81,180,18,59,7,23,0,368,7,375,111,PAN_PNA
1,15,CHARCAS ,388,B01,413,74,101,24,33,10,21,0,263,7,270,105,PAN_PNA
1,15,CHARCAS ,388,C01,412,57,80,28,39,14,26,0,244,7,251,97,PAN_PNA
1,15,CHARCAS ,389,B01,452,53,135,19,50,12,21,0,290,6,296,86,PAN_PNA
1,15,CHARCAS ,389,C01,452,70,146,16,35,10,26,0,303,2,305,106,PAN_PNA
1,15,CHARCAS ,390,B01,665,74,184,41,73,13,36,0,421,10,431,123,PAN_PNA
1,15,CHARCAS ,391,B01,722,101,183,31,83,15,59,0,472,18,490,175,PAN_PNA
1,15,CHARCAS ,392,B01,724,107,156,44,125,13,31,0,476,8,484,151,PAN_PNA
1,15,CHARCAS ,392,C01,724,105,152,32,105,9,41,0,444,12,456,155,PAN_PNA
1,15,CHARCAS ,392,C02,723,95,154,20,136,10,41,0,456,6,462,146,PAN_PNA
1,15,CHARCAS ,393,B01,183,16,49,6,7,2,2,0,82,5,87,20,PAN_PNA
1,15,CHARCAS ,394,B01,626,17,305,26,60,5,5,0,418,15,433,27,PAN_PNA
1,15,CHARCAS ,395,B01,228,26,96,26,10,2,11,0,171,10,181,39,PAN_PNA
1,15,CHARCAS ,396,B01,391,15,105,50,89,1,8,0,268,27,295,24,PAN_PNA
1,15,CHARCAS ,396,C01,391,23,123,41,49,5,4,0,245,10,255,32,PAN_PNA
1,15,CHARCAS ,396,E01,355,12,150,24,40,2,3,0,231,14,245,17,PAN_PNA
1,15,CHARCAS ,397,B01,300,27,99,25,24,4,14,0,193,13,206,45,PAN_PNA
1,15,CHARCAS ,398,B01,348,21,151,15,40,3,13,0,243,9,252,37,PAN_PNA
1,15,CHARCAS ,399,B01,170,16,64,3,29,1,9,0,122,4,126,26,PAN_PNA
1,15,CHARCAS ,400,B01,145,3,56,9,38,0,0,0,106,0,106,3,PAN_PNA
1,15,CHARCAS ,401,B01,332,23,122,26,46,2,8,0,227,15,242,33,PAN_PNA
1,15,CHARCAS ,401,E01,295,22,66,21,55,6,5,0,175,18,193,33,PAN_PNA
1,15,CHARCAS ,402,B01,435,45,130,20,73,8,12,0,288,14,302,65,PAN_PNA
1,15,CHARCAS ,402,C01,435,33,144,17,60,3,7,0,264,16,280,43,PAN_PNA
1,15,CHARCAS ,403,B01,750,44,261,39,135,9,12,0,500,24,524,65,PAN_PNA
1,15,CHARCAS ,404,B01,476,7,209,3,40,8,1,0,268,24,292,16,PAN_PNA
