uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
2001,1992,PAN,C.P. OSCAR SANCHEZ DEL PALACIO
2001,1995,PRI,C. MANUEL MONTENEGRO ESPINOZA
2001,1998,PRI,DR. DANIEL QUINTERO PEÑA
2001,2001,COALICIÓN,DR. JORGE ANTONIO CATALAN SOSA
2001,2004,PAN,QUIM. CESAR MANCILLAS AMADOR
2001,2007,AXB,LIC. PABLO ALEJO LOPEZ NUÑEZ
2001,2010,XGR,C.P. ENRIQUE PELAYO TORRES
2001,2013,PRI,MTRO. GILBERTO ANTONIO HIRATA CHICO
2001,2016,COAL.,C. MARCO ANTONIO NOVELO OZUNA
2001,2019,MORENA,LIC. ARMANDO AYALA ROBLES
2001,2021,COAL.,LIC. ARMANDO AYALA ROBLES
2002,1954,NA,C. RODOLFO ESCAMILLA SOTO
2002,1956,NA,C. RAÚL TIZNADO AGUILAR
2002,1959,NA,C. JOAQUÍN RAMÍREZ ARBALLO
2002,1962,NA,C. CARLOS RUBIO PARRA
2002,1965,NA,C. JOSÉ MARÍA RODRÍGUEZ MÉRIDA
2002,1968,NA,C. FRANCISCO GALLEGO MONGE
2002,1971,NA,C. ROBERTO MAZÓN NORIEGA
2002,1974,NA,C. ARMANDO GALLEGO MORENO
2002,1977,NA,C. FRANCISCO SANTANA PERALTA
2002,1980,NA,C. EDUARDO MARTÍNEZ PALOMERA
2002,1983,NA,C. FRANCISCO SANTANA PERALTA
2002,1986,NA,C. GUILLERMO ALDRETE HASS
2002,1989,NA,LIC. MILTON CASTELLANOS GOUT
2002,1992,PRI,LIC. FRANCISCO JOSE PEREZ TEJADA AGUILERA
2002,1995,PAN,LIC. EUGENIO ELORDUY WALTER
2002,1998,PAN,ARQ. VICTOR HERMOSILLO CELADA
2002,2001,COALICIÓN,LIC. JAIME DIAZ OCHOA
2002,2004,COALICIÓN,C. SAMUEL ENRIQUE RAMOS FLORES
2002,2007,AXB,LIC. RODOLFO VALDEZ GUTIERREZ
2002,2010,XGR,LIC. FRANCISCO JOSE PEREZ TEJADA PADILLA
2002,2013,PAN,LIC. JAIME RAFAEL DIAZ OCHOA
2002,2016,PAN,C. GUSTAVO SANCHEZ VAZQUEZ
2002,2019,ALTER.,SCLGA GUILLERMO GALV?N SARIÑANA
2002,2021,MORENA,C. NORMA ALICIA BUSTAMANTE MARTINEZ
2003,1954,NA,C. EUFRASIO SANTOS SANDOVAL
2003,1956,NA,C. ARMANDO AGUILAR AVILÉS
2003,1959,NA,C. OSCAR BAILÓN CHACÓN
2003,1962,NA,C. JOSÉ GUTIÉRREZ DURÁN
2003,1965,NA,C. ARCADIO AMAYA CAMPA
2003,1968,NA,C. ALFONSO ROMERO BAREÑO
2003,1971,NA,C. ARTURO GUERRA FLORES
2003,1974,NA,C. CÉSAR A. BAYLÓN CHACÓN
2003,1977,NA,C. PERFECTO LARA RODRÍGUEZ
2003,1980,NA,C. JOSÉ MANUEL JASSO PEÑA
2003,1983,NA,C. CESAR MORENO MARTÍNEZ
2003,1986,NA,C. JESÚS MÉNDEZ ZAYAS
2003,1992,PAN,LIC. PABLO CONTRERAS RODRIGUEZ
2003,1995,PRI,LIC. ALFREDO FERREIRO VELAZCO
2003,1998,PRI,C. CONSTANTINO LEON GUTIERREZ
2003,2001,PRI,LIC. JUAN VARGAS RODRIGUEZ
2003,2004,COALICIÓN,C. JOAQUIN SANDOVAL MILLAN
2003,2007,AXB,LIC. DONALDO EDUARDO PEÑALOSA AVILA
2003,2010,XGR,ARQ. JAVIER IGNACIO URBALEJO CINCO
2003,2013,PRI,ING. CESAR RAFAEL MORENO GONZALEZ DE CASTILLA
2003,2016,COAL.,LIC. NEREIDA FUENTES GONZALEZ
2003,2019,MORENA,C. OLGA ZULEMA ADAMS PEREYRA
2003,2021,MORENA,C. EDGAR DARIO BENITEZ RUIZ
2004,1954,NA,C. GUSTAVO AUBANEL VALLEJO
2004,1956,NA,C. MANUEL QUIROZ LABASTIDA
2004,1959,NA,C. XICOTÉNCATL LEYVA ALEMÁN
2004,1962,NA,C. ILDEFONSO VELÁSQUEZ
2004,1965,NA,C. FRANCISCO LÓPEZ GUTIÉRREZ
2004,1968,NA,C. ERNESTO PÉREZ RUL
2004,1971,NA,C. MARCO ANTONIO BOLAÑOS CACHO
2004,1974,NA,C. FERNANDO MÁRQUEZ ARCE
2004,1977,NA,C. XICOTÉNCATL LEYVA MORTERA
2004,1980,NA,C. ROBERTO ANDRADE SALAZAR
2004,1983,NA,C. RENÉ TREVIÑO ARREDONDO
2004,1986,NA,C. FEDERICO VALDÉS MARTÍNEZ
2004,1989,NA,C. CARLOS MONTEJO FABELA
2004,1992,PAN,ARQ. HECTOR GUILLERMO OSUNA JAIME
2004,1995,PAN,LIC. JOSE GUADALUPE OSUNA MILLAN
2004,1998,PAN,LIC. FRANCISCO ARTURO VEGA DE LAMADRID
2004,2001,COALICIÓN,LIC. JESUS GONZALEZ REYES
2004,2004,PRI,C.P. KURT IGNACIO HONOLD MORALES
2004,2007,AXB,C. JORGE RAMOS HERNANDEZ
2004,2010,XGR,LIC. CARLOS BUSTAMANTE ANCHONDO
2004,2013,PRI,DR. JORGE ENRIQUE ASTIAZARAN ORCI
2004,2016,PAN,C. JUAN MANUEL GASTELUM BUENROSTRO
2004,2019,PAN,DR. EDUARDO ALEJANDRO TERREROS MARTINEZ
2004,2021,COAL.,C. MONSERRAT CABALLERO RAMIREZ
2005,1995,CM,C.P. HUGO TORRES CHABERT
2005,1998,PAN,LIC. SILVANO ABARCA MACKLIS
2005,2001,COALICIÓN,C. LUIS ENRIQUE DIAZ FELIX
2005,2004,PAN,C. JOSE ANTONIO MACIAS GARAY
2005,2007,APVM,C.P. HUGO EDUARDO TORRES CHABERT
2005,2010,XGR,LIC. JAVIER ROBLES AGUIRRE
2005,2013,COAL.,LIC. SILVANO ABARCA MACKLIS
2005,2016,PAN,LIC. MIRNA CECILIA RINCON VARGAS
2005,2019,MORENA,LIC. HILDA ARACELI BROWN FIGUEREDO
2005,2021,MORENA,C. HILDA ARACELI BROWN FIGUEREDO
2006,2019,CM,LIC. JORGE ALBERTO LOPEZ PERALTA
2006,2021,-,- - - -
2007,2021,CM,LIC. JOSE LUIS DAGNINO LOPEZ
