Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PMC,PNA,CC_PAN_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,CC_1
13,42,TANQUIAN DE ESCOBEDO ,1496,B01,659,165,171,17,39,13,63,0,468,9,477,241,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1496,C01,659,156,167,20,30,13,89,0,475,9,484,258,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1496,C02,658,195,192,15,19,6,69,1,497,16,513,270,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1497,B01,747,163,240,9,40,22,64,0,538,11,549,249,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1497,C01,747,155,241,8,29,24,67,0,524,7,531,246,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1498,B01,591,142,233,20,18,26,52,0,491,4,495,220,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1498,C01,590,135,226,6,27,10,50,0,454,4,458,195,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1499,B01,586,151,200,20,22,7,54,0,454,8,462,212,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1499,C01,586,150,209,16,11,14,46,0,446,14,460,210,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1500,B01,528,94,235,15,7,17,31,0,399,5,404,142,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1500,C01,527,114,215,5,19,15,30,0,398,6,404,159,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1501,B01,558,150,143,42,60,6,41,0,442,7,449,197,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1501,C01,557,180,116,43,57,8,29,0,433,11,444,217,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1502,B01,595,142,142,69,6,5,63,0,427,16,443,210,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1503,B01,265,43,121,7,8,4,28,0,211,9,220,75,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1504,B01,513,198,116,28,31,7,0,0,380,12,392,205,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1505,B01,96,45,30,2,1,1,0,0,79,4,83,46,PAN_PNA
13,42,TANQUIAN DE ESCOBEDO ,1506,B01,112,32,31,16,1,0,14,0,94,4,98,46,PAN_PNA
