Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,CC_PAN_PNA,CC_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PT_PMC,CC_1,CC_2
13,26,SAN ANTONIO ,748,B01,540,164,212,17,1,14,3,26,4,0,441,12,453,193,19,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,748,C01,539,148,212,11,3,11,9,34,3,0,431,10,441,191,17,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,749,B01,413,105,119,34,5,28,4,13,24,0,332,10,342,122,57,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,750,B01,281,36,120,9,2,25,14,6,7,0,219,16,235,56,34,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,751,B01,603,117,202,31,4,37,1,28,30,0,450,23,473,146,71,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,752,B01,402,91,172,31,2,10,5,11,1,0,323,10,333,107,13,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,752,C01,402,98,175,19,2,7,6,15,7,0,329,13,342,119,16,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,752,E01,220,67,43,23,3,19,1,10,4,0,170,4,174,78,26,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,753,B01,454,132,206,20,4,8,4,20,2,0,396,6,402,156,14,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,754,B01,669,233,215,15,7,11,5,25,2,0,513,17,530,263,20,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,755,B01,398,77,178,39,6,14,5,11,3,0,333,21,354,93,23,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,756,B01,599,98,257,47,5,24,6,21,3,0,461,35,496,125,32,PAN_PNA,PT_PMC
13,26,SAN ANTONIO ,756,C01,598,115,257,35,5,27,3,23,6,0,471,16,487,141,38,PAN_PNA,PT_PMC
