Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PVEM,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,CC_1
10,27,SAN CIRO DE ACOSTA ,757,B01,380,127,58,17,8,22,0,232,10,242,88,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,757,C01,379,139,64,13,1,23,0,240,6,246,88,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,758,B01,735,224,164,16,3,41,0,448,8,456,208,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,759,B01,594,191,153,11,6,37,0,398,7,405,196,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,759,C01,593,205,130,20,2,48,0,405,2,407,180,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,760,B01,466,120,105,20,5,65,0,315,5,320,175,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,760,C01,465,123,91,35,4,58,0,311,7,318,153,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,761,B01,698,185,137,34,11,79,0,446,10,456,227,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,762,B01,664,199,137,25,6,41,0,408,15,423,184,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,763,B01,638,216,153,18,5,59,0,451,7,458,217,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,764,B01,539,117,150,12,6,43,0,328,2,330,199,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,765,B01,126,15,53,2,1,21,0,92,1,93,75,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,766,B01,224,69,68,8,2,17,0,164,3,167,87,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,767,B01,555,143,93,7,7,44,0,294,12,306,144,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,768,B01,100,44,6,7,0,7,0,64,1,65,13,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,769,B01,299,104,59,25,0,12,0,200,3,203,71,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,770,B01,119,9,57,1,2,15,0,84,4,88,74,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,771,B01,353,77,75,18,0,22,0,192,9,201,97,PRI_PVEM
10,27,SAN CIRO DE ACOSTA ,772,B01,448,119,80,11,2,22,0,234,11,245,104,PRI_PVEM
