Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA
11,23,RAYON ,616,B01,529,102,107,24,2,92,0,327,11,338
11,23,RAYON ,616,C01,528,102,136,16,2,64,0,320,9,329
11,23,RAYON ,616,C02,528,108,127,28,1,95,0,359,4,363
11,23,RAYON ,617,B01,650,127,133,42,1,96,0,399,16,415
11,23,RAYON ,617,C01,649,129,107,52,4,104,0,396,7,403
11,23,RAYON ,618,B01,625,143,134,36,1,60,0,374,21,395
11,23,RAYON ,618,C01,624,155,135,34,2,59,0,385,11,396
11,23,RAYON ,618,E01,574,143,120,24,7,56,0,350,23,373
11,23,RAYON ,619,B01,519,118,77,33,3,90,0,321,12,333
11,23,RAYON ,620,B01,674,57,208,6,2,94,0,367,29,396
11,23,RAYON ,621,B01,662,234,93,7,3,47,0,384,16,400
11,23,RAYON ,622,B01,469,29,108,13,3,114,0,267,35,302
11,23,RAYON ,623,B01,727,66,114,58,14,161,0,413,35,448
11,23,RAYON ,623,E01,398,24,84,23,33,94,0,258,20,278
11,23,RAYON ,624,B01,373,49,80,17,3,50,0,199,15,214
11,23,RAYON ,625,B01,265,73,47,17,6,16,0,159,14,173
11,23,RAYON ,626,B01,417,15,110,68,19,62,4,278,16,294
11,23,RAYON ,626,E01,369,64,77,7,15,110,1,274,22,296
11,23,RAYON ,627,B01,723,96,237,20,2,76,0,431,17,448
11,23,RAYON ,628,B01,461,91,89,5,1,75,0,261,8,269
11,23,RAYON ,629,B01,165,37,47,0,2,10,0,96,1,97
11,23,RAYON ,630,B01,172,71,15,7,0,8,1,102,6,108
11,23,RAYON ,631,B01,115,49,10,4,1,3,0,67,2,69
11,23,RAYON ,632,B01,103,6,31,2,0,40,0,79,1,80
11,23,RAYON ,633,B01,540,171,100,6,1,24,0,302,20,322
11,23,RAYON ,633,E01,304,78,67,2,2,31,0,180,11,191
