Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PNA,CC_PAN_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,CC_1
10,19,LAGUNILLAS ,478,B01,172,41,38,18,0,14,0,111,5,116,55,PAN_PNA
10,19,LAGUNILLAS ,479,B01,222,32,61,42,4,16,0,155,8,163,52,PAN_PNA
10,19,LAGUNILLAS ,480,B01,132,19,35,33,1,7,0,95,3,98,27,PAN_PNA
10,19,LAGUNILLAS ,481,B01,650,79,112,154,3,32,0,380,15,395,114,PAN_PNA
10,19,LAGUNILLAS ,482,B01,469,89,125,41,6,35,2,298,17,315,130,PAN_PNA
10,19,LAGUNILLAS ,482,C01,468,114,152,30,8,36,0,340,16,356,158,PAN_PNA
10,19,LAGUNILLAS ,483,B01,358,39,69,64,10,28,0,210,14,224,77,PAN_PNA
10,19,LAGUNILLAS ,484,B01,82,20,29,9,0,3,0,61,1,62,23,PAN_PNA
10,19,LAGUNILLAS ,485,B01,497,29,175,142,5,9,0,360,17,377,43,PAN_PNA
10,19,LAGUNILLAS ,485,C01,496,30,196,117,4,12,0,359,10,369,46,PAN_PNA
10,19,LAGUNILLAS ,486,B01,481,79,113,103,3,0,0,298,7,305,82,PAN_PNA
10,19,LAGUNILLAS ,487,B01,294,55,64,38,0,19,0,176,7,183,74,PAN_PNA
10,19,LAGUNILLAS ,488,B01,327,51,81,30,38,0,0,200,9,209,89,PAN_PNA
10,19,LAGUNILLAS ,489,B01,200,22,50,59,0,0,0,131,5,136,22,PAN_PNA
