Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PMC,PNA,CC_PAN_PT_PMC_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PT_PMC_PNA,CC_1
11,32,SANTA CATARINA ,1179,B01,171,31,58,5,21,0,4,2,0,121,3,124,58,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1180,B01,377,22,89,31,91,4,3,19,0,259,6,265,139,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1180,C01,377,23,82,50,70,5,5,29,0,264,6,270,132,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1180,E01,239,5,86,9,31,0,4,9,1,145,11,156,49,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1181,B01,440,15,157,5,51,3,7,29,0,267,13,280,105,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1181,C01,439,23,131,4,68,3,11,22,0,262,16,278,127,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1182,B01,133,1,62,1,10,1,4,2,0,81,7,88,18,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1183,B01,224,2,107,8,9,0,1,6,0,133,11,144,18,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1183,E01,729,26,239,37,100,4,10,54,0,470,40,510,194,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1184,B01,648,16,339,5,86,1,5,14,0,466,20,486,122,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1185,B01,620,14,217,6,92,8,15,17,1,370,16,386,146,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1186,B01,666,21,183,22,208,11,18,0,0,463,31,494,258,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1186,E01,382,35,107,36,34,3,10,19,0,244,25,269,101,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1187,B01,713,15,150,17,187,14,13,41,0,437,22,459,270,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1187,C01,713,11,122,6,208,9,9,27,0,392,42,434,264,PAN_PT_PMC_PNA
11,32,SANTA CATARINA ,1187,E01,202,1,142,1,6,0,2,0,0,152,6,158,9,PAN_PT_PMC_PNA
