"ENTIDAD","DISTRITO","MUNICIPIO","SECCION","PADRON_HOMBRES","PADRON_MUJERES","PADRON","LISTA_HOMBRES","LISTA_MUJERES","LISTA"
1,1,2,338,842,856,1698,834,849,1683
1,1,2,339,753,797,1550,746,791,1537
1,1,2,340,790,786,1576,769,759,1528
1,1,2,341,902,922,1824,898,914,1812
1,1,2,342,719,751,1470,712,741,1453
1,1,2,343,1345,1430,2775,1329,1417,2746
1,1,2,344,1184,1209,2393,1152,1175,2327
1,1,2,345,1039,1088,2127,1011,1064,2075
1,1,2,346,867,877,1744,862,874,1736
1,1,2,347,1190,1174,2364,1179,1168,2347
1,1,2,348,743,803,1546,736,792,1528
1,1,2,349,1118,1137,2255,1104,1125,2229
1,1,2,350,1204,1191,2395,1183,1169,2352
1,1,2,351,680,685,1365,675,681,1356
1,1,2,352,1107,1123,2230,1089,1112,2201
1,1,2,353,682,711,1393,675,707,1382
1,1,2,354,691,651,1342,682,647,1329
1,1,3,355,690,718,1408,683,712,1395
1,1,3,356,1236,1309,2545,1221,1297,2518
1,1,3,357,703,831,1534,697,821,1518
1,1,3,358,1620,1684,3304,1601,1666,3267
1,1,3,359,511,542,1053,503,535,1038
1,1,3,360,361,398,759,356,395,751
1,1,3,361,861,915,1776,851,909,1760
1,1,3,362,1067,1075,2142,1055,1064,2119
1,1,3,363,908,972,1880,896,966,1862
1,1,3,364,346,301,647,343,298,641
1,1,3,365,183,183,366,182,181,363
1,1,3,366,336,310,646,334,310,644
1,1,3,367,827,869,1696,816,864,1680
1,1,3,368,41,33,74,40,32,72
1,1,3,369,221,208,429,218,208,426
1,1,3,370,639,694,1333,633,690,1323
1,1,3,371,514,504,1018,508,498,1006
1,1,3,372,500,522,1022,492,518,1010
1,1,3,373,566,552,1118,555,546,1101
1,1,3,374,542,529,1071,539,527,1066
1,1,3,375,895,935,1830,886,925,1811
1,1,3,376,995,1030,2025,983,1017,2000
1,1,3,377,719,740,1459,710,734,1444
1,1,3,378,177,176,353,176,175,351
1,1,3,379,723,759,1482,716,755,1471
1,1,3,380,922,943,1865,909,936,1845
1,1,3,381,503,503,1006,494,499,993
1,1,3,382,837,866,1703,827,858,1685
1,1,3,383,1183,1173,2356,1168,1163,2331
1,1,3,384,595,591,1186,587,586,1173
1,1,3,385,696,740,1436,689,737,1426
1,1,3,386,724,725,1449,715,719,1434
1,1,4,387,1336,1490,2826,1287,1463,2750
1,1,4,388,909,964,1873,898,949,1847
1,1,4,389,838,875,1713,827,868,1695
1,1,4,390,1054,1118,2172,1034,1104,2138
1,1,4,391,1139,1151,2290,1126,1145,2271
1,1,5,392,2669,2689,5358,2637,2663,5300
1,1,5,393,1311,1352,2663,1295,1337,2632
1,1,5,394,2235,2309,4544,2210,2292,4502
1,1,5,395,775,813,1588,765,806,1571
1,1,5,396,2083,2165,4248,2060,2136,4196
1,1,5,397,4390,4476,8866,4344,4423,8767
1,1,5,398,596,632,1228,585,622,1207
1,1,5,399,679,738,1417,672,731,1403
1,1,5,400,694,737,1431,691,734,1425
1,1,5,401,1514,1609,3123,1503,1596,3099
1,1,5,402,526,564,1090,514,558,1072
1,1,5,403,1888,2087,3975,1864,2049,3913
1,1,5,405,3652,3825,7477,3605,3769,7374
1,1,5,406,1408,1421,2829,1389,1406,2795
1,1,5,407,466,486,952,466,485,951
1,1,5,408,185,171,356,185,170,355
1,1,5,409,457,489,946,448,484,932
1,1,5,410,1142,1242,2384,1135,1227,2362
1,1,5,411,2722,2850,5572,2673,2807,5480
1,1,5,412,1592,1680,3272,1574,1656,3230
1,1,5,413,2760,3011,5771,2702,2946,5648
1,1,5,414,1146,1261,2407,1133,1245,2378
1,1,6,415,2195,2449,4644,2170,2423,4593
1,1,6,416,555,609,1164,549,603,1152
1,1,6,417,599,696,1295,593,690,1283
1,1,6,418,548,554,1102,540,551,1091
1,1,6,419,710,812,1522,701,801,1502
1,1,6,420,511,548,1059,509,542,1051
1,1,6,421,2353,2432,4785,2325,2415,4740
1,1,6,422,440,497,937,432,495,927
1,1,6,423,613,693,1306,608,690,1298
1,1,6,424,1272,1351,2623,1257,1338,2595
1,1,6,425,366,420,786,364,417,781
1,1,6,426,511,564,1075,499,554,1053
1,1,6,427,478,488,966,473,485,958
1,1,6,428,1082,1176,2258,1073,1165,2238
1,1,6,429,1030,1063,2093,1013,1035,2048
1,1,6,430,631,641,1272,627,638,1265
1,1,6,488,86,87,173,86,86,172
