uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1919,NA,C. JOSÉ ASENCIO NAVARRETE
NA,1975,NA,C. CARLOS ANTONIO GONZÁLEZ FERNÁNDEZ
NA,1978,NA,C. FRANCISCO SCHMIED MAGAÑA
NA,1981,NA,C. FAUSTO LEONEL VILLANUEVA MARRUFO
NA,1984,NA,C. JUAN JOSÉ CALZADA MARRUFO
NA,1987,NA,C. JORGE MARTÍN ANGULO
NA,1990,NA,C. LUIS GONZÁLEZ FLORES
NA,1992,NA,C. JORGE ARTURO CONTRERAS CASTILLO
NA,1993,PRI,C. GERMAN GARCIA PADILLA
NA,1995,NA,C. FELIPE BARQUET ARMENTEROS
NA,1996,PRI,C. VICTOR MANUEL VIVAS GONZALEZ
NA,1998,NA,ING. FRANCISCO JAVIER DÍAZ CARVAJAL
NA,1999,PRI,LIC. FELIX ARTURO GONZALEZ CANTO
NA,2002,PRI,LIC. CARLOS RAFAEL HERNANDEZ BLANCO
NA,2005,COALICIÓN,C. GUSTAVO A. MIGUEL ORTEGA JOAQUIN
NA,2008,PRI,C. JUAN CARLOS GONZALEZ HERNANDEZ
NA,2011,PRI,C. AURELIO OMAR JOAQUIN GONZALEZ
NA,2013,PRI,LIC. FREDY EFREN MARRUFO MARTIN
NA,2016,QROOUNE,C. PERLA CECILIA TUN PECH
NA,2018,PRI,LIC. PEDRO OSCAR JOAQUIN DELBOUIS
NA,2019,COAL.,C. OTONIEL SEGOVIA MARTINEZ
NA,2021,COAL.,C. JUANITA OBDULIA ALONSO MARRUFO
NA,2022,COAL.,LIC. ANA PATRICIA PERALTA DE LA PEÑA
NA,2023,COAL.,LIC. DIEGO CASTAÑON TREJO
