ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,CI_1,CI_2,CI_3,CI_4,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,OBSERVACIONES
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,159,392,390,275,180,83,200,82,137,148,420,71,58,400,111,83,32,68,45,28,133,136,147,2562,3132,27874,997,627,1022,1417,22163,1927,5466,70414,238085,0.2958,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,260,490,799,472,411,241,388,237,406,337,653,190,159,446,340,246,78,232,119,92,274,349,356,10542,5520,18949,932,462,1058,2187,22634,2323,5657,77089,257706,0.2991,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,241,481,1007,495,534,212,439,269,283,266,153,224,170,519,358,271,117,221,115,119,304,421,331,7534,5056,12761,953,556,1265,2092,25002,2506,4999,69552,272283,0.2554,SUP-JIN-23-2016.pdf
9,CIUDAD DE MEXICO,4,IZTAPALAPA,189,437,695,391,304,183,357,222,265,256,128,150,127,400,258,188,88,194,95,84,417,329,269,4611,4258,25249,1179,1025,1763,2162,24598,3761,7664,81670,259708,0.3145,
9,CIUDAD DE MEXICO,5,TLALPAN,212,431,746,413,529,253,531,267,573,686,127,408,214,526,431,340,176,452,151,126,337,376,544,11459,5212,7685,914,408,1021,1743,22206,1965,4550,65369,241250,0.271,SUP-JIN-10-2016.pdf
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,217,463,674,299,260,138,314,130,335,208,763,101,87,352,203,108,57,111,58,64,196,223,220,4062,4838,27078,1141,537,1055,1862,25027,2369,6427,79297,263438,0.301,SUP-JIN-16-2016.pdf
9,CIUDAD DE MEXICO,7,GUSTAVO A. MADERO,222,472,839,405,402,191,343,192,298,279,1080,157,116,407,244,224,83,178,110,77,263,257,303,5988,6114,26031,912,604,1303,2065,27482,2863,6376,86186,271546,0.3174,SUP-JIN-12-2016 y SUP-JIN-30-2016.pdf
9,CIUDAD DE MEXICO,8,CUAUHTEMOC,251,516,883,996,572,235,516,249,457,368,205,278,283,521,399,250,119,307,111,123,331,521,456,8603,7524,10313,1028,541,1169,2241,27379,2586,5725,75289,285002,0.2642,SUP-JIN-27-2016.pdf
9,CIUDAD DE MEXICO,9,VENUSTIANO CARRANZA,217,452,860,515,341,228,338,186,290,268,180,170,142,393,255,161,79,165,94,98,290,369,301,5307,5444,30728,876,575,3141,2014,19704,2515,6406,82433,264619,0.3115,SUP-JIN-18-2016.pdf
9,CIUDAD DE MEXICO,10,MIGUEL HIDALGO,260,556,892,528,793,281,483,270,593,551,168,448,193,647,479,314,123,340,109,163,339,659,585,15811,6135,15252,992,507,1160,2149,20817,2270,5909,79960,316124,0.2529,SUP-JIN-6-2016 Y SUP-JIN-29-2016.pdf
