ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
17,MORELOS,1,AMACUZAC,11,23,192,2441,423,1837,0,0,0,0,665,508,299,1265,117,443,298,4,8488,515,9007,13141,0.6854
17,MORELOS,2,ATLATLAHUCAN,12,26,1936,509,265,528,2,3,1,0,805,406,863,661,1320,194,1247,7,8740,525,9272,15489,0.5986
17,MORELOS,3,AXOCHIAPAN,20,44,1133,1153,1265,469,15,17,8,0,2766,768,2129,1332,727,355,2621,3,14758,872,15633,24522,0.6375
17,MORELOS,4,AYALA,42,99,6748,5625,6222,3610,0,0,0,0,3018,338,230,769,1114,968,265,59,28907,1819,30785,58593,0.5254
17,MORELOS,5,COATLAN DEL RIO,11,18,871,1198,686,72,0,0,0,0,1554,686,210,21,154,132,47,0,5631,322,5953,8001,0.7440
17,MORELOS,6,CUAUTLA,91,227,5342,9997,3321,3104,0,0,0,0,11659,3932,8781,1390,4391,3101,3011,76,58029,3862,61967,135212,0.4582
17,MORELOS,7,CUERNAVACA,205,510,27369,21921,8388,3817,170,40,24,173,17580,2406,7732,19870,15862,7738,6293,551,139383,11751,151685,301945,0.5023
17,MORELOS,8,EMILIANO ZAPATA,21,90,3108,1976,12128,1319,0,0,0,0,5869,1928,936,419,2532,981,1441,19,32637,1352,34008,57082,0.5957
17,MORELOS,9,HUITZILAC,11,24,1235,1366,1293,1333,0,0,0,0,1140,787,136,286,1238,248,247,3,9309,511,9823,13581,0.7232
17,MORELOS,10,JANTETELCO,8,19,174,495,390,166,2,0,1,4,1489,116,1708,565,681,805,1497,6,8093,467,8566,11774,0.7275
17,MORELOS,11,JIUTEPEC,70,248,5883,9753,5455,2040,0,0,0,0,14164,840,5839,2085,8694,4381,6420,122,65554,4478,70154,155866,0.4500
17,MORELOS,12,JOJUTLA,36,80,1086,3594,888,1247,0,0,0,0,4130,1798,749,4774,3319,774,1053,36,23412,1227,24675,45187,0.5460
17,MORELOS,13,JONACATEPEC,11,22,273,254,281,479,17,1,5,2,1485,224,2468,559,218,480,1067,2,7813,490,8305,11302,0.7348
17,MORELOS,14,MAZATEPEC,7,14,203,1934,76,47,0,0,0,0,2070,48,45,14,105,42,942,5,5526,271,5802,7800,0.7438
17,MORELOS,15,MIACATLAN,14,33,220,5284,374,186,0,0,0,0,3880,2497,287,49,169,138,110,4,13194,605,13803,19364,0.7128
17,MORELOS,16,OCUITUCO,10,22,1369,1285,61,283,0,0,0,0,3340,1380,52,435,215,526,232,1,9178,370,9549,12291,0.7769
17,MORELOS,17,PUENTE DE IXTLA,32,77,997,4147,876,6250,0,0,0,0,2024,2802,2220,912,3086,504,637,34,24455,1242,25731,46539,0.5528
17,MORELOS,18,TEMIXCO,42,134,3248,6456,3878,2445,0,0,0,0,8284,2636,1712,1199,3059,1272,1723,53,35912,2477,38442,81175,0.4735
17,MORELOS,33,TEMOAC,6,17,426,826,174,624,0,0,4,0,1156,678,1003,141,209,634,1370,55,7245,649,7949,10227,0.7772
17,MORELOS,19,TEPALCINGO,16,34,326,430,1475,172,7,1,9,1,3455,432,2714,1273,525,174,1889,10,12883,551,13444,19334,0.6953
17,MORELOS,20,TEPOZTLAN,19,47,1145,1796,670,332,0,0,0,0,3041,901,1856,1256,1762,326,870,18,13955,1040,15013,27454,0.5468
17,MORELOS,21,TETECALA,6,12,297,1535,284,76,0,0,0,0,1235,180,456,64,75,40,26,0,4268,192,4460,5964,0.7478
17,MORELOS,22,TETELA DEL VOLCAN,8,22,1415,702,226,908,0,0,0,0,2349,2017,231,503,450,79,564,1,9444,482,9927,13386,0.7415
17,MORELOS,23,TLALNEPANTLA,4,9,378,361,81,46,2,1,0,0,468,949,374,57,173,18,6,0,2914,166,3080,4751,0.6482
17,MORELOS,24,TLALTIZAPAN,27,63,1588,4921,818,484,53,15,3,306,3441,609,1008,1732,981,2476,1728,11,20163,962,21136,36369,0.5811
17,MORELOS,25,TLAQUILTENANGO,26,53,354,1751,334,711,0,0,0,0,2049,2950,547,1277,1900,1004,288,4,13165,673,13842,24301,0.5696
17,MORELOS,26,TLAYACAPAN,9,21,190,1071,143,862,4,8,4,0,2848,661,1273,66,1861,59,67,0,9117,420,9537,13206,0.7221
17,MORELOS,27,TOTOLAPAN,7,14,1047,352,72,80,1,1,0,0,1283,265,708,76,668,31,36,2,4620,188,4810,7590,0.6337
17,MORELOS,28,XOCHITEPEC,23,74,1054,9240,1331,1011,0,0,0,0,6419,245,3324,305,796,839,279,20,24843,1012,25875,45802,0.5649
17,MORELOS,29,YAUTEPEC,51,128,3450,5601,1474,1543,12,2,3,5,7740,877,3411,4451,5190,1047,1024,26,35830,1891,37747,72959,0.5173
17,MORELOS,30,YECAPIXTLA,19,56,2159,2109,445,1556,0,0,0,0,4905,4059,952,401,1913,393,259,9,19151,887,20047,33096,0.6057
17,MORELOS,31,ZACATEPEC,26,51,1255,4442,1039,277,21,13,22,59,2678,1050,818,1991,1282,546,538,4,16031,872,16907,28554,0.5921
17,MORELOS,32,ZACUALPAN,6,13,364,688,94,662,0,0,0,0,1450,760,343,37,343,246,62,2,5049,358,5409,6779,0.7979
