Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 14 - COAHUAYANA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 225 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,132,73,122,7,1,0,1,,,,,5,,0,,4,,,0,13,358,584
C1,AC,Urna tradicional,129,80,94,6,0,0,2,,,,,1,,0,,8,,,1,4,325,585
Total,,,261,153,216,13,1,0,3,0,0,0,0,6,0,0,0,12,0,0,1,17,683,1169
Sección 226 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,72,121,2,1,1,2,,,,,7,,0,,8,,,0,8,348,649
C1,AC,Urna tradicional,118,68,125,4,1,1,1,,,,,12,,0,,9,,,0,10,349,649
C2,AC,Urna tradicional,109,70,119,2,0,0,0,,,,,6,,0,,13,,,0,10,329,650
Total,,,353,210,365,8,2,2,3,0,0,0,0,25,0,0,0,30,0,0,0,28,1026,1948
Sección 227 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,36,48,4,2,1,1,,,,,6,,1,,5,,,0,5,197,431
Total,,,88,36,48,4,2,1,1,0,0,0,0,6,0,1,0,5,0,0,0,5,197,431
Sección 228 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,168,58,23,2,0,0,3,,,,,5,,0,,0,,,0,4,263,423
C1,AC,Urna tradicional,152,53,17,0,1,0,11,,,,,0,,0,,0,,,0,7,241,424
Total,,,320,111,40,2,1,0,14,0,0,0,0,5,0,0,0,0,0,0,0,11,504,847
Sección 229 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,141,76,43,1,2,0,0,,,,,16,,2,,2,,,0,2,285,536
C1,AC,Urna tradicional,140,73,50,6,0,0,0,,,,,9,,0,,5,,,0,7,290,537
C2,AC,Urna tradicional,132,94,42,4,0,0,0,,,,,11,,2,,0,,,0,4,289,537
Total,,,413,243,135,11,2,0,0,0,0,0,0,36,0,4,0,7,0,0,0,13,864,1610
Sección 230 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,31,18,0,0,0,1,,,,,1,,0,,1,,,0,0,102,168
Total,,,50,31,18,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,102,168
Sección 231 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,104,43,82,0,0,0,0,,,,,0,,0,,0,,,0,6,235,405
C1,AC,Urna tradicional,104,57,80,1,1,1,0,,,,,4,,0,,5,,,0,6,259,405
Total,,,208,100,162,1,1,1,0,0,0,0,0,4,0,0,0,5,0,0,0,12,494,810
Sección 232 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,196,48,125,6,0,0,1,,,,,11,,0,,8,,,0,12,407,724
C1,AC,Urna tradicional,226,64,130,3,2,1,3,,,,,0,,0,,0,,,0,6,435,725
Total,,,422,112,255,9,2,1,4,0,0,0,0,11,0,0,0,8,0,0,0,18,842,1449
Sección 233 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,147,53,66,2,4,0,0,,,,,8,,2,,6,,,0,3,291,504
C1,AC,Urna tradicional,157,39,76,0,1,1,1,,,,,5,,1,,5,,,0,10,296,504
Total,,,304,92,142,2,5,1,1,0,0,0,0,13,0,3,0,11,0,0,0,13,587,1008
Sección 234 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,307,68,58,0,0,0,0,,,,,3,,1,,2,,,0,15,454,740
Total,,,307,68,58,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,15,454,740
Sección 235 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,138,55,94,4,3,0,1,,,,,20,,0,,3,,,0,6,324,641
Total,,,138,55,94,4,3,0,1,0,0,0,0,20,0,0,0,3,0,0,0,6,324,641
Sección 236 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,27,9,1,0,0,0,,,,,2,,0,,0,,,0,0,89,147
Total,,,50,27,9,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,89,147
Total municipal,,,2914,1238,1542,55,19,6,28,0,0,0,0,132,0,9,0,84,0,0,1,138,6166,10968
