Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 92 - TINGUINDIN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2002 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,152,77,167,13,0,,1,,,,,1,,3,,,,,0,6,420,639
C1,AC,Urna tradicional,146,76,151,22,0,,3,,,,,2,,0,,,,,0,8,408,639
Total,,,298,153,318,35,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,14,828,1278
Sección 2003 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,78,70,118,24,1,,2,,,,,0,,2,,,,,0,7,302,462
C1,AC,Urna tradicional,69,78,100,12,0,,3,,,,,1,,0,,,,,1,16,280,462
Total,,,147,148,218,36,1,0,5,0,0,0,0,1,0,2,0,0,0,0,1,23,582,924
Sección 2004 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,96,82,98,20,0,,1,,,,,2,,2,,,,,0,10,311,499
C1,AC,Urna tradicional,130,94,82,17,1,,3,,,,,0,,1,,,,,0,10,338,499
Total,,,226,176,180,37,1,0,4,0,0,0,0,2,0,3,0,0,0,0,0,20,649,998
Sección 2005 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,78,102,9,0,,2,,,,,2,,4,,,,,0,7,313,512
C1,AC,Urna tradicional,117,82,120,13,0,,1,,,,,5,,0,,,,,0,6,344,512
C2,AC,Urna tradicional,121,82,95,11,1,,1,,,,,2,,0,,,,,1,10,324,512
Total,,,347,242,317,33,1,0,4,0,0,0,0,9,0,4,0,0,0,0,1,23,981,1536
Sección 2006 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,89,103,165,18,0,,1,,,,,1,,0,,,,,0,4,381,609
C1,AC,Urna tradicional,75,103,163,20,0,,0,,,,,2,,6,,,,,0,7,376,609
Total,,,164,206,328,38,0,0,1,0,0,0,0,3,0,6,0,0,0,0,0,11,757,1218
Sección 2007 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,77,79,7,1,,4,,,,,2,,0,,,,,0,3,247,448
C1,AC,Urna tradicional,82,82,80,2,0,,3,,,,,0,,0,,,,,0,3,252,448
Total,,,156,159,159,9,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,6,499,896
Sección 2008 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,73,84,171,19,0,,0,,,,,0,,0,,,,,0,3,350,586
C1,AC,Urna tradicional,68,88,162,14,0,,3,,,,,3,,0,,,,,0,4,342,587
Total,,,141,172,333,33,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,7,692,1173
Sección 2009 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,94,90,2,0,,0,,,,,2,,0,,,,,0,13,232,451
C1,AC,Urna tradicional,31,96,79,7,1,,0,,,,,0,,0,,,,,0,5,219,452
E1,AC,Urna tradicional,39,102,16,6,2,,1,,,,,1,,2,,,,,0,5,174,397
E2,AC,Urna tradicional,28,60,17,3,1,,1,,,,,0,,0,,,,,0,6,116,301
Total,,,129,352,202,18,4,0,2,0,0,0,0,3,0,2,0,0,0,0,0,29,741,1601
Sección 2010 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,56,110,10,1,,4,,,,,3,,0,,,,,0,13,242,424
C1,AC,Urna tradicional,36,64,119,8,1,,0,,,,,0,,0,,,,,0,10,238,424
Total,,,81,120,229,18,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,23,480,848
Sección 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,64,55,269,4,3,,8,,,,,3,,0,,,,,0,8,414,687
Total,,,64,55,269,4,3,0,8,0,0,0,0,3,0,0,0,0,0,0,0,8,414,687
Sección 2012 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,133,101,91,1,1,,0,,,,,0,,1,,,,,0,5,333,407
Total,,,133,101,91,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,333,407
Total municipal,,,1886,1884,2644,262,14,0,42,0,0,0,0,32,0,21,0,0,0,0,2,169,6956,11566
