Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 47 - JUAREZ,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 774 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,108,48,17,1,151,,,,,,,,1,12,,,,0,32,383,569
C1,AC,Urna tradicional,11,87,64,11,2,131,,,,,,,,2,13,,,,0,21,342,570
C2,AC,Urna tradicional,18,100,48,11,1,155,,,,,,,,1,13,,,,0,21,368,570
Total,,,42,295,160,39,4,437,0,0,0,0,0,0,0,4,38,0,0,0,0,74,1093,1709
Sección 775 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,130,78,23,0,179,,,,,,,,3,16,,,,0,21,466,735
C1,AC,Urna tradicional,10,122,76,18,0,157,,,,,,,,1,25,,,,0,34,443,736
Total,,,26,252,154,41,0,336,0,0,0,0,0,0,0,4,41,0,0,0,0,55,909,1471
Sección 776 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,37,125,66,9,3,96,,,,,,,,0,14,,,,0,30,380,554
Total,,,37,125,66,9,3,96,0,0,0,0,0,0,0,0,14,0,0,0,0,30,380,554
Sección 777 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,79,60,7,1,116,,,,,,,,2,21,,,,0,12,300,475
C1,AC,Urna tradicional,8,96,51,10,1,99,,,,,,,,0,0,,,,0,23,288,475
Total,,,10,175,111,17,2,215,0,0,0,0,0,0,0,2,21,0,0,0,0,35,588,950
Sección 778 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,123,63,23,7,76,,,,,,,,0,0,,,,0,10,306,458
Total,,,4,123,63,23,7,76,0,0,0,0,0,0,0,0,0,0,0,0,0,10,306,458
Sección 779 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,137,60,25,1,99,,,,,,,,5,10,,,,0,15,357,481
Total,,,5,137,60,25,1,99,0,0,0,0,0,0,0,5,10,0,0,0,0,15,357,481
Sección 780 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,62,115,0,0,128,,,,,,,,0,0,,,,0,16,341,458
Total,,,20,62,115,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,16,341,458
Sección 781 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,57,18,13,0,50,,,,,,,,0,0,,,,0,9,154,206
Total,,,7,57,18,13,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,206
Sección 782 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,173,12,6,1,73,,,,,,,,0,6,,,,0,2,283,412
Total,,,10,173,12,6,1,73,0,0,0,0,0,0,0,0,6,0,0,0,0,2,283,412
Sección 783 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,109,49,5,0,121,,,,,,,,1,11,,,,0,21,329,504
C1,AC,Urna tradicional,3,112,48,6,3,101,,,,,,,,0,4,,,,0,23,300,504
Total,,,15,221,97,11,3,222,0,0,0,0,0,0,0,1,15,0,0,0,0,44,629,1008
Sección 784 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,157,68,5,2,84,,,,,,,,3,15,,,,0,18,368,607
C1,AC,Urna tradicional,10,184,64,5,3,78,,,,,,,,8,14,,,,0,22,388,607
C2,AC,Urna tradicional,12,189,56,5,2,85,,,,,,,,3,5,,,,0,23,380,607
C3,AC,Urna tradicional,2,162,71,4,3,98,,,,,,,,9,0,,,,0,22,371,608
Total,,,40,692,259,19,10,345,0,0,0,0,0,0,0,23,34,0,0,0,0,85,1507,2429
Sección 785 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,100,33,2,2,158,,,,,,,,0,6,,,,1,30,386,620
Total,,,54,100,33,2,2,158,0,0,0,0,0,0,0,0,6,0,0,0,1,30,386,620
Total municipal,,,270,2412,1148,205,33,2235,0,0,0,0,0,0,0,39,185,0,0,0,1,405,6933,10756
