Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 58 - NOCUPETARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1336 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,168,,,0,,0,173,,,,0,,0,,,,,0,9,402,567
Total,,,52,168,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,9,402,567
Sección 1337 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,60,164,,,0,,1,105,,,,2,,3,,,,,0,11,346,529
C1,AC,Urna tradicional,73,163,,,1,,1,115,,,,0,,6,,,,,0,11,370,529
Total,,,133,327,0,0,1,0,2,220,0,0,0,2,0,9,0,0,0,0,0,22,716,1058
Sección 1338 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,205,,,2,,1,100,,,,1,,3,,,,,0,10,375,579
C1,AC,Urna tradicional,68,173,,,1,,1,101,,,,2,,2,,,,,0,8,356,580
C2,AC,Urna tradicional,61,193,,,2,,0,118,,,,0,,0,,,,,0,11,385,580
Total,,,182,571,0,0,5,0,2,319,0,0,0,3,0,5,0,0,0,0,0,29,1116,1739
Sección 1339 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,81,127,,,1,,0,73,,,,0,,0,,,,,0,5,287,376
Total,,,81,127,0,0,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,5,287,376
Sección 1340 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,30,,,0,,0,68,,,,0,,0,,,,,0,1,105,150
Total,,,6,30,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,105,150
Sección 1341 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,63,,,1,,0,91,,,,2,,2,,,,,0,1,201,320
Total,,,41,63,0,0,1,0,0,91,0,0,0,2,0,2,0,0,0,0,0,1,201,320
Sección 1342 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,118,151,,,2,,0,106,,,,1,,2,,,,,0,16,396,590
C1,AC,Urna tradicional,122,130,,,2,,1,126,,,,8,,6,,,,,0,16,411,590
Total,,,240,281,0,0,4,0,1,232,0,0,0,9,0,8,0,0,0,0,0,32,807,1180
Sección 1343 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,87,76,,,3,,0,101,,,,1,,1,,,,,0,5,274,446
Total,,,87,76,0,0,3,0,0,101,0,0,0,1,0,1,0,0,0,0,0,5,274,446
Sección 1344 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,64,,,0,,0,275,,,,8,,2,,,,,0,12,483,661
Total,,,122,64,0,0,0,0,0,275,0,0,0,8,0,2,0,0,0,0,0,12,483,661
Sección 1345 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,17,,,0,,0,64,,,,0,,0,,,,,0,3,94,131
Total,,,10,17,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,3,94,131
Sección 1346 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,83,,,2,,0,71,,,,0,,0,,,,,0,2,208,300
Total,,,50,83,0,0,2,0,0,71,0,0,0,0,0,0,0,0,0,0,0,2,208,300
Sección 1347 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,13,,,0,,0,63,,,,0,,0,,,,,0,2,118,174
Total,,,40,13,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,2,118,174
Sección 1348 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,155,,,0,,0,191,,,,0,,3,,,,,0,7,376,597
Total,,,20,155,0,0,0,0,0,191,0,0,0,0,0,3,0,0,0,0,0,7,376,597
Total municipal,,,1064,1975,0,0,17,0,5,1941,0,0,0,25,0,30,0,0,0,0,0,130,5187,7699
