Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 59 - NUEVO PARANGARICUTIRO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1349 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,72,247,,,2,,2,166,,,,1,,7,,,,,1,11,509,716
C1,AC,Urna tradicional,97,196,,,1,,0,172,,,,3,,1,,,,,0,17,487,717
Total,,,169,443,0,0,3,0,2,338,0,0,0,4,0,8,0,0,0,0,1,28,996,1433
Sección 1350 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,207,,,1,,1,129,,,,1,,3,,,,,0,5,392,513
C1,AC,Urna tradicional,24,193,,,0,,1,150,,,,1,,4,,,,,0,7,380,513
C2,AC,Urna tradicional,25,203,,,1,,1,128,,,,0,,1,,,,,0,6,365,514
Total,,,94,603,0,0,2,0,3,407,0,0,0,2,0,8,0,0,0,0,0,18,1137,1540
Sección 1351 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,325,,,1,,2,159,,,,0,,2,,,,,2,17,535,727
C1,AC,Urna tradicional,31,290,,,1,,1,152,,,,0,,1,,,,,0,18,494,727
Total,,,58,615,0,0,2,0,3,311,0,0,0,0,0,3,0,0,0,0,2,35,1029,1454
Sección 1352 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,358,,,0,,0,63,,,,0,,6,,,,,0,11,454,583
C1,AC,Urna tradicional,18,337,,,0,,1,82,,,,1,,2,,,,,0,5,446,583
C2,AC,Urna tradicional,36,274,,,0,,0,113,,,,0,,5,,,,,0,9,437,583
Total,,,70,969,0,0,0,0,1,258,0,0,0,1,0,13,0,0,0,0,0,25,1337,1749
Sección 1353 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,234,,,1,,5,136,,,,0,,0,,,,,0,8,415,569
C1,AC,Urna tradicional,31,212,,,0,,0,146,,,,0,,0,,,,,1,13,403,570
C2,AC,Urna tradicional,25,162,,,1,,1,176,,,,0,,0,,,,,0,11,376,570
C3,AC,Urna tradicional,42,166,,,2,,0,162,,,,1,,2,,,,,0,11,386,570
Total,,,129,774,0,0,4,0,6,620,0,0,0,1,0,2,0,0,0,0,1,43,1580,2279
Sección 1354 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,283,,,0,,0,175,,,,2,,3,,,,,0,11,508,727
C1,AC,Urna tradicional,42,295,,,0,,0,150,,,,0,,0,,,,,0,12,499,728
C2,AC,Urna tradicional,44,250,,,0,,2,172,,,,1,,4,,,,,0,12,485,728
Total,,,120,828,0,0,0,0,2,497,0,0,0,3,0,7,0,0,0,0,0,35,1492,2183
Sección 1355 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,98,137,,,2,,6,137,,,,2,,1,,,,,0,6,389,585
Total,,,98,137,0,0,2,0,6,137,0,0,0,2,0,1,0,0,0,0,0,6,389,585
Sección 1356 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,93,47,,,4,,3,126,,,,2,,0,,,,,0,7,282,419
C1,AC,Urna tradicional,63,59,,,2,,2,109,,,,2,,5,,,,,0,7,249,420
Total,,,156,106,0,0,6,0,5,235,0,0,0,4,0,5,0,0,0,0,0,14,531,839
Sección 1357 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,129,,,0,,2,88,,,,1,,0,,,,,0,14,284,454
E1,AC,Urna tradicional,6,47,,,4,,0,124,,,,0,,0,,,,,0,7,188,270
Total,,,56,176,0,0,4,0,2,212,0,0,0,1,0,0,0,0,0,0,0,21,472,724
Sección 1358 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,1,48,,,0,,0,20,,,,0,,0,,,,,0,0,69,109
Total,,,1,48,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,69,109
Sección 1359 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,17,72,,,1,,0,56,,,,0,,3,,,,,0,5,154,205
Total,,,17,72,0,0,1,0,0,56,0,0,0,0,0,3,0,0,0,0,0,5,154,205
Total municipal,,,968,4771,0,0,24,0,30,3091,0,0,0,18,0,50,0,0,0,0,4,230,9186,13100
