Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 7 - APORO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 132 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,102,141,158,2,1,0,2,,,,,1,,2,,13,,,0,10,432,573
C1,AC,Urna tradicional,95,118,137,4,3,0,7,,,,,6,,3,,12,,,0,14,399,573
Total,,,197,259,295,6,4,0,9,0,0,0,0,7,0,5,0,25,0,0,0,24,831,1146
Sección 133 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,95,132,109,2,1,2,3,,,,,1,,2,,10,,,0,6,363,481
C1,AC,Urna tradicional,91,114,83,2,1,1,6,,,,,6,,3,,13,,,0,5,325,481
Total,,,186,246,192,4,2,3,9,0,0,0,0,7,0,5,0,23,0,0,0,11,688,962
Sección 134 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,30,67,99,1,0,0,1,,,,,2,,3,,10,,,0,6,219,280
Total,,,30,67,99,1,0,0,1,0,0,0,0,2,0,3,0,10,0,0,0,6,219,280
Sección 135 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,35,97,117,1,2,2,9,,,,,2,,1,,9,,,0,7,282,355
Total,,,35,97,117,1,2,2,9,0,0,0,0,2,0,1,0,9,0,0,0,7,282,355
Total municipal,,,448,669,703,12,8,5,28,0,0,0,0,18,0,14,0,67,0,0,0,48,2020,2743
