ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,MATEHUALA,176,277,4731,15168,6882,4788,10254,3059,11038,1685,17006,1546,,,76157,45,6603,82805,134045,
24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,105,239,20110,5126,12417,2107,7412,2564,2234,2168,20129,1774,,4771,80812,98,5073,85983,137886,
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,160,275,9869,23178,16674,2951,5472,6185,3922,3541,9004,1601,,,82397,144,6927,89468,135599,
24,SAN LUIS POTOSI,4,SALINAS,143,249,254,18830,4411,5373,5519,8117,25149,3227,9862,1188,,,81930,56,7833,89819,128176,
24,SAN LUIS POTOSI,5,SOLEDAD DE GRACIANO SANCHEZ,77,224,99,3967,19267,3666,4620,2536,9774,2161,19549,1902,,,67541,82,4151,71774,138192,
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,73,217,16797,6349,14353,1802,2015,1837,2734,3823,15115,1338,3749,,69912,88,4377,74377,136742,
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,82,230,39013,10614,7121,1913,3631,1308,2053,3195,16082,1672,,,86602,157,4355,91114,139781,
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,73,237,16297,3694,12810,2360,6617,924,2222,2486,20658,1912,,,69980,122,4896,74998,142670,
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,51,205,8664,3314,21313,2317,3990,3314,1901,4542,18427,1677,,,69459,44,4075,73578,133294,
24,SAN LUIS POTOSI,10,RIOVERDE,171,286,21396,16652,7560,4111,5157,1828,1610,1827,15114,1436,,,76691,76,5751,82518,141471,
24,SAN LUIS POTOSI,11,CARDENAS,187,284,19416,19424,5042,6190,3978,5087,601,7155,9457,1228,,,77578,13,9399,86990,131194,
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,224,10514,13209,9962,1710,2916,1029,4506,4647,21854,3473,,,73820,49,4531,78400,126191,
24,SAN LUIS POTOSI,13,TAMUIN,151,235,17502,11918,9395,3900,2632,928,2386,10870,15591,2220,,,77342,13,6299,83654,118344,
24,SAN LUIS POTOSI,14,TANCANHUITZ,119,222,22962,20414,7775,3142,4627,1086,2551,2177,10599,1353,,,76686,13,8428,85127,114870,
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,220,18357,7615,7765,3103,2877,7236,765,6430,14003,1315,,,69466,2,8073,77541,115871,
