ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,62,134,5969,7338,1351,2207,4001,863,901,20373,848,1367,802,598,,46618,59,1653,48330,74371,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D01MR.jpg
32,ZACATECAS,2,ZACATECAS,79,135,8715,8277,1149,1722,4840,864,1879,15001,737,1351,608,715,,45858,20,1811,47689,71666,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D02MR.jpg
32,ZACATECAS,3,GUADALUPE,59,117,4026,9805,710,2221,1315,841,1039,17575,743,1987,703,363,,41328,27,1481,42836,66104,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D03MR.jpg
32,ZACATECAS,4,GUADALUPE,55,122,3174,11221,637,3128,1056,605,1721,17728,745,1388,421,308,,42132,23,1247,43402,68242,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D04MR.jpg
32,ZACATECAS,5,FRESNILLO,70,119,3369,7336,917,4539,928,474,988,16178,741,638,358,290,,36756,48,1332,38136,61894,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D05MR.jpg
32,ZACATECAS,6,FRESNILLO,80,127,4226,5842,739,3229,1200,460,757,16159,834,1163,216,397,6649,41871,23,1035,42929,66283,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D06MR.jpg
32,ZACATECAS,7,FRESNILLO,128,161,3307,7075,4397,2824,7910,602,699,11412,584,465,213,267,,39755,15,1552,41322,66448,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D07MR.jpg
32,ZACATECAS,8,OJOCALIENTE,74,116,2479,13927,5236,4807,2300,436,1305,6182,783,319,113,129,,38016,16,1867,39899,58193,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D08MR.jpg
32,ZACATECAS,9,LORETO,63,110,1529,10053,1108,8331,2245,3175,494,8551,578,421,881,125,,37491,15,1733,39239,57602,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D09MR.jpg
32,ZACATECAS,10,JEREZ,139,165,7881,10515,533,1134,5555,477,3327,7409,354,311,470,185,,38151,14,1732,39897,66601,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D10MR.jpg
32,ZACATECAS,11,VILLANUEVA,104,136,3326,10800,6592,1987,5573,1218,963,7106,874,240,79,444,,39202,9,2118,41329,60674,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D11MR.jpg
32,ZACATECAS,12,VILLA DE COS,145,180,1372,14857,1129,2686,2806,380,13712,8487,332,26,170,188,,46145,24,2109,48278,65938,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D12MR.jpg
32,ZACATECAS,13,JALPA,124,157,11955,8624,1695,3876,1305,1938,1160,6161,860,211,585,92,,38462,7,2063,40532,66964,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D13MR.jpg
32,ZACATECAS,14,TLALTENANGO,150,178,13536,10939,2333,1085,2967,544,838,8709,476,495,60,4,,41986,9,1648,43643,67776,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D14MR.jpg
32,ZACATECAS,15,PINOS,119,144,2326,19457,5410,1247,943,573,432,9756,377,129,104,1351,,42105,26,1676,43807,62937,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D15MR.jpg
32,ZACATECAS,16,RIO GRANDE,88,126,4179,10449,6882,1785,2330,586,1217,6883,453,415,430,142,,35751,6,1774,37531,61223,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D16MR.jpg
32,ZACATECAS,17,SOMBRERETE,120,148,5604,9826,3247,1209,1418,657,615,7000,412,3330,82,97,,33497,5,1430,34932,58489,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D17MR.jpg
32,ZACATECAS,18,JUAN ALDAMA,98,134,5453,12740,733,3711,833,338,577,11127,423,738,218,396,,37287,10,1500,38797,61054,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D18MR.jpg
