ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,MORENA,MORENA_PT_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,12,CUERAMARO,21,40,5504,1218,337,164,2192,1307,,525,,,,,,,,,,,,,,,,,,,,,,,,,,11247,1,517,11765,23226,
11,GUANAJUATO,13,DOCTOR MORA,12,30,4522,1092,718,190,3663,430,,747,,,,,,,,,,,,,,,,,,,,,,,,,,11362,0,430,11792,18050,
11,GUANAJUATO,14,DOLORES HIDALGO CIN,71,192,11559,16392,1243,5829,2018,840,,4765,,,,,,,,,1160,10605,,,,,,,,,,,,,,,,54411,79,2695,57185,112026,
11,GUANAJUATO,15,GUANAJUATO,93,238,27292,8443,4861,6201,1115,1495,,17700,,,,,,,,,,,,,,,,,,,,,,,,,,67107,50,2224,69381,137513,
11,GUANAJUATO,16,HUANIMARO,13,29,2576,176,872,2410,1503,117,,332,,,,,,,,,,,1423,,,,,,,,,,,,,,,9409,1,420,9830,16900,
11,GUANAJUATO,17,IRAPUATO,249,680,75192,38293,2229,5683,2267,2962,,53599,,,,,,,,,,,,17987,,,,,,,,,,,,,,198212,372,6326,204910,415087,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,51,6980,7263,261,825,125,1475,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,18032,3,503,18538,28989,
11,GUANAJUATO,19,JERECUARO,56,81,4162,7303,286,2641,3374,155,,2089,,,,,,,,,,,,,,,,,,,,,,,,,,20010,5,1322,21337,41440,
11,GUANAJUATO,20,LEON,723,1836,326206,64268,7078,63529,11732,9623,,102282,,,,,,,,,,,,,,,,,,,,,,,,,,584718,480,18872,604070,1114438,
11,GUANAJUATO,21,MOROLEON,35,76,4309,2848,10730,1814,279,174,,3114,,,,,,,,,,,,,,,,,,,,,,,,,,23268,11,700,23979,43487,
11,GUANAJUATO,22,OCAMPO,18,36,3242,3102,464,204,2149,255,,529,,,,,,,,,,,,,99,,,,,,,,,,,,,10044,1,403,10448,17804,
11,GUANAJUATO,23,PENJAMO,114,228,17425,12705,1077,3420,602,978,,15897,,,,,,,,,,,,,,1925,,,,,,,,,,,,54029,103,2324,56456,124292,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,1410,3175,214,73,51,1849,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6773,0,252,7025,10744,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,86,14681,7446,,1492,249,501,,2396,,,,,,,,,,,,,,,,,,,,,,,,,,26765,8,782,27555,53515,
11,GUANAJUATO,26,ROMITA,50,84,6432,10107,367,458,163,2813,,4120,,,,,,,,,,,,,,,,,,,,,,,,,,24460,24,743,25227,45218,
11,GUANAJUATO,27,SALAMANCA,154,361,28948,15063,1573,3342,1448,1946,,32627,,,,,,,,,,,,,,,3653,24675,,,,,,,,,,113275,209,3765,117249,212516,
11,GUANAJUATO,28,SALVATIERRA,84,153,18337,8548,984,3495,733,1023,,9446,,,,,,,,,,,,,,,,,,,,,,,,,,42566,19,1650,44235,84454,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,50,7659,4248,630,560,886,188,,874,,,,,,,,,,,,,,,,,,,,,,,,,,15045,2,584,15631,27250,
11,GUANAJUATO,30,SAN FELIPE,71,146,8172,4247,750,10220,2609,7416,,2949,,,,,,,,,,,,,,,,,725,,,,,,,,,37088,47,1998,39133,80941,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,153,12786,17392,252,9481,2002,342,,4665,,,,,,,,,,,,,,,,,,,,,,,,,,46920,10,1436,48366,91009,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,99,6251,1565,1233,2500,5968,4859,,7897,,,,,,,,,,,,,,,,,,397,,,,,,,,30670,29,1658,32357,58276,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,148,12097,13623,1528,2790,961,1934,,8665,,,,,,,,,,,,,,,,,,,,,,,,,,41598,29,2062,43689,88157,
11,GUANAJUATO,34,SANTA CATARINA,5,10,1513,1145,,,27,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,2912,1,90,3003,4309,
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,101,8020,1763,12626,1847,168,421,,6054,,,,,,,,,,,,,,,,,,,,,1355,,,,,32254,20,1063,33337,60770,
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,1879,2265,,84,,14,,91,,,,,,,,,,,,,,,,,,,,,,,,,,4333,0,141,4474,6671,
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,223,20146,10560,1157,7953,794,1196,,16319,,,,,,,,,,,,,,,,,,,,,,,,,,58125,41,1816,59982,134585,
11,GUANAJUATO,38,TARANDACUAO,12,20,1968,1360,,1149,363,412,,8,,,,,,,,,,,,,,,,,,,,,,,,,,5260,1,240,5501,10229,
11,GUANAJUATO,39,TARIMORO,34,60,6797,3280,180,914,1189,375,,2291,,,,,,,,,,,,,,,,,,,,,,958,,,,15984,35,596,16615,31224,
11,GUANAJUATO,40,TIERRA BLANCA,10,23,2878,1671,2184,2349,105,21,377,,,,,,,,,,,,,,,,,,,,,,,,,,,9585,1,372,9958,13033,
11,GUANAJUATO,41,URIANGATO,26,81,2407,8164,149,5194,1067,209,,0,,,,,,,,,,,,,,,,,,,,,,,6536,,,23726,6,894,24626,49270,
11,GUANAJUATO,42,VALLE DE SANTIAGO,75,206,12369,9479,9795,3589,1820,1162,,6690,,,,,,,,,,,,,,,,,,,,,,,,6846,,51750,34,2338,54122,114493,
11,GUANAJUATO,43,VICTORIA,15,27,4618,1933,928,179,197,192,,1752,,,,,,,,,,,,,,,,,,,,,,,,,,9799,1,333,10133,15422,
11,GUANAJUATO,44,VILLAGRAN,28,75,7024,833,1588,2160,353,11521,,2542,,,,,,,,,,,,,,,,,,,,,,,,,692,26713,22,847,27582,45588,
11,GUANAJUATO,45,XICHU,14,23,3234,2424,,121,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,5891,2,211,6104,8459,
11,GUANAJUATO,46,YURIRIA,57,114,11149,7569,602,5793,258,422,,3786,,,,,,,,,,,,,,,,,,,,,,,,,,29579,10,1169,30758,63401,
