ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD_MC,PAN,PRI,PRD,PVEM,PT_MORENA_ES,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,16,2777,,3033,,2,371,,,1,,,,,,,,,,,,,,,,,6184,0,205,6389,8255,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ABASOLO.pdf
28,TAMAULIPAS,2,ALDAMA,21,45,8570,,6164,,77,1381,,,160,,,,,,,,,,,,,,,,,16352,1,646,17091,23128,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ALDAMA.pdf
28,TAMAULIPAS,3,ALTAMIRA,84,266,42464,,21566,,2865,30596,,,1491,,,,,,,,,,,,,,,,,98982,46,2621,101748,165719,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ALTAMIRA.pdf
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3654,,1460,,80,248,,,1,,,,,,,,,,,,,,,,,5443,0,144,5587,7221,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ANTIGUOMORELOS.pdf
28,TAMAULIPAS,5,BURGOS,8,12,,2178,1276,1,0,,1,0,2,29,0,,,,,,,,,,,,,,,3487,10,92,3589,4540,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_BURGOS.pdf
28,TAMAULIPAS,6,BUSTAMANTE,9,15,,1752,2694,4,1,71,,2,2,,,,,,,,,,,,,,,,,4526,0,61,4588,5635,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_BUSTAMANTE.pdf
28,TAMAULIPAS,7,CAMARGO,16,25,3142,,1409,,169,2126,,,31,,,,,,,,,,,,,,,,,6877,1,254,7132,12770,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CAMARGO.pdf
28,TAMAULIPAS,8,CASAS,8,13,,1911,1351,4,1,185,,2,4,,,,,,,,,,,,,,,,,3458,0,77,3519,4304,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CASAS.pdf
28,TAMAULIPAS,9,CIUDAD MADERO,107,282,41736,,13328,,1462,45469,,,1391,,,5703,,,,,,,,,,,,,,109089,103,1641,111065,168153,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CIUDADMADERO.pdf
28,TAMAULIPAS,10,CRUILLAS,5,7,,391,592,0,2,642,,7,2,,,,,,,,,,,,,,,,,1636,0,41,1677,2017,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CRUILLAS.pdf
