ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,16,2711,3033,43,2,24,23,1,318,29,,,,,,,,,,,,,,,6184,0,205,6389,8255,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ABASOLO.pdf
28,TAMAULIPAS,2,ALDAMA,21,45,2578,6164,160,77,320,5832,160,1005,56,,,,,,,,,,,,,,,16352,1,646,17091,23128,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ALDAMA.pdf
28,TAMAULIPAS,3,ALTAMIRA,84,266,39698,21566,1174,2865,2884,1592,1491,26042,1670,,,,,,,,,,,,,,,98982,46,2621,101748,165719,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ALTAMIRA.pdf
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3632,1460,14,80,20,8,1,223,5,,,,,,,,,,,,,,,5443,0,144,5587,7221,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ANTIGUOMORELOS.pdf
28,TAMAULIPAS,5,BURGOS,8,12,2178,1276,1,0,1,0,2,29,0,,,,,,,,,,,,,,,3487,10,92,3589,4540,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_BURGOS.pdf
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1752,2694,4,1,5,2,2,66,1,,,,,,,,,,,,,,,4527,0,61,4568,5635,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_BUSTAMANTE.pdf
28,TAMAULIPAS,7,CAMARGO,16,25,3017,1409,64,169,124,61,31,864,1138,,,,,,,,,,,,,,,6877,1,254,7132,12770,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CAMARGO.pdf
28,TAMAULIPAS,8,CASAS,8,13,1911,1351,4,1,16,2,4,155,4,,,,,,,,,,,,,,,3448,0,77,3519,4304,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CASAS.pdf
28,TAMAULIPAS,9,CIUDAD MADERO,107,282,39098,13328,1294,1462,2855,1344,1391,40852,1762,5703,,,,,,,,,,,,,,109089,103,1641,111065,168153,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CIUDADMADERO.pdf
28,TAMAULIPAS,10,CRUILLAS,5,7,391,592,0,2,19,7,2,611,12,,,,,,,,,,,,,,,1636,0,41,1677,2017,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CRUILLAS.pdf
28,TAMAULIPAS,21,EL MANTE,86,163,19381,13662,527,955,1392,191,550,10822,1644,,,,3824,785,,,,,,,,,,53733,72,1534,55481,86555,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ELMANTE.pdf
