ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,140,276,19714,14285,9596,2948,2779,6512,3210,19285,1756,753,,,,,,,,,,,,,80838,39,4671,85548,153199,http://iem.org.mx/actas_dtto/D4_LA PIEDAD.pdf
16,MICHOACAN,2,PURUÁNDIRO,165,304,4766,20561,26208,5462,6529,1390,1937,17574,700,,,,348,287,45,140,826,,,,,,86773,80,6021,92874,163269,http://iem.org.mx/actas_dtto/D4_PURUÁNDIRO.pdf
16,MICHOACAN,3,MARAVATÍO,98,235,4759,15082,11544,2872,8901,3360,3888,19226,2223,349,,,,,,,601,,,,,,72805,39,6469,79313,132725,http://iem.org.mx/actas_dtto/D4_MARAVATÍO.pdf
16,MICHOACAN,4,JIQUILPAN,140,269,18139,19984,8664,1977,3546,3885,2228,20714,640,,,,676,407,165,55,340,,,,,,81420,119,4428,85967,142210,http://iem.org.mx/actas_dtto/D4_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,96,209,4264,14378,12765,2658,4379,1237,940,20137,2825,,34,86,,,,,357,,,,,,64060,44,5240,69344,112458,http://iem.org.mx/actas_dtto/D4_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,96,250,11672,10381,2715,7595,8696,5480,888,19716,1337,,,380,,,,,1082,,,,,,69942,88,3807,73837,144445,http://iem.org.mx/actas_dtto/D4_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,124,267,11074,13408,5361,3719,16204,4736,2012,19765,1696,,,,512,107,165,48,,,,,,,78807,54,5460,84321,156173,http://iem.org.mx/actas_dtto/D4_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,113,265,7759,14822,10196,11192,12180,3786,5129,12305,4453,,,,255,273,56,72,620,,,,,,83098,42,5920,89060,149301,http://iem.org.mx/actas_dtto/D4_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,138,292,22547,14472,9248,2169,6557,3128,1463,19674,853,,330,152,,,,,225,,,,,,80818,47,4494,85359,152089,http://iem.org.mx/actas_dtto/D4_LOS REYES.pdf
16,MICHOACAN,10,MORELIA NOROESTE,49,216,5721,10156,3344,2615,5012,2194,1022,20676,5808,,,,132,66,36,29,313,7310,,,,,64434,76,4965,69475,138636,http://iem.org.mx/actas_dtto/D4_MORELIA NOROESTE.pdf
16,MICHOACAN,11,MORELIA NORESTE,95,250,13610,10562,3201,2728,13087,1593,1310,20969,3786,,,,184,92,37,16,360,,10884,,,,82419,117,5167,87703,151879,http://iem.org.mx/actas_dtto/D4_MORELIA NORESTE.pdf
16,MICHOACAN,12,HIDALGO,126,266,11455,16850,14073,7895,4661,1758,1992,16475,1884,,,,792,316,84,85,1070,,,,,,79390,78,6443,85911,148130,http://iem.org.mx/actas_dtto/D4_HIDALGO.pdf
16,MICHOACAN,13,ZITÁCUARO,99,233,6687,10433,18472,7743,5082,1587,1699,21842,2653,,,,536,388,61,107,1033,,,,,,78323,68,6733,85124,137228,http://iem.org.mx/actas_dtto/D4_ZITÁCUARO.pdf
16,MICHOACAN,14,URUAPAN NORTE,88,214,9957,5839,15713,2821,2591,1597,1034,20120,1654,,106,166,,,,,395,,,,,,61993,112,4229,66334,123275,http://iem.org.mx/actas_dtto/D4_URUAPAN NORTE.pdf
16,MICHOACAN,15,PÁTZCUARO,96,239,5219,18509,16114,4929,6467,2450,1728,19059,3767,,,,414,281,44,94,589,,,,,,79664,52,6795,86511,142562,http://iem.org.mx/actas_dtto/D4_PÁTZCUARO.pdf
16,MICHOACAN,16,MORELIA SUROESTE,80,252,9230,12684,4789,3017,6197,2512,1790,26413,3800,,,,174,132,69,54,436,,,8248,,,79545,156,6057,85758,153040,http://iem.org.mx/actas_dtto/D4_MORELIA SUROESTE.pdf
16,MICHOACAN,17,MORELIA SURESTE,127,281,20889,11369,4943,2879,6263,2449,1565,26908,4156,,,,254,125,83,28,340,,,,8013,,90264,208,6471,96943,157951,http://iem.org.mx/actas_dtto/D4_MORELIA SURESTE.pdf
16,MICHOACAN,18,HUETAMO,178,272,2993,14907,33249,3505,6780,1727,1164,17636,1320,,,,584,289,37,136,528,,,,,,84855,18,5619,90492,135535,http://iem.org.mx/actas_dtto/D4_HUETAMO.pdf
16,MICHOACAN,19,TACÁMBARO,140,269,14562,15565,16647,3266,8964,1216,3826,15796,784,,,,547,611,75,109,288,,,,,,82256,132,6344,88732,144674,http://iem.org.mx/actas_dtto/D4_TACÁMBARO.pdf
16,MICHOACAN,20,URUAPAN SUR,54,188,8646,4706,15103,3711,2497,1142,772,19600,1388,,121,207,,,,,560,,,,,,58453,79,3457,61989,116571,http://iem.org.mx/actas_dtto/D4_URUAPAN SUR.pdf
16,MICHOACAN,21,COALCOMÁN,114,230,7411,14532,13951,2535,7622,1335,2922,19691,,,217,455,,,,,732,,,,,,71403,21,4875,76299,127273,http://iem.org.mx/actas_dtto/D4_COALCOMÁN.pdf
16,MICHOACAN,22,MÚGICA,124,249,1814,23973,14351,3195,2973,1753,2020,25659,,,,,299,148,13,80,816,,,,,,77094,22,4514,81630,130137,http://iem.org.mx/actas_dtto/D4_MÚGICA.pdf
16,MICHOACAN,23,APATZINGÁN,105,226,5206,16298,8696,3416,4219,1178,1302,20556,765,,,,173,143,28,44,491,,,,,,62515,35,3677,66227,124701,http://iem.org.mx/actas_dtto/D4_APATZINGÁN.pdf
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,225,2588,9672,10364,7459,1877,727,662,35533,1682,,,,98,68,11,28,614,,,,,4597,75980,99,3507,79586,135477,http://iem.org.mx/actas_dtto/D4_LÁZARO CÁRDENAS.pdf
