Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 53 - MARCOS CASTELLANOS,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 929 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,198,197,20,1,0,0,3,,,,,4,,3,,,0,,1,6,433,649
C1,AC,Urna tradicional,210,161,17,2,1,1,7,,,,,1,,1,,,1,,0,6,408,649
Total,,,408,358,37,3,1,1,10,0,0,0,0,5,0,4,0,0,1,0,1,12,841,1298
Sección 930 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,202,165,21,2,0,0,3,,,,,3,,1,,,0,,0,3,400,630
C1,AC,Urna tradicional,189,160,26,0,1,0,4,,,,,2,,1,,,0,,2,9,394,630
C2,AC,Urna tradicional,217,154,22,1,0,0,8,,,,,0,,0,,,0,,0,9,411,630
Total,,,608,479,69,3,1,0,15,0,0,0,0,5,0,2,0,0,0,0,2,21,1205,1890
Sección 931 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,169,98,16,1,0,0,1,,,,,0,,1,,,0,,0,2,288,493
C1,AC,Urna tradicional,156,110,14,3,0,0,3,,,,,1,,0,,,0,,0,4,291,493
Total,,,325,208,30,4,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,6,579,986
Sección 932 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,163,135,12,1,0,0,1,,,,,3,,0,,,0,,0,9,324,567
C1,AC,Urna tradicional,181,158,19,1,0,0,0,,,,,2,,0,,,1,,0,8,370,567
Total,,,344,293,31,2,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,17,694,1134
Sección 933 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,218,117,13,1,1,1,8,,,,,3,,1,,,0,,0,6,369,618
C1,AC,Urna tradicional,216,109,20,1,1,0,9,,,,,1,,1,,,0,,0,5,363,619
Total,,,434,226,33,2,2,1,17,0,0,0,0,4,0,2,0,0,0,0,0,11,732,1237
Sección 934 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,116,15,0,0,0,0,,,,,6,,3,,,0,,0,7,292,431
C1,AC,Urna tradicional,134,95,19,0,2,0,0,,,,,0,,1,,,1,,1,5,258,431
Total,,,279,211,34,0,2,0,0,0,0,0,0,6,0,4,0,0,1,0,1,12,550,862
Sección 935 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,13,2,0,0,0,1,,,,,0,,0,,,0,,0,1,56,97
Total,,,39,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,56,97
Sección 936 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,161,16,1,0,1,2,,,,,1,,0,,,0,,0,4,280,431
Total,,,94,161,16,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,280,431
Sección 937 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,123,73,117,4,1,0,2,,,,,1,,0,,,3,,0,6,330,509
C1,AC,Urna tradicional,124,68,124,2,1,1,1,,,,,5,,1,,,0,,0,5,332,510
Total,,,247,141,241,6,2,1,3,0,0,0,0,6,0,1,0,0,3,0,0,11,662,1019
Sección 938 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,140,42,9,0,1,0,18,,,,,3,,0,,,0,,0,3,216,321
Total,,,140,42,9,0,1,0,18,0,0,0,0,3,0,0,0,0,0,0,0,3,216,321
Sección 939 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,135,58,2,1,0,5,,,,,3,,0,,,0,,0,4,353,674
Total,,,145,135,58,2,1,0,5,0,0,0,0,3,0,0,0,0,0,0,0,4,353,674
Sección 940 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,48,5,2,0,0,5,,,,,2,,0,,,0,,0,3,106,175
Total,,,41,48,5,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,3,106,175
Total municipal,,,3104,2315,565,25,10,4,81,0,0,0,0,41,0,14,0,0,6,0,4,105,6274,10124
