Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 31 - EPITACIO HUERTA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 446 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,217,,,0,,5,136,,,,,,2,,,,,0,8,420,595
C1,AC,Urna tradicional,41,232,,,0,,0,130,,,,,,1,,,,,0,6,410,596
Total,,,93,449,0,0,0,0,5,266,0,0,0,0,0,3,0,0,0,0,0,14,830,1191
Sección 447 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,82,80,,,3,,1,50,,,,,,0,,,,,0,4,220,400
C1,AC,Urna tradicional,68,108,,,2,,2,45,,,,,,3,,,,,0,7,235,401
E1,AC,Urna tradicional,54,103,,,3,,1,152,,,,,,6,,,,,0,12,331,681
Total,,,204,291,0,0,8,0,4,247,0,0,0,0,0,9,0,0,0,0,0,23,786,1482
Sección 448 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,184,,,1,,2,199,,,,,,0,,,,,0,15,451,701
E1,AC,Urna tradicional,34,88,,,2,,3,89,,,,,,1,,,,,0,6,223,360
Total,,,84,272,0,0,3,0,5,288,0,0,0,0,0,1,0,0,0,0,0,21,674,1061
Sección 449 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,228,,,0,,0,212,,,,,,0,,,,,0,16,495,749
E1,AC,Urna tradicional,14,54,,,3,,1,91,,,,,,8,,,,,0,10,181,297
Total,,,53,282,0,0,3,0,1,303,0,0,0,0,0,8,0,0,0,0,0,26,676,1046
Sección 450 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,153,,,0,,3,147,,,,,,0,,,,,0,0,328,528
E1,AC,Urna tradicional,50,143,,,1,,1,119,,,,,,3,,,,,1,8,326,468
Total,,,75,296,0,0,1,0,4,266,0,0,0,0,0,3,0,0,0,0,1,8,654,996
Sección 451 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,72,,,2,,1,120,,,,,,4,,,,,0,4,217,374
E1,AC,Urna tradicional,50,131,,,9,,6,154,,,,,,2,,,,,0,13,365,648
Total,,,64,203,0,0,11,0,7,274,0,0,0,0,0,6,0,0,0,0,0,17,582,1022
Sección 452 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,111,,,1,,4,80,,,,,,3,,,,,0,6,238,389
C1,AC,Urna tradicional,24,115,,,2,,1,80,,,,,,0,,,,,0,6,228,389
Total,,,57,226,0,0,3,0,5,160,0,0,0,0,0,3,0,0,0,0,0,12,466,778
Sección 453 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,212,,,1,,2,170,,,,,,1,,,,,1,6,455,669
Total,,,62,212,0,0,1,0,2,170,0,0,0,0,0,1,0,0,0,0,1,6,455,669
Sección 454 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,70,,,1,,1,155,,,,,,2,,,,,0,2,292,434
E1,AC,Urna tradicional,33,82,,,1,,4,166,,,,,,2,,,,,0,6,294,449
E1C1,AC,Urna tradicional,20,124,,,0,,2,173,,,,,,1,,,,,0,2,322,449
Total,,,114,276,0,0,2,0,7,494,0,0,0,0,0,5,0,0,0,0,0,10,908,1332
Sección 455 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,159,42,,,0,,1,162,,,,,,0,,,,,0,7,371,581
C1,AC,Urna tradicional,151,62,,,1,,2,151,,,,,,1,,,,,0,9,377,581
E1,AC,Urna tradicional,11,25,,,2,,1,175,,,,,,1,,,,,0,2,217,341
E2,AC,Urna tradicional,11,25,,,0,,2,119,,,,,,0,,,,,0,1,158,248
Total,,,332,154,0,0,3,0,6,607,0,0,0,0,0,2,0,0,0,0,0,19,1123,1751
Sección 456 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,111,,,2,,2,205,,,,,,6,,,,,1,8,366,510
C1,AC,Urna tradicional,29,72,,,1,,0,242,,,,,,0,,,,,0,9,353,511
E1,AC,Urna tradicional,31,63,,,0,,1,95,,,,,,2,,,,,0,9,201,300
Total,,,91,246,0,0,3,0,3,542,0,0,0,0,0,8,0,0,0,0,1,26,920,1321
Total municipal,,,1229,2907,0,0,38,0,49,3617,0,0,0,0,0,49,0,0,0,0,3,182,8074,12649
