Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 65 - PARACUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1426 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,211,,,3,,,102,11,,,,,,,,,,0,2,342,523
C1,AC,Urna tradicional,15,193,,,0,,,93,14,,,,,,,,,,0,7,322,524
Total,,,28,404,0,0,3,0,0,195,25,0,0,0,0,0,0,0,0,0,0,9,664,1047
Sección 1427 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,265,,,2,,,115,10,,,,,,,,,,0,10,424,713
C1,AC,Urna tradicional,25,261,,,0,,,133,8,,,,,,,,,,0,4,431,714
C2,AC,Urna tradicional,16,264,,,1,,,122,6,,,,,,,,,,0,10,419,714
E1,AC,Urna tradicional,9,75,,,1,,,31,8,,,,,,,,,,0,3,127,197
Total,,,72,865,0,0,4,0,0,401,32,0,0,0,0,0,0,0,0,0,0,27,1401,2338
Sección 1428 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,182,,,0,,,54,13,,,,,,,,,,0,9,263,423
C1,AC,Urna tradicional,8,157,,,3,,,117,8,,,,,,,,,,0,3,296,423
E1,AC,Urna tradicional,8,231,,,1,,,124,3,,,,,,,,,,0,3,370,569
Total,,,21,570,0,0,4,0,0,295,24,0,0,0,0,0,0,0,0,0,0,15,929,1415
Sección 1429 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,9,135,,,0,,,139,0,,,,,,,,,,0,3,286,453
E1,AC,Urna tradicional,2,61,,,0,,,41,3,,,,,,,,,,0,3,110,177
Total,,,11,196,0,0,0,0,0,180,3,0,0,0,0,0,0,0,0,0,0,6,396,630
Sección 1430 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,170,,,2,,,123,4,,,,,,,,,,0,6,319,468
C1,AC,Urna tradicional,6,169,,,0,,,124,17,,,,,,,,,,0,4,320,469
Total,,,20,339,0,0,2,0,0,247,21,0,0,0,0,0,0,0,0,0,0,10,639,937
Sección 1431 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,152,,,2,,,175,16,,,,,,,,,,0,6,364,630
C1,AC,Urna tradicional,19,196,,,2,,,133,15,,,,,,,,,,0,12,377,631
Total,,,32,348,0,0,4,0,0,308,31,0,0,0,0,0,0,0,0,0,0,18,741,1261
Sección 1432 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,164,,,0,,,122,0,,,,,,,,,,0,7,303,583
C1,AC,Urna tradicional,11,139,,,4,,,129,8,,,,,,,,,,0,5,296,584
Total,,,21,303,0,0,4,0,0,251,8,0,0,0,0,0,0,0,0,0,0,12,599,1167
Sección 1433 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,17,146,,,6,,,193,8,,,,,,,,,,0,4,374,720
C1,AC,Urna tradicional,12,135,,,2,,,196,9,,,,,,,,,,0,9,363,721
Total,,,29,281,0,0,8,0,0,389,17,0,0,0,0,0,0,0,0,0,0,13,737,1441
Sección 1434 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,162,,,0,,,96,23,,,,,,,,,,0,8,301,586
C1,AC,Urna tradicional,19,160,,,4,,,107,11,,,,,,,,,,0,5,306,586
C2,AC,Urna tradicional,9,159,,,2,,,98,16,,,,,,,,,,0,8,292,586
C3,AC,Urna tradicional,14,130,,,1,,,102,16,,,,,,,,,,0,6,269,586
Total,,,54,611,0,0,7,0,0,403,66,0,0,0,0,0,0,0,0,0,0,27,1168,2344
Sección 1435 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,190,,,2,,,155,0,,,,,,,,,,0,5,368,743
C1,AC,Urna tradicional,30,150,,,3,,,162,0,,,,,,,,,,0,2,347,744
Total,,,46,340,0,0,5,0,0,317,0,0,0,0,0,0,0,0,0,0,0,7,715,1487
Sección 1436 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,23,166,,,6,,,44,8,,,,,,,,,,0,9,256,501
C1,AC,Urna tradicional,11,180,,,0,,,98,5,,,,,,,,,,0,4,298,501
E1,AC,Urna tradicional,47,201,,,5,,,94,10,,,,,,,,,,0,5,362,656
Total,,,81,547,0,0,11,0,0,236,23,0,0,0,0,0,0,0,0,0,0,18,916,1658
Sección 1437 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,211,,,0,,,168,1,,,,,,,,,,0,5,389,717
E1,AC,Urna tradicional,4,120,,,0,,,34,4,,,,,,,,,,0,3,165,235
Total,,,8,331,0,0,0,0,0,202,5,0,0,0,0,0,0,0,0,0,0,8,554,952
Sección 1438 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,117,,,0,,,119,7,,,,,,,,,,0,5,250,400
E1,AC,Urna tradicional,4,75,,,1,,,21,1,,,,,,,,,,1,1,104,203
Total,,,6,192,0,0,1,0,0,140,8,0,0,0,0,0,0,0,0,0,1,6,354,603
Sección 1439 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,59,169,,,3,,,160,21,,,,,,,,,,0,6,418,711
Total,,,59,169,0,0,3,0,0,160,21,0,0,0,0,0,0,0,0,0,0,6,418,711
Sección 2671 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,91,,,1,,,38,5,,,,,,,,,,0,4,152,264
E1,AC,Urna tradicional,33,152,,,1,,,32,5,,,,,,,,,,0,4,227,419
Total,,,46,243,0,0,2,0,0,70,10,0,0,0,0,0,0,0,0,0,0,8,379,683
Sección 2672 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,9,84,,,0,,,68,0,,,,,,,,,,0,9,170,319
Total,,,9,84,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,9,170,319
Total municipal,,,543,5823,0,0,58,0,0,3862,294,0,0,0,0,0,0,0,0,0,1,199,10780,18993
