Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 27 - CHUCANDIRO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 405 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,188,,,0,,0,61,,,,1,,2,,,,,0,3,257,481
C1,AC,Urna tradicional,1,183,,,0,,1,71,,,,0,,1,,,,,1,6,264,481
Total,,,3,371,0,0,0,0,1,132,0,0,0,1,0,3,0,0,0,0,1,9,521,962
Sección 406 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,184,,,3,,0,76,,,,3,,0,,,,,0,6,275,485
C1,AC,Urna tradicional,6,151,,,1,,0,65,,,,0,,3,,,,,0,6,232,486
Total,,,9,335,0,0,4,0,0,141,0,0,0,3,0,3,0,0,0,0,0,12,507,971
Sección 407 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,171,,,0,,0,132,,,,0,,3,,,,,0,2,314,658
C1,AC,Urna tradicional,0,184,,,0,,0,114,,,,0,,4,,,,,0,13,315,659
Total,,,6,355,0,0,0,0,0,246,0,0,0,0,0,7,0,0,0,0,0,15,629,1317
Sección 408 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,0,109,,,0,,0,30,,,,0,,0,,,,,0,2,141,244
E1,AC,Urna tradicional,1,152,,,2,,0,145,,,,0,,8,,,,,0,21,329,630
Total,,,1,261,0,0,2,0,0,175,0,0,0,0,0,8,0,0,0,0,0,23,470,874
Sección 409 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,0,152,,,0,,0,54,,,,1,,2,,,,,1,3,213,561
C1,AC,Urna tradicional,4,131,,,2,,0,67,,,,4,,2,,,,,0,6,216,561
C2,AC,Urna tradicional,2,173,,,0,,0,72,,,,0,,3,,,,,0,5,255,562
Total,,,6,456,0,0,2,0,0,193,0,0,0,5,0,7,0,0,0,0,1,14,684,1684
Sección 410 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,109,,,2,,0,186,,,,0,,4,,,,,0,7,310,689
Total,,,2,109,0,0,2,0,0,186,0,0,0,0,0,4,0,0,0,0,0,7,310,689
Total municipal,,,27,1887,0,0,10,0,1,1073,0,0,0,9,0,32,0,0,0,0,2,80,3121,6497
