Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 94 - TLALPUJAHUA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2025 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,199,77,6,0,51,6,,,,,2,,3,5,,,,0,10,370,539
C1,AC,Urna tradicional,21,195,79,9,0,50,8,,,,,1,,5,9,,,,0,11,388,539
C2,AC,Urna tradicional,15,196,92,4,2,54,3,,,,,4,,4,6,,,,0,12,392,539
Total,,,47,590,248,19,2,155,17,0,0,0,0,7,0,12,20,0,0,0,0,33,1150,1617
Sección 2026 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,200,91,6,1,56,23,,,,,7,,1,6,,,,0,9,424,717
C1,AC,Urna tradicional,45,219,93,5,0,68,15,,,,,4,,6,5,,,,0,8,468,718
Total,,,69,419,184,11,1,124,38,0,0,0,0,11,0,7,11,0,0,0,0,17,892,1435
Sección 2027 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,75,42,3,2,88,14,,,,,0,,2,0,,,,0,12,254,385
C1,AC,Urna tradicional,25,116,23,4,2,64,8,,,,,2,,3,3,,,,0,9,259,385
Total,,,41,191,65,7,4,152,22,0,0,0,0,2,0,5,3,0,0,0,0,21,513,770
Sección 2028 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,111,64,4,0,35,16,,,,,5,,2,4,,,,0,11,300,427
C1,AC,Urna tradicional,36,96,75,17,2,41,11,,,,,6,,1,8,,,,0,12,305,428
Total,,,84,207,139,21,2,76,27,0,0,0,0,11,0,3,12,0,0,0,0,23,605,855
