Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 88 - TARETAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1950 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,139,162,,,17,,2,133,,,,2,,,,,,,0,10,465,679
C1,AC,Urna tradicional,128,137,,,26,,2,118,,,,4,,,,,,,0,16,431,680
Total,,,267,299,0,0,43,0,4,251,0,0,0,6,0,0,0,0,0,0,0,26,896,1359
Sección 1951 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,133,145,,,28,,0,172,,,,0,,,,,,,0,6,484,729
C1,AC,Urna tradicional,123,168,,,16,,1,148,,,,3,,,,,,,0,13,472,730
Total,,,256,313,0,0,44,0,1,320,0,0,0,3,0,0,0,0,0,0,0,19,956,1459
Sección 1952 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,101,128,,,11,,2,107,,,,3,,,,,,,0,10,362,537
C1,AC,Urna tradicional,93,135,,,4,,6,114,,,,0,,,,,,,0,6,358,537
C2,AC,Urna tradicional,80,145,,,15,,2,95,,,,5,,,,,,,0,8,350,538
Total,,,274,408,0,0,30,0,10,316,0,0,0,8,0,0,0,0,0,0,0,24,1070,1612
Sección 1953 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,129,180,,,11,,0,84,,,,6,,,,,,,2,16,428,680
C1,AC,Urna tradicional,113,182,,,12,,8,95,,,,3,,,,,,,0,17,430,680
Total,,,242,362,0,0,23,0,8,179,0,0,0,9,0,0,0,0,0,0,2,33,858,1360
Sección 1954 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,93,82,,,7,,1,128,,,,0,,,,,,,0,12,323,581
C1,AC,Urna tradicional,118,81,,,6,,1,104,,,,0,,,,,,,1,9,320,581
Total,,,211,163,0,0,13,0,2,232,0,0,0,0,0,0,0,0,0,0,1,21,643,1162
Sección 1955 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,175,,,6,,1,159,,,,1,,,,,,,0,11,399,632
C1,AC,Urna tradicional,61,149,,,6,,0,172,,,,1,,,,,,,0,6,395,632
C2,AC,Urna tradicional,43,159,,,5,,0,150,,,,1,,,,,,,0,7,365,633
E1,AC,Urna tradicional,55,42,,,3,,0,58,,,,0,,,,,,,0,3,161,238
Total,,,205,525,0,0,20,0,1,539,0,0,0,3,0,0,0,0,0,0,0,27,1320,2135
Sección 1956 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,136,,,8,,0,125,,,,0,,,,,,,0,2,322,456
E1,AC,Urna tradicional,55,73,,,7,,2,80,,,,0,,,,,,,0,6,223,383
Total,,,106,209,0,0,15,0,2,205,0,0,0,0,0,0,0,0,0,0,0,8,545,839
Sección 1957 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,98,63,,,6,,1,121,,,,1,,,,,,,0,8,298,459
C1,AC,Urna tradicional,115,84,,,8,,1,101,,,,2,,,,,,,0,5,316,459
Total,,,213,147,0,0,14,0,2,222,0,0,0,3,0,0,0,0,0,0,0,13,614,918
Sección 1958 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,34,,,2,,1,74,,,,0,,,,,,,0,7,184,288
Total,,,66,34,0,0,2,0,1,74,0,0,0,0,0,0,0,0,0,0,0,7,184,288
Total municipal,,,1840,2460,0,0,204,0,31,2338,0,0,0,32,0,0,0,0,0,0,3,178,7086,11132
