Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 33 - GABRIEL ZAMORA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 467 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,120,141,4,1,47,,,,,,,,1,,,,,0,11,332,544
C1,AC,Urna tradicional,4,96,164,5,0,45,,,,,,,,0,,,,,0,8,322,544
C2,AC,Urna tradicional,6,112,140,3,0,56,,,,,,,,1,,,,,0,12,330,545
Total,,,17,328,445,12,1,148,0,0,0,0,0,0,0,2,0,0,0,0,0,31,984,1633
Sección 468 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,124,90,3,0,51,,,,,,,,0,,,,,0,8,278,476
C1,AC,Urna tradicional,5,122,84,4,1,44,,,,,,,,0,,,,,0,6,266,477
Total,,,7,246,174,7,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,14,544,953
Sección 469 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,123,131,2,2,69,,,,,,,,1,,,,,0,8,338,580
C1,AC,Urna tradicional,9,126,130,5,1,72,,,,,,,,1,,,,,0,5,349,581
C2,AC,Urna tradicional,8,139,113,5,0,93,,,,,,,,0,,,,,0,12,370,581
Total,,,19,388,374,12,3,234,0,0,0,0,0,0,0,2,0,0,0,0,0,25,1057,1742
Sección 470 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,132,164,8,2,100,,,,,,,,2,,,,,0,16,428,736
C1,AC,Urna tradicional,3,158,158,6,2,90,,,,,,,,3,,,,,0,17,437,736
Total,,,7,290,322,14,4,190,0,0,0,0,0,0,0,5,0,0,0,0,0,33,865,1472
Sección 471 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,115,154,6,0,59,,,,,,,,0,,,,,0,10,346,545
C1,AC,Urna tradicional,6,120,159,2,0,57,,,,,,,,1,,,,,0,2,347,545
C2,AC,Urna tradicional,8,93,164,7,1,73,,,,,,,,0,,,,,0,7,353,545
Total,,,16,328,477,15,1,189,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1046,1635
Sección 472 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,169,148,2,1,50,,,,,,,,1,,,,,0,5,387,581
C1,AC,Urna tradicional,12,158,154,4,0,42,,,,,,,,1,,,,,1,7,379,581
Total,,,23,327,302,6,1,92,0,0,0,0,0,0,0,2,0,0,0,0,1,12,766,1162
Sección 473 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,150,187,2,0,142,,,,,,,,2,,,,,0,16,511,748
C1,AC,Urna tradicional,5,168,161,5,0,150,,,,,,,,0,,,,,1,17,507,749
Total,,,17,318,348,7,0,292,0,0,0,0,0,0,0,2,0,0,0,0,1,33,1018,1497
Sección 474 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,128,179,2,0,26,,,,,,,,0,,,,,0,8,353,532
C1,AC,Urna tradicional,5,151,160,1,0,41,,,,,,,,0,,,,,0,11,369,532
C2,AC,Urna tradicional,0,176,123,2,1,51,,,,,,,,0,,,,,0,14,367,533
Total,,,15,455,462,5,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1089,1597
Sección 475 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,94,134,2,0,88,,,,,,,,0,,,,,0,0,323,501
C1,AC,Urna tradicional,4,117,150,4,0,78,,,,,,,,0,,,,,0,8,361,501
Total,,,9,211,284,6,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,8,684,1002
Sección 476 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,115,82,2,1,74,,,,,,,,0,,,,,0,19,313,479
C1,AC,Urna tradicional,14,110,83,2,1,77,,,,,,,,5,,,,,0,20,312,479
Total,,,34,225,165,4,2,151,0,0,0,0,0,0,0,5,0,0,0,0,0,39,625,958
Sección 477 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,297,75,2,0,7,,,,,,,,1,,,,,0,13,397,622
