Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 25 - CHILCHOTA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 380 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,214,145,5,1,0,5,,,,,0,,0,,,0,,0,19,451,642
C1,AC,Urna tradicional,52,192,175,4,0,0,1,,,,,1,,1,,,0,,0,8,434,642
Total,,,114,406,320,9,1,0,6,0,0,0,0,1,0,1,0,0,0,0,0,27,885,1284
Sección 381 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,49,256,185,3,1,0,4,,,,,0,,0,,,1,,0,8,507,742
C1,AC,Urna tradicional,49,222,168,3,2,1,5,,,,,2,,0,,,2,,0,15,469,742
Total,,,98,478,353,6,3,1,9,0,0,0,0,2,0,0,0,0,3,0,0,23,976,1484
Sección 382 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,283,133,1,1,0,1,,,,,1,,4,,,1,,0,22,490,695
C1,AC,Urna tradicional,37,244,177,1,0,0,6,,,,,2,,2,,,2,,0,9,480,696
Total,,,80,527,310,2,1,0,7,0,0,0,0,3,0,6,0,0,3,0,0,31,970,1391
Sección 383 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,134,111,27,0,1,1,,,,,4,,1,,,0,,0,9,338,508
C1,AC,Urna tradicional,37,142,120,34,0,0,0,,,,,1,,0,,,2,,0,8,344,508
Total,,,87,276,231,61,0,1,1,0,0,0,0,5,0,1,0,0,2,0,0,17,682,1016
Sección 384 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,174,112,7,1,1,2,,,,,0,,0,,,2,,0,9,328,581
C1,AC,Urna tradicional,17,153,119,14,1,1,2,,,,,0,,2,,,4,,0,15,328,582
C2,AC,Urna tradicional,27,174,146,12,1,0,1,,,,,1,,1,,,0,,0,11,374,582
Total,,,64,501,377,33,3,2,5,0,0,0,0,1,0,3,0,0,6,0,0,35,1030,1745
Sección 385 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,149,120,14,1,0,3,,,,,2,,1,,,0,,0,7,342,607
C1,AC,Urna tradicional,50,171,107,10,0,0,1,,,,,1,,2,,,1,,0,13,356,608
Total,,,95,320,227,24,1,0,4,0,0,0,0,3,0,3,0,0,1,0,0,20,698,1215
Sección 386 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,209,130,0,0,0,3,,,,,3,,1,,,6,,0,15,425,619
C1,AC,Urna tradicional,33,202,151,9,0,1,0,,,,,0,,0,,,1,,0,9,406,620
C2,AC,Urna tradicional,40,162,188,2,0,0,4,,,,,5,,1,,,2,,0,12,416,620
Total,,,131,573,469,11,0,1,7,0,0,0,0,8,0,2,0,0,9,0,0,36,1247,1859
Sección 387 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,185,128,31,4,0,1,,,,,0,,1,,,2,,0,25,418,597
C1,AC,Urna tradicional,57,122,123,38,3,0,0,,,,,4,,0,,,0,,2,13,362,598
C2,AC,Urna tradicional,56,117,141,21,2,1,3,,,,,0,,1,,,1,,0,24,367,598
Total,,,154,424,392,90,9,1,4,0,0,0,0,4,0,2,0,0,3,0,2,62,1147,1793
Sección 388 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,37,177,140,34,1,1,1,,,,,0,,0,,,0,,0,10,401,650
C1,AC,Urna tradicional,67,108,144,32,3,2,2,,,,,2,,1,,,0,,0,17,378,651
C2,AC,Urna tradicional,59,167,135,31,0,2,2,,,,,0,,0,,,0,,0,20,416,651
Total,,,163,452,419,97,4,5,5,0,0,0,0,2,0,1,0,0,0,0,0,47,1195,1952
Sección 389 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,179,159,3,3,1,3,,,,,1,,0,,,0,,0,10,383,602
C1,AC,Urna tradicional,22,199,154,4,4,0,0,,,,,1,,1,,,1,,0,12,398,602
C2,AC,Urna tradicional,22,166,178,2,1,0,0,,,,,3,,0,,,0,,0,10,382,602
C3,AC,Urna tradicional,17,176,194,3,4,0,0,,,,,1,,3,,,0,,0,13,411,602
Total,,,85,720,685,12,12,1,3,0,0,0,0,6,0,4,0,0,1,0,0,45,1574,2408
Sección 390 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,199,160,6,0,1,0,,,,,1,,0,,,0,,0,18,395,604
C1,AC,Urna tradicional,24,175,178,4,2,1,2,,,,,0,,1,,,0,,0,16,403,605
Total,,,34,374,338,10,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,34,798,1209
Sección 391 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,125,155,7,2,0,1,,,,,1,,2,,,0,,0,10,353,723
C1,AC,Urna tradicional,48,163,149,10,2,2,2,,,,,1,,3,,,0,,0,10,390,723
Total,,,98,288,304,17,4,2,3,0,0,0,0,2,0,5,0,0,0,0,0,20,743,1446
Sección 392 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,18,166,100,3,6,0,4,,,,,2,,7,,,0,,0,17,323,489
C1,AC,Urna tradicional,31,136,110,7,4,0,7,,,,,0,,0,,,0,,0,30,325,490
Total,,,49,302,210,10,10,0,11,0,0,0,0,2,0,7,0,0,0,0,0,47,648,979
Sección 393 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,106,88,115,26,1,1,3,,,,,3,,0,,,1,,0,23,367,566
C1,AC,Urna tradicional,102,92,117,7,3,0,1,,,,,4,,2,,,0,,0,16,344,566
C2,AC,Urna tradicional,101,71,143,25,4,4,2,,,,,3,,0,,,2,,1,15,371,566
C3,AC,Urna tradicional,107,80,123,24,1,0,1,,,,,4,,0,,,0,,0,26,366,567
Total,,,416,331,498,82,9,5,7,0,0,0,0,14,0,2,0,0,3,0,1,80,1448,2265
Sección 394 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,158,180,13,1,0,1,,,,,1,,1,,,0,,0,14,409,612
C1,AC,Urna tradicional,33,169,182,11,0,2,3,,,,,0,,2,,,1,,0,22,425,612
C2,AC,Urna tradicional,35,174,161,11,1,0,1,,,,,1,,1,,,0,,0,12,397,612
Total,,,108,501,523,35,2,2,5,0,0,0,0,2,0,4,0,0,1,0,0,48,1231,1836
Sección 395 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,113,66,199,29,3,1,1,,,,,3,,0,,,4,,0,15,434,711
E1,AC,Urna tradicional,26,48,113,3,0,0,1,,,,,1,,0,,,0,,0,10,202,303
Total,,,139,114,312,32,3,1,2,0,0,0,0,4,0,0,0,0,4,0,0,25,636,1014
Sección 396 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,216,108,4,2,0,4,,,,,2,,0,,,0,,0,10,357,494
Total,,,11,216,108,4,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,10,357,494
Total municipal,,,1926,6803,6076,535,66,24,85,0,0,0,0,62,0,42,0,0,36,0,3,607,16265,25390
